標題,分類,時間,網址,內文
歐元區數據佳 歐股反彈,產經,2016/04/05 03:17,https://www.cna.com.tw/news/firstnews/201604050008.aspx,（中央社倫敦4日綜合外電報導）由於歐元區公布正面經濟數據及市場預期美國低利率還將維持一段時間，有助抵消日本經濟疲軟再次引起的憂心，歐股今天反彈。倫敦FTSE 100指數上揚18.67點或0.30%，以6164.72點作收。法蘭克福DAX 30指數漲升27.44點或0.28%，收9822.08點。巴黎CAC 40指數漲22.98點或0.53%，收4345.22點。1050405
商品類股領跌 美股走軟,產經,2016/04/05 05:50,https://www.cna.com.tw/news/afe/201604050012.aspx,（中央社紐約4日綜合外電報導）在石油等商品相關類股領跌下，美股今天走軟。
市場懷疑減產可能 國際油價跌,產經,2016/04/05 06:11,https://www.cna.com.tw/news/firstnews/201604050013.aspx,（中央社紐約4日綜合外電報導）由於市場對各大產油國能否達成減產協議以支撐油價的懷疑更甚，國際油價今天再次回檔。紐約商品交易所西德州中級原油5月交割價跌1.09美元，以每桶35.70美元作收。倫敦北海布倫特原油6月交割價跌98美分，收在每桶37.69美元。1050405
鴻夏合作上路 郭台銘在京都獲日人鼓舞,產經,2016/04/05 08:04,https://www.cna.com.tw/news/afe/201604050016.aspx,（中央社記者楊明珠東京5日專電）鴻海入主日本電機大廠夏普2日正式簽約，鴻海董事長郭台銘昨天於奈良縣天理市夏普天理廠與夏普主管開會，討論「IGZO」液晶擴大生產計畫。他在京都時受到日本民眾鼓舞。
菜價漸回穩 3月物價估緩升,產經,2016/04/05 10:46,https://www.cna.com.tw/news/afe/201604050075.aspx,（中央社記者陳政偉台北5日電）主計總處將在7日公布3月消費者物價指數（CPI），因年初寒害影響與農曆春節因素，2月CPI年增率為3年來最大漲幅。近日菜價回穩，3月物價回復正常預估漲幅緩升。
SMBC：夏普貸款交易信用違約交換風險增,產經,2016/04/05 10:44,https://www.cna.com.tw/news/afe/201604050078.aspx,（中央社東京5日綜合外電報導）SMBC日興證券公司（SMBC Nikko）在報告中指出，夏普（Sharp）宣布就貸款條件與主要銀行達成基本協議後，將被視為信用事件的風險攀升。
熊大妹妹敷面膜做瑜珈 免費貼圖上架,產經,2016/04/05 11:20,https://www.cna.com.tw/news/afe/201604050080.aspx,（中央社記者吳家豪台北5日電）LINE FRIENDS全新角色熊大妹妹CHOCO於LINE Conference Tokyo 2016閃亮登場，貼圖自今日起至5月4日期間可供免費下載，包括敷面膜、做瑜伽、挑衣服、穿睡衣等共24款各式樣貌。1050405
LINE推熊大妹妹免費貼圖 兄妹合體吸睛,產經,2016/04/05 12:16,https://www.cna.com.tw/news/firstnews/201604050093.aspx,（中央社記者吳家豪台北5日電）LINE FRIENDS全新角色熊大妹妹CHOCO貼圖今日起至5月4日期間可供免費下載，包括敷面膜、做瑜伽、挑衣服、穿睡衣等共有24款各式樣貌，還有熊大與CHOCO兄妹合體的貼圖。粉絲快到LINE「其他」、「貼圖小舖」、「活動」，加入LINE FRIENDS官方帳號即可免費下載。為慶祝LINE五週年，LINE在日前舉辦的LINE Conference Tokyo 2016大型發表會中，為大家介紹LINE FRIENDS全新角色：熊大妹妹CHOCO，並已正式推出CHOCO專屬的行動介紹網站：http://www.linefriends.com/choco
有薪家庭照顧假 勞資看法大不同,產經,2016/04/05 11:37,https://www.cna.com.tw/news/afe/201604050095.aspx,（中央社記者邱柏勝台北5日電）有立委提案將現行家庭照顧假改為有薪假，但勞資對此看法大不同。根據yes123求職網調查，逾8成5勞工贊成請照顧假應該要付薪水，但僅3成5的企業願意給有薪照顧假。
巴拿馬文件延燒 美法德多國展開調查,產經,2016/04/05 14:00,https://www.cna.com.tw/news/firstnews/201604050117.aspx,（中央社倫敦/巴拿馬市4日綜合外電報導）針對巴拿馬1家專門協助協助開設境外公司的法律事務所長達40年的文件外洩案，各國紛紛針對該國權貴可能涉及金融犯罪展開調查。「巴拿馬密件」揭露大量政治與公眾人物的資金安排，包含俄羅斯總統蒲亭（Vladimir Putin）的友人、英國首相卡麥隆（David Cameron）、冰島與巴基斯坦兩國總理，與烏克蘭總統等領袖的親人。
央行鬆綁房市管制 房價長線看漲,產經,2016/04/05 12:29,https://www.cna.com.tw/news/afe/201604050125.aspx,（中央社記者韋樞台北5日電）央行鬆綁房市管制後，雙北特定區、換屋族、投資置產族受益較多，但房仲市調後發現，雖然有58%的民眾買房意願提升，惟各國利率競相負利率，貨幣貶值，房價長期恐飆漲更兇。
蘋果iPhone砍單 恐不利台股獲利,產經,2016/04/05 14:00,https://www.cna.com.tw/news/afe/201604050150.aspx,（中央社記者吳家豪台北5日電）根據凱基投顧追蹤個股，去年第4季財報與今年展望不佳的比例高達6成，反映蘋果iPhone削減訂單、半導體庫存調整、金融股利差縮減等因素，因此台股整體獲利今年維持下修趨勢。
央行鬆綁、好天氣助陣 建案來客增,產經,2016/04/05 14:26,https://www.cna.com.tw/news/afe/201604050159.aspx,（中央社記者韋樞台北5日電）央行解除信用管制，從3月底至清明連假前後約十天天氣不錯，代銷業者表示，這段時間新北市和桃園建案的來客量增加約3成，來客也較願意出價，遠雄建這兩週銷售額達2億多元。
台股周線收黑免驚  外資仍扮推手,產經,2016/04/05 15:08,https://www.cna.com.tw/news/afe/201604050174.aspx,（中央社記者田裕斌台北5日電）台股周線在5連紅後連收2黑，引發市場疑慮，投信業者表示，台股後市仍將持續受到國際情勢的影響，不過整體而言，展望並未出現重大變化，外資仍是扮演主要推手。
報稅季 3招讓你輕鬆繳稅,產經,2016/04/05 15:17,https://www.cna.com.tw/news/afe/201604050178.aspx,（中央社記者蔡怡杼台北5日電）5月報稅季即將到來，對不少上班族而言，這段期間容易入不敷出，面對繳稅大筆支出，銀行理專建議，可善用信用卡優惠、零存整付或預扣稅款3招，讓報稅季生活無負擔。
照明科技展 237廠商齊放光芒,產經,2016/04/05 15:36,https://www.cna.com.tw/news/afe/201604050184.aspx,（中央社記者林孟汝台北5日電）「2016年台灣國際照明科技展」與「LED製程展」13日起在南港展覽館登場，合計有9國、237家廠商使用747個攤位，是台灣最專業的照明科技展，更是亞洲照明產業的焦點。
鴻夏戀成正果 郭董拚潔淨能源如虎添翼,產經,2016/04/05 15:46,https://www.cna.com.tw/news/afe/201604050188.aspx,（中央社東京5日綜合外電報導）鴻夏戀修成正果，對野心勃勃、亟欲在全球某些污染最嚴重國度的潔淨能源產業發展上扮要角的鴻海來說不啻如虎添翼，同時還可在日本取得穩固的立足點。
鴻海布局新人事 SDP會長重返夏普,產經,2016/04/05 16:26,https://www.cna.com.tw/news/afe/201604050193.aspx,（中央社東京5日綜合外電報導）彭博報導，鴻海董事長郭台銘和夏普共同持有的日本大阪堺10代廠SDP會長野村勝明，將重返夏普，接任執行副社長，這項人事令明天生效。
這樣買就對了 台彩:當億萬富翁沒那麼難,產經,2016/04/05 16:23,https://www.cna.com.tw/news/firstnews/201604050196.aspx,（中央社記者田裕斌台北5日電）你知道嗎？今年才過了短短3個月，大樂透就已經製造出8位億萬富翁，比起過去平均每個月2位的速度快上許多。台灣彩券表示，想當億萬富翁，沒有想像中的難。根據台彩統計，自2007年至今年3月底，靠買彩券變成億萬富翁的幸運兒共有300位，平均每年至少有30位幸運兒因為中頭獎擠身億萬富翁行列。不要以為幸運兒不會是你，更不要等到頭獎累積到全民都買才買，台彩指出，大樂透自2007年至今，共開出224次頭獎，平均1個月就會開出兩次頭獎，頭獎約4成（38.8%）在保證新台幣1億元期間就會被中走。威力彩至今也已開出頭獎49次，頭獎累積超過10億元才開出的次數占比僅3成（30.6%），億萬富翁在頭獎累積5億元以下產生的比例居多，約占總開出次數的一半（占比約46.9%）。台彩表示，這300位因為中頭獎而晉升億萬富翁行列的幸運兒，總計抱走高達926億元的獎金，足夠聘請好萊塢片酬王、剛獲小金人的奧斯卡影帝李奧納多狄卡皮歐來拍118部片（最高片酬高達7.8億元）；若換算成太空之旅（一趟價值約600萬元），至少可以送1萬5000人上太空旅行。根據台彩歸納，這300位幸運兒共通購買彩券的方式，包含期期都買不錯失任何機會，每次購買金額100至500元，多買幾注提高中獎機率；最後，不妨試試電腦選號，將近7成的億萬富翁都是用電腦選的。從統計資料來看，財神爺也沒有偏心，除連江縣外，全國各地都有億元幸運兒的蹤跡，最多為新北市，其次是台北市、高雄市、台中市、桃園市及台南市，億元中獎人其實離你很近，億萬富翁無所不在，全國各地都是中獎的好地方。1050405
日股連6黑 日圓升油價跌,產經,2016/04/05 17:24,https://www.cna.com.tw/news/afe/201604050228.aspx,（中央社東京5日綜合外電報導）東京股市今天收盤重挫逾2%，摔落至逾1個月來最低，主因日圓走升打壓出口股，油價走跌則拖累能源股。
宏達電Vive 進駐英國哈洛德百貨,產經,2016/04/05 17:46,https://www.cna.com.tw/news/afe/201604050233.aspx,（中央社記者江明晏台北5日電）宏達電Vive今天全球正式出貨，並在全台廣設Vive體驗區；此外，全球首間Vive快閃店更進駐英國倫敦哈洛德（Harrods）精品百貨，消費者體驗後可立即預購。
麥當勞選址聚人氣  房東接手同址不同命,產經,2016/04/05 17:57,https://www.cna.com.tw/news/afe/201604050236.aspx,（中央社記者潘智義台北5日電）一對母女穿越台北市萬大路、東園街路口，女兒指著台北牛乳大王對媽媽說，如果這裡開麥當勞就好了！其實她不知道，多年前這就開了麥當勞，但同一地點的生意也是會有落差的。
