標題,分類,時間,網址,內文
歐股收紅 西班牙股市逆勢下挫,產經,2017/10/28 01:29,https://www.cna.com.tw/news/afe/201710280006.aspx,（中央社倫敦27日綜合外電報導）歐洲股市今天收紅，西班牙股市則逆勢下挫，主要因加泰隆尼亞議會表決宣布獨立，西國政府立即著手平息。
江振誠：低迷亞洲經濟 台灣有更好機會,產經,2017/10/28 07:30,https://www.cna.com.tw/news/afe/201710280008.aspx,（中央社記者黃自強新加坡28日專電）台灣名廚江振誠再獲國際肯定，名列全球前300名最佳主廚的第14名。他除透過臉書表示感謝外，也認為在低迷的亞洲經濟困境中，台灣有了一次比以前更好的時機和機會。
科技股財報亮麗 標普和那指創新高,產經,2017/10/28 05:43,https://www.cna.com.tw/news/afe/201710280013.aspx,（中央社紐約27日綜合外電報導）在亞馬遜（Amazon）等科技股亮麗財報，以及蘋果（Apple）最新智慧型手機推出等利多推升下，美股今天收紅，標準普爾500和那斯達克指數創歷史新高。
產油國支持延續減產 油價勁揚,產經,2017/10/28 06:09,https://www.cna.com.tw/news/afe/201710280014.aspx,（中央社紐約27日綜合外電報導）油價今天勁揚，因世界主要產油國支持延續減產，以及美元自3個月高點回貶。
商標遭搶先註冊  智慧局：可提異議或評定,產經,2017/10/28 09:25,https://www.cna.com.tw/news/afe/201710280026.aspx,（中央社記者廖禹揚台北28日電）面對惡意註冊該如何因應，經濟部智慧財產局官員表示，商標註冊公告後，任何人都可提異議或評定。
民眾更懂精準消費  百貨業週年慶業績佳,產經,2017/10/28 10:34,https://www.cna.com.tw/news/afe/201710280037.aspx,（中央社記者朱則瑋台北28日電）台灣三大百貨公司新光、遠東SOGO及遠百在今年週年慶業績都看漲，業者表示，除不同優惠方案、商品，民眾更懂精準消費，趁週年慶折扣時購買所需商品。
美商務部初判 課陸輸美鋁箔反傾銷稅,產經,2017/10/28 10:44,https://www.cna.com.tw/news/afe/201710280046.aspx,（中央社華盛頓27日綜合外電報導）美國商務部今天宣布對中國大陸輸美鋁箔祭出反傾銷稅，指控大陸出口商以低於成本的價格，在美國市場傾銷產品。
離岸風電拚商轉  五大時程廠商卡卡,產經,2017/10/28 10:50,https://www.cna.com.tw/news/afe/201710280049.aspx,（中央社記者黃雅娟台北28日電）西元2025年非核家園離岸風電將以3GW採遴選制、2.5GW以競標方式進行。相較一開始只有環境影響評估與籌設許可兩條件，又多出五大稽核時程，讓業者大喊根本來不及。
第三波4G頻譜競標31日登場 5大重點分析,產經,2017/10/28 10:51,https://www.cna.com.tw/news/afe/201710280050.aspx,（中央社記者江明晏台北28日電）第三波4G頻譜競標將於31日登場，五大電信業者將全力角逐，本次標金上看多少？競標作業有何不同？對消費者有何影響？都是觀察重點。
風力發電供民眾投資  德國先例可借鏡,產經,2017/10/28 10:53,https://www.cna.com.tw/news/afe/201710280051.aspx,（中央社記者黃雅娟台北28日電）德國第一大開發商艾納康（Enercon）表示，在歐洲，只要一群有意願的民眾出資興建風機，投資報酬率有望達4%以上；這個計畫如果在台灣落實，可望帶來5GW到10GW發電量。
許虞哲31日會工總  多方討論財稅議題,產經,2017/10/28 13:00,https://www.cna.com.tw/news/afe/201710280095.aspx,（中央社記者陳政偉台北28日電）財政部稅改方案日前獲行政院會通過，財政部長許虞哲預計31日拜會中華民國全國工業總會並舉行座談。工總表示，不只稅改議題，還有印花稅、貨物稅與房屋稅等都將討論。
天然氣11月估漲2.99%  桶裝瓦斯暫不調整,產經,2017/10/28 13:55,https://www.cna.com.tw/news/afe/201710280108.aspx,（中央社記者陳政偉台北28日電）據氣價公式估算，11 月天然氣預估調漲2.99%，而11月份桶裝瓦斯價格估計暫不調整。10月份20公斤桶裝瓦斯漲新台幣72元，創33 個月新高價。
訪視蕉農  副總統肯定穩定香蕉價格成效,產經,2017/10/28 17:29,https://www.cna.com.tw/news/afe/201710280124.aspx,（中央社記者程啟峰高雄28日電）副總統陳建仁今天赴高雄旗山訪視蕉農，肯定行政院農業委員會及高雄市政府穩定香蕉價格成效。他並籲請國人多吃香蕉，幫助蕉農又可保健康。
慶富案 一銀再喊冤：是受害人也是原告,產經,2017/10/28 17:22,https://www.cna.com.tw/news/firstnews/201710280165.aspx,（中央社記者韓婷婷台北28日電）慶富造船新台幣205億元聯貸案涉及詐貸重創貸放銀行商譽，一銀今天再度發出聲明稿表示，一銀是「受害人也是原告」，董事長蔡慶年表示，並不計較個人此時的去留，但堅持對員工股東負責。慶富涉及詐貸重創銀行商譽，聯貸案主辦銀行第一銀行今天下午發出聲明稿表示，此案中第一銀行是受害人、也是原告，並非被告，一銀已對慶富公司採取法律行動，民事求償部分，提出假扣押、假處分等保全程序；刑事告訴部分，對慶富公司相關人員涉嫌以不實單據向銀行詐貸提起告訴，請檢調加速偵辦，務必嚴查、嚴辦、嚴懲。聲明稿中指出，慶富的大股東慶洋投資公司以提供100%足額等值的辦公大樓及美籍漁船等擔保品，向一銀申貸，其中10.5億元做為105年度慶富增資用。慶洋投資係以十足擔保方式向一銀辦理融資，程序完備，在銀行實務上，是一般商業銀行常見的業務，兩者不能併為一談，對於外界疑慮，再次嚴正聲明以正視聽。聲明稿中一銀董事長蔡慶年表示，他並不計較個人此時的去留，此刻所堅持的是對員工，對股東，對國家，對個人一輩子專業和聲譽的責任，因此，會以最負責任的態度，全力處理善後，並且釐清各界疑慮，讓本案內容清清楚楚攤在陽光下，讓社會大眾檢視，讓一銀及整體銀行團的損失能降到最低。1061028
台塑下週汽油漲0.2元 柴油漲0.1元,產經,2017/10/28 17:12,https://www.cna.com.tw/news/afe/201710280167.aspx,（中央社記者韓婷婷台北28日電）台塑石化今天宣布，受到產油國伊拉克境內政治動盪，國際油價上漲，從10 月30日凌晨1時起調漲每公升汽油批售價格0.2元，柴油批售價格0.1元，市場零售價格由加油站自行決定。
英國脫歐紛擾 債信展望維持負面,產經,2017/10/28 18:16,https://www.cna.com.tw/news/afe/201710280203.aspx,（中央社華盛頓27日綜合外電報導）國際債信評等機構標準普爾（S&P）與惠譽（Fitch）今天表示，英國脫歐混亂局面的陰影，意味英國主權債信展望仍維持負面。
白宮：美前20%富人 負擔全國95%所得稅,產經,2017/10/28 18:49,https://www.cna.com.tw/news/afe/201710280210.aspx,（中央社華盛頓27日綜合外電報導）白宮管理及預算局（OMB）局長穆瓦尼（Mick Mulvaney）表示，中等收入者減稅也會讓那些所得更高的人受惠，包括現在負擔全國95%賦稅的前20%最有錢的人。
慶富聯貸案兆豐銀沒參加  原因有3個,產經,2017/10/28 19:57,https://www.cna.com.tw/news/firstnews/201710280221.aspx,（中央社記者韓婷婷台北28日電）慶富聯貸案傳涉詐貸，泛公股銀行僅兆豐銀行逃過一劫，兆豐銀表示，因之前已貸給慶富約10億元，且慶富數次拖延繳息，加上對慶富技術及財務有疑慮，擔心曝險過高，所以不參加。兆豐銀主管表示，之前慶富造船因建造海巡署巡防艦，已向兆豐銀貸款約新台幣10億元，且由於在貸款期間慶富繳息曾數次遲延，在慶富洽詢辦理250億元獵雷艦聯貸案時，態度才會相對保守。兆豐銀主管指出，當初評估慶富具有建造巡防艦的能力，但若要建造等級高上許多的獵雷艦，內部對慶富技術能力及財務有疑慮，加上本來就已有曝險部位，才會沒參加聯貸案。此外，兆豐銀主管也透露，慶富聯貸案當時在洽詢業務單位時，業務單位就考量到自身已有曝險，連聯貸案都沒有向上呈報，所以之後慶富才轉向台灣銀行、第一銀行尋求融資機會。不過，兆豐銀主管強調，各家銀行對於承做聯貸案的標準不一，也有各自的專精領域，兆豐銀會承做的聯貸，其他銀行不一定會作，其他銀行可以授信的案件到兆豐銀也不一定買單，兆豐銀沒參加聯貸完全出自於自身考量，並非聯貸案本身就有問題。1061028
馬祖產業輔導辦公室成立  推動技術升級,產經,2017/10/28 20:39,https://www.cna.com.tw/news/afe/201710280238.aspx,（中央社記者陳政偉台北28日電）連江縣政府與國發會、經濟部工業局合作成立「馬祖產業輔導聯合辦公室」，作為台灣產學研界與馬祖企業的橋梁，讓雙方在技術與資訊面無落差，推動離島馬祖產業技術升級。
今彩539開獎,產經,2017/10/28 20:47,https://www.cna.com.tw/news/afe/201710280242.aspx,（中央社台北28日電）第1060258期今彩539開獎，中獎號碼14、21、10、02、12。3星彩中獎號碼968，4星彩中獎號碼8195。
大福彩開獎,產經,2017/10/28 20:54,https://www.cna.com.tw/news/afe/201710280243.aspx,（中央社台北28日電）第106086期大福彩今晚開獎，中獎號碼為02、28、31、37、30、18、03，特別號為07。
發展數位娛樂  法界：應區別賭博與博弈,產經,2017/10/28 21:46,https://www.cna.com.tw/news/afe/201710280251.aspx,（中央社記者韓婷婷台北28日電）網路為娛樂產業帶來新的商業模式與挑戰，新竹律師公會理事長楊明勳表示，線上博弈娛樂易涉及法律爭議，如何區別違法賭博與合法的博弈科技，對未來發展數位娛樂產業非常重要。
今彩539 頭獎1注中獎,產經,2017/10/28 22:13,https://www.cna.com.tw/news/afe/201710280263.aspx,（中央社台北28日電）第1060258期今彩539開獎，中獎號碼14、21、10、02、12。派彩結果，頭獎1注中獎，每注可得新台幣800萬元。
大福彩頭獎 槓龜,產經,2017/10/28 22:14,https://www.cna.com.tw/news/afe/201710280264.aspx,（中央社台北28日電）第106086期大福彩今晚開獎，中獎號碼為02、28、31、37、30、18、03，特別號為07。派彩結果，頭獎槓龜。
