標題,分類,時間,網址,內文
陳劭彥倫敦推時尚影片 展現新設計,產經,2015/09/20 08:26,https://www.cna.com.tw/news/afe/201509200017.aspx,（中央社記者黃貞貞倫敦19日專電）台灣旅英服裝設計師陳劭彥推出2016年春夏最新作品，他以來自達達藝術家的幾何拼貼為靈感，與台灣攝影師余靜萍合作，時尚影片充滿強烈個人風格，在倫敦服裝週受到好評。
北台灣房市928推案量縮 降價小宅成趨勢,產經,2015/09/20 08:21,https://www.cna.com.tw/news/afe/201509200019.aspx,（中央社記者韋樞台北20日電）傳統房市928檔期上演，據不同單位依不同時間估算，北台灣推案量年減不少，雖仍有部份百餘坪豪宅產品，但大多數產品開價改走平價風或面積縮小，以求在大選前儘速銷售。
FED趨鴿派 有利風險資產彈升,產經,2015/09/20 08:37,https://www.cna.com.tw/news/afe/201509200025.aspx,（中央社記者田裕斌台北20日電）美國聯邦準備理事會(FED)未升息，統一投信國際金融債券部協理余文鈞表示，FED態度趨於鴿派，美元轉趨緩升令新興市場貨幣貶值壓力緩和，有利風險資產彈升。
升息不確定性暫除 小心禁空令解除,產經,2015/09/20 08:40,https://www.cna.com.tw/news/afe/201509200028.aspx,（中央社記者田裕斌台北20日電）美國聯邦準備理事會(FED)決定暫不升息，暫時減緩市場對於美國升息疑慮的不確定性因素，不過金融監督管理委員會宣布解除平盤以下禁空令，對台股後市投下變數。
看電影配銅鑼燒 義美搞另類行銷,產經,2015/09/20 09:28,https://www.cna.com.tw/news/afe/201509200033.aspx,（中央社記者韓婷婷台北20日電）看電影吃爆米花是一般人很熟悉習慣的事，但如果換成看電影配銅鑼燒哩？也許會有意想不到的「甜蜜滋味」，行銷手法不斷創新的義美，這回邀請消費者試試這全新搭配。
中秋連假烤肉不發胖 先來杯優酪乳,產經,2015/09/26 15:06,https://www.cna.com.tw/news/firstnews/201509200036.aspx,（中央社記者韓婷婷台北20日電）中秋烤肉負擔重，若要月圓人不圓，營養師建議大家，以喝茶或開水代替汽水及酒精飲料之外，還有一個小撇步，就是吃烤肉前先喝杯優酪乳保庇腸道顧健康。中秋將至，是否已經摩拳擦掌，準備大吃大喝度過這個連假？近年來，烤肉活動已經成為台灣人獨特的秋節風景，然而在團圓歡聚，享受美食馬拉松之餘，也不能忽略了高油脂、高鹽分、高熱量、高蛋白、及重口味對身體造成的急速負擔。天天烤不停、餐餐大魚大肉，若要月圓人不圓，營養師建議大家，為了減少身體負擔，盡量以新鮮食材代替加工食品，且事前的醃漬以辛香料或酒為主，不額外添加鹽份；以喝茶或開水代替汽水及酒精飲料之外，還有一個小撇步，就是吃烤肉前先喝杯優酪乳，不僅保護腸道、增加飽足感，還可以調整腸道細菌生態、促進消化，避免蔬果不足，難以順暢。面對林林總總的優酪乳，別以為喝了同樣都可健康無負擔又幫助消化，聰明的您，該怎麼選呢？其實，優酪乳的關鍵原料為牛乳和菌，其中牛乳含蛋白質、鈣質、維生素B和礦物質，而菌類則有助增加腸內益生菌、減少腸內害菌、有效幫助消化。要能發揮優酪乳幫助消化、增加飽足感又有補充營養的功能，營養師建議，選擇生乳比例越高，成分越單純、沒有過多添加且配方簡單的優酪乳越好，即使每天飲用，也不會讓身體有多餘負擔。根據台灣食品衛生管理法規定：「食品原料（成分）為二種或二種以上者，應依其含量多寡，由高至低標示之。」所以標示原料成分的排序十分重要，排在第一位表示它是含量最多的主成分，以優酪乳而言，生乳標示越前面，表示產品內含生乳的比例越高。換句話說，生乳標示的排序如果是第一位，代表「越純」，營養價值也相對較高，如果生乳的標示排序越後面，代表越不純正。此外，目前市面上大部分的優酪乳品牌，在生乳和菌以外，為增加香氣與口感，其實還添加了香料、色素、果膠、奶油等物質，喝多了不見得好，這也是要注意的部份，基本原則是選擇配方越簡單越好。越簡單才是越好的，添加物越少才能達到減少身體負擔、增加飽足感又可促進消化的功能，建議您購買時格外注意原料成分，別忘了在中秋連假一飽口腹之慾前，喝杯簡單、無添加的優酪乳，過個快樂健康不發胖的中秋節。1040920
中秋五大應景App 氣氛一秒鐘就來,產經,2015/09/20 13:23,https://www.cna.com.tw/news/afe/201509200043.aspx,（中央社記者江明晏台北20日電）迎接中秋節，哪些有趣好玩的App不能錯過？「Phases of The Moon」可以查詢月相，逼真模擬聲音與煙霧的「烤肉大師」，讓你一秒氣氛就來，「腰瘦心機」則提醒你月餅別吃太多。
台電招雇員  2萬多人來考試,產經,2015/09/20 11:13,https://www.cna.com.tw/news/firstnews/201509200053.aspx,（中央社記者林孟汝台北20日電）台電今天舉行新進雇用人員招考，吸引3萬4165人報名，第一堂到考人數為2萬2394人，平均到考率為65.5%，拉高錄取率至3.9%，但還是比去年的6.11%低約一半。台電發言人李鴻洲表示，報考人數增加，除了今年預計預計錄取名額創10年新高外，也與景氣不佳、台電工作相對穩定，加上近年台電經營績效改進，外界對台電改觀及運用新媒體廣宣，吸引更多待業或轉業民眾報考等。趕在年底經濟部國營事業新進職員招考前，台電上午在國家考場將先行舉辦新進雇用人員招考，招考類別涵括電力技術、綜合行政及廣告設計等共12類。今年報考人數高達3萬4165人，預計錄取名額為874人，報考人數與錄取名額雙創近10年新高，原本預估的平均錄取率約2.56%，不過因第一堂的到考人數僅為2萬2394人，平均到考率為65.5%，拉高錄取率至3.9%。台電指出，一旦錄取，實習訓練期間起薪就有新台幣2.3萬元，工作訓練期間將升至約2萬7000元，若經正式僱用後月薪至少3萬420元。1040920
施振榮獲美西玉山科技協會頒發成就獎,產經,2015/09/20 10:52,https://www.cna.com.tw/news/afe/201509200055.aspx,（中央社記者羅秀文台北20日電）宏碁集團創辦人施振榮獲美西玉山科技協會頒發終身成就獎，表揚他對全球科技業做出的貢獻。對此，他表示未來將繼續與年輕一代攜手，為台灣未來的競爭力共創價值。
鴻海日月光矽品三角戀 兩波關鍵點決戰,產經,2015/09/20 10:55,https://www.cna.com.tw/news/afe/201509200057.aspx,（中央社記者鍾榮峰台北20日電）日月光、矽品、鴻海三角戀精彩可期，日月光公開收購矽品跨門檻，22日有機會達標。矽品與鴻海結盟10月股東臨時會見真章，兩波決戰點都是關鍵。
