標題,分類,時間,網址,內文
新年行情看好  倫敦股市創收盤新高,產經,2016/12/29 01:36,https://www.cna.com.tw/news/firstnews/201612290006.aspx,（中央社倫敦28日綜合外電報導）倫敦股市今天創下歷史首盤新高，主因能源與礦業類股表現強勢，以及市場大致看好新年行情。倫敦股市金融時報百種股價指數（FTSE 100）終場上漲0.54%，收在7106.08點，超越2015年4月27日創下的7103.98點紀錄。法蘭克福股市DAX指數微漲0.02%，收在11474.99點；巴黎股市CAC 40指數微漲0.01%，收在4848.01點。在英國股市創下這項收盤新高紀錄前，美國股市在川普（Donald Trump）當選總統後也不斷創新高，因為市場預期他的新政府將擴張支出與減稅，道瓊工業指數最近幾周逼近2萬點大關。1051229
美股收黑  道瓊攻2萬點大關又無功而返,產經,2016/12/29 07:43,https://www.cna.com.tw/news/afe/201612290011.aspx,（中央社紐約28日綜合外電報導）美國股市今天下挫，三大指數都收黑，道瓊指數對2萬點大關發動的攻勢又無功而返，金融股與一些其他最近表現強勢的類股走弱，顯示投資人在最近的漲勢後獲利出場。
世界油價小漲,產經,2016/12/29 07:42,https://www.cna.com.tw/news/afe/201612290013.aspx,（中央社紐約28日綜合外電報導）世界油價今天上揚，紐約與倫敦股市原油期貨價格都收小紅，延續昨天的漲勢。
瑞士：巴西建商行賄  至少獲利3倍,產經,2016/12/29 07:31,https://www.cna.com.tw/news/afe/201612290019.aspx,（中央社記者唐雅陵聖保羅28日專電）瑞士法務部估計，巴西石油公司貪瀆案主要涉案建商Odebrecht每支付100萬元（可以是美元、瑞士法郎或巴西幣）的賄款，至少獲利400萬元。
台股量能不繼 中小型股各自表現,產經,2016/12/29 08:13,https://www.cna.com.tw/news/afe/201612290022.aspx,（中央社記者吳家豪台北29日電）美股28日下挫，三大指數收黑，倫敦股市創下歷史收盤新高，主因能源與礦業類股表現強勢；法人表示，外資長假干擾在，對台股影響中性看待，在量能不繼下，中小型股各自表現。
川普：史普陵特和OneWeb擬創造8千工作,產經,2016/12/29 09:09,https://www.cna.com.tw/news/afe/201612290029.aspx,（中央社佛羅里達州棕櫚灘28日綜合外電報導）美國總統當選人川普今天表示，電信集團史普陵特與美國衛星公司OneWeb將把8000個工作機會帶回美國，他大讚這是因為他當選總統，樂觀氣氛洋溢使然。
台股開盤跌 29.01點,產經,2016/12/29 09:03,https://www.cna.com.tw/news/afe/201612290030.aspx,（中央社台北29日電）台北股市今天開盤跌29.01點，加權股價指數成為9172.39點，成交金額新台幣9.76億元。1051229
新台幣開盤 貶2.6分,產經,2016/12/29 09:15,https://www.cna.com.tw/news/afe/201612290031.aspx,（中央社台北29日電）台北外匯市場新台幣兌美元匯率今天以32.335元開盤，貶2.6分。
陸美打肥咖 不少資金先回台買豪宅,產經,2016/12/29 09:32,https://www.cna.com.tw/news/afe/201612290036.aspx,（中央社記者韋樞台北29日電）中國大陸明年元月起開始對台商查稅；台美之間也簽署肥咖條款，兩個大國都針對肥咖查稅，不少資金先回台灣買豪宅。外商仲介認為，台灣稅制改革只做了一半，有些游資還在觀望。
反映經濟不振 南韓下修明年成長預測,產經,2016/12/29 09:37,https://www.cna.com.tw/news/afe/201612290039.aspx,（中央社首爾29日綜合外電報導）南韓政府下修成長預測，將明年經濟成長率預測由3%調整至2.6%，以反映不溫不火的國內消費和疲弱出口。
