標題,分類,時間,網址,內文
聯準會調高利率 美股早盤走高,產經,2016/12/16 00:26,https://www.cna.com.tw/news/firstnews/201612160005.aspx,（中央社紐約15日綜合外電報導）美國聯邦準備理事會（Fed）決定升息1碼，在市場衡量美元走堅的不利面之際，華爾街股市今天早盤走高。開盤後約30分鐘，道瓊指數上漲約0.4%，來到19867.14點。標準普爾500指數上漲0.4%，來到2262.62點；那斯達克指數上漲0.5%，來到5460.97點。聯準會為期兩天的決策會議昨天結束，一如預期決定升息1碼，聯邦基金利率上調至0.5%至0.75%的目標區間。歐洲股市今天走揚，美元也應聲跳漲。聯準會官員預測2017年還會再升息3次，激勵美元指數大漲，美元兌歐元匯價創近14年高位。法新社報導，聯準會制定決策的聯邦公開市場委員會（FOMC）投票無異議通過，將聯邦基金利率由原先的0.25%至0.5%上調至0.5%至0.75%區間，援引的理由是經濟有起色，但重申預期未來經濟只會「逐步」好轉。這是2015年12月以來聯準會首度升息，也是10年來的第2次。許多分析師預期，假使總統當選人川普（Donald Trump）承諾的基礎建設支出與減稅促使通膨升溫，聯準會將必須加速升息。聯邦公開市場委員會的聲明指出，相較於聯準會的2.0%目標，通膨指標「仍在低點」。聯準會官員預測，2017年還會再升息3次，明年底利率為1.4%。2018年底的利率將升到2.1%。在17位做預測的官員中，有11人認為明年的利率至少在1.375%。他們預估，2018年之前通膨將不會達到2.0%的目標，明年將接近這個數字。其他重要數據焦點方面，聯準會預測失業率將從目前的4.6%下降，直到2019年都穩定維持在4.5%左右。Fed主席葉倫（Janet Yellen）說，聯準會決定調升基準利率，是對美國經濟體質投下「信任」票。葉倫開記者會表示，升息「當然應該被理解為我們所反映的信心，我們相信經濟已有成長，我們判斷將持續進步」。她也指出，未來上任的共和黨總統川普一旦增加支出，有可能影響聯準會往後如何調整利率，但她警告，目前的猜測都還太早。1051217
駐外人員生活費 東京重登排行榜第一,產經,2016/12/16 07:55,https://www.cna.com.tw/news/firstnews/201612160007.aspx,（中央社記者楊明珠東京15專電）國際人力資源研究及分析機構（ECA International）公布的全球主要都市駐在人員生活費排行榜顯示，2016年由東京重登排名第一，這是東京暌違4年後又奪冠。這項調查實施期間，正好是日圓升值時，因此去年排行第12名的東京，竄升到第1名。日本的橫濱由去年的第27名升至第5名、大阪由第36名升至第9名。這項調查於今年9月針對全球450個都市的食品、衣物、家電、休閒等的消費財、服務費用等實施調查。這不包括居住費、學費等費用在內。調查結果，第2至4名依次是非洲安哥拉共和國的首都魯安達（Luanda）、瑞士蘇黎世、日內瓦。在歐洲方面，英國的都市「戲劇性地」名次滑落。自2004年開始實施調查以來，倫敦這次首度跌出100名之外。受到英國公投決定脫離歐盟的影響，英鎊暴跌，相較於巴黎、柏林、布魯塞爾等歐洲的城市，倫敦的生活費相對地下跌。去年排行第7名、亞洲生活費最貴的上海，這次排行跌至第13名。受到人民幣貶值的影響，中國大陸主要都市當中，北京、廣州的生活費排名也較去下滑。1051214
美聯準會升息  歐股勁揚,產經,2016/12/16 03:12,https://www.cna.com.tw/news/afe/201612160010.aspx,（中央社倫敦15日綜合外電報導）美國聯邦準備理事會昨天如期宣布提高利率，並暗示明年還會升息三次，今天全球股市都走高，歐洲主要股市漲幅多超過1%。
美股漲勢再起  三大指數收紅,產經,2016/12/16 08:05,https://www.cna.com.tw/news/afe/201612160014.aspx,（中央社紐約15日綜合外電報導）華爾街股市今天恢復上漲走勢，三大指數都收紅，銀行股漲勢最猛，主因聯邦準備理事會昨天決定升息。
世界油價走弱,產經,2016/12/16 08:07,https://www.cna.com.tw/news/afe/201612160019.aspx,（中央社紐約15日綜合外電報導）世界油價今天下跌，紐約與倫敦市場原油期貨價格都收小黑，稍早油價曾趺到一週來的低點。
歐巴馬離任前 再向WTO狀告中國大陸,產經,2016/12/16 08:00,https://www.cna.com.tw/news/firstnews/201612160023.aspx,（中央社記者鄭崇生華盛頓15日專電）美國貿易代表署（USTR）今天表示，就稻米、小麥及玉米這三項農產品，向世界貿易組織（WTO）提請貿易訴訟。這是美國總統歐巴馬任上第15度針對中國，向WTO提起貿易訴訟；而有關稻米、小麥及玉米的關稅問題，美國已是第2次向WTO提訴，指控中國未能在稻米、小麥和玉米的市場准入問題上，遵守當時入世的承諾。美國與中國大陸間的貿易爭端不少，不久前美國、日本及歐盟都拒絕在WTO架構下承認中國市場經濟體的地位，而歐巴馬離任前夕，再度對上述幾項農產品，向WTO指控中國違反入世承諾。美國貿易代表傅洛曼（Michael Froman）在新聞稿中指出，中國的關稅配額政策，不但違反當初加入WTO時的承諾，更限制美國農業及農產品出口具價格競爭力及高質量的農產品。根據USTR資料，中國對自身產業有市場價格的支持措施，再加上不透明的關稅配額制，扭曲稻米、小麥和玉米的國際市場價格。歐巴馬政府2009年上任以來，總共向WTO提請24次的貿易訴訟。USTR還指出，這次提起貿易訴訟，也同時請求成立爭端解決小組，審查並釐清中國對自身稻米、小麥和玉米產品政策支持的作法。USTR說，中國對這些農產品的「市場價格支持」的補助政策，金額已近1000億美元。1051216
台股短線氣勢偏強 有利短多操作,產經,2016/12/16 07:54,https://www.cna.com.tw/news/afe/201612160026.aspx,（中央社記者吳家豪台北16日電）投資人消化美國升息決定後，美股15日恢復漲勢收紅，歐洲主要股市漲幅多超過1%；法人分析，台股短線氣勢偏強，有利短多操作，應聚焦年底作帳權值股等輪動族群操作。
宏達電Vive攜故宮 推全球首創書法VR應用,產經,2016/12/16 08:50,https://www.cna.com.tw/news/afe/201612160040.aspx,（中央社記者江明晏台北16日電）宏達電攜手國立故宮博物院發表全球首創的書法沉浸式虛擬實境（VR）應用「自敘．心境」，透過HTC Vive，走入唐代書法家懷素，以狂草書寫成的〈自敘帖〉，還可親手題寫。
聯合國：全球工資成長遽減  創4年最低,產經,2016/12/16 08:52,https://www.cna.com.tw/news/afe/201612160041.aspx,（中央社日內瓦15日綜合外電報導）聯合國1份報告今天指出，全球工資成長大幅減緩，創下4年來最低。這項令人憂心的發展可能引發進一步不平等並抑制全球消費。
半導體B/B值11月為0.96 止跌回升,產經,2016/12/16 09:00,https://www.cna.com.tw/news/afe/201612160043.aspx,（中央社記者張建中新竹16日電）11月北美半導體設備製造商訂單出貨（B/B）值止跌回升，只是仍低於1大關，為0.96。
