標題,分類,時間,網址,內文
東芝擬售記憶體事業股權  傳鴻海有興趣,產經,2017/01/28 00:35,https://www.cna.com.tw/news/firstnews/201701280003.aspx,（中央社東京27日綜合外電報導）日本東芝公司表示，將出售記憶體晶片事業的少數股權，因為在投資美國核能事業虧損後必須減資數十億美元，目前亟需資金挹注。據傳台灣的鴻海集團對相關交易可能有興趣。據「東洋經濟」周刊（Toyo Keizai）報導，鴻海集團有興趣購買東芝（Toshiba Corp）的部分股權，或是買下東芝某些業務。路透社報導，熟悉鴻海集團的人士表示，鴻海董事長郭台銘希望建立先進的大螢幕顯示器事業，而關鍵在整合晶片、攝影機、貯存裝置和串流技術。他說，如果看到鴻海與包括東芝等業者展開協商，他「不會覺得意外」。鴻海公司尚未就此事發表評論。東芝總裁崗川智（Satoshi Tsunakawa）表示，公司有意出售記憶體晶片事業的不到20%股權。東芝是全球僅次於南韓三星電子（Samsung Electronics）的最大NAND型快閃記憶體晶片業者，這項事業是集團的獲利主力。東芝亟盼在這個會計年度於3月結束前完成這項交易。消息人士透露，東芝希望藉此籌資2000億日圓（17億美元）。消息人士告訴路透社，據東芝自己估計，記憶體晶片事業部門的價值在1兆至1.5兆日圓（90億至130億美元）間，上個會計年度的銷售額達8450億日圓，營業利益有1100億日圓。1060128
標準普爾將土耳其債信展望調降至負向,產經,2017/01/28 01:36,https://www.cna.com.tw/news/afe/201701280005.aspx,（中央社巴黎27日綜合外電報導）信評機構標準普爾（Standard and Poor's）今天指出，因土耳其貨幣里拉（lira）重貶，已將土國債信評等的展望由「穩定」調降至「負向」。
歐股漲跌互見,產經,2017/01/28 02:06,https://www.cna.com.tw/news/firstnews/201701280007.aspx,（中央社倫敦27日綜合外電報導）受到美國成長數據不如預期的影響，歐洲股市今天漲跌互見，倫敦股市因特易購公司（Tesco）併購題材推升而收高。倫敦FTSE 100指數上漲0.32%，收在7184.49。法蘭克福DAX 30指數下跌0.29%，收在11814.27。巴黎CAC 40指數下跌0.56%，收在4839.98。（譯者：中央社徐睿承）1060128
多空互抵 美股小幅拉回,產經,2017/01/28 05:34,https://www.cna.com.tw/news/firstnews/201701280010.aspx,（中央社紐約27日綜合外電報導）美股今天持續小幅拉回，主要因部分未激起市場興趣的企業財報和經濟成長數據，抵消近期投資人對總統川普政策行動的看好。道瓊工業指數終場下跌7.13點，或0.04%，收在20093.78點；標準普爾500指數下跌1.99點，或0.09%，收在2294.69點。以科技股為主的那斯達克指數上漲5.605點，或0.10%，收在5660.781點 。（譯者：中央社徐睿承）1060128
評估OPEC減產承諾 油價拉回,產經,2017/01/28 11:15,https://www.cna.com.tw/news/afe/201701280013.aspx,（中央社紐約27日綜合外電報導）油價今天下跌，因投資人評估石油輸出國家組織（OPEC）減產原油的承諾，及受美國鑽油井數量增至2015年11月以來新高等影響。
春節小旅行 全國11大觀光工廠好去處,產經,2017/01/28 11:13,https://www.cna.com.tw/news/afe/201701280021.aspx,（中央社記者韋樞台北28日電）春節連假正是閤家大小出遊的好時機，有吃、有玩、還能長知識的觀光工廠是最佳選擇。2016年全國有11家獲選為優良觀光工廠，春節假期不妨出去散散心。
春節懶得出門 購物APP搞定,產經,2017/01/28 10:20,https://www.cna.com.tw/news/afe/201701280036.aspx,（中央社記者鍾榮峰台北28日電）春節賴床不想出門，但又想來杯飲料或手癢想敗一下藥妝品怎麼辦？現在有廠商透過Beacon結合APP服務，可讓你輕鬆完成願望，還可以線上逛大街。
過年到觀光工廠 北中南東可以這樣玩,產經,2017/01/28 11:13,https://www.cna.com.tw/news/afe/201701280037.aspx,(中央社記者黃巧雯台北28日電）今年農曆春節有6天假期，想好要和家人去哪玩了嗎？經濟部中部辦公室推薦北、中、南、東4條觀光工廠遊憩行程，讓民眾可以攜家帶眷一同出遊。
春節出國民眾如織 緝毒犬堅守崗位,產經,2017/01/28 10:50,https://www.cna.com.tw/news/afe/201701280048.aspx,（中央社記者邱柏勝台北28日電）春節連假是民眾旅遊旺季，機場擠滿了出國的人潮，但「牠們」不僅沒辦法休年假，還得輪流執勤，為守護台灣門戶而努力。而牠們就是每次出勤，必定引起注目的海關緝毒犬。
哪些投注站必朝聖？這兩家中過6次頭彩,產經,2017/01/28 10:52,https://www.cna.com.tw/news/afe/201701280052.aspx,（中央社記者田裕斌台北28日電）有的彩券行就是特別旺，根據台灣彩券統計，高雄市鳳山區的「年年有餘彩券行」與台中市西區的「阿連壹陸捌彩券行」各開出過6次頭彩，火熱程度領先全台灣5800家彩券行。
美國退出TPP  大馬官員建議大陸取代,產經,2017/01/28 12:19,https://www.cna.com.tw/news/afe/201701280092.aspx,（中央社記者郭朝河吉隆坡28日專電）美國宣布退出跨太平洋夥伴協定（TPP），馬來西亞種植及原產業部長馬袖強建議，邀請中國大陸加入。
微風今年營運目標 廖鎮漢：年增10%,產經,2017/01/28 15:20,https://www.cna.com.tw/news/afe/201701280100.aspx,（中央社記者韋樞台北28日電）在鑼鼓喧天、舞獅的慶賀下，微風集團台北市四個館今早同步舉行福袋迎新春活動，大批民眾排隊買福袋等著抽好禮，集團董事長廖鎮漢非常有信心，設定今年業績成長10%。
買福袋中汽車 母為兒抽中聘禮,產經,2017/01/28 14:24,https://www.cna.com.tw/news/afe/201701280104.aspx,（中央社記者王淑芬高雄28日電）「真的太高興了」、「太幸運了」。年逾60歲的謝柳樓今天與先生一早到漢神巨蛋百貨購買3份共新台幣600元的福袋，中了頭獎一輛價值逾60萬元的汽車，她說要做為兒子的聘禮。
福袋首次買手氣就超好 汽車現金抱回家,產經,2017/01/28 16:10,https://www.cna.com.tw/news/afe/201701280147.aspx,（中央社記者韋樞台北28日電）大年初一，各大百貨公司紛紛舉辦買福袋抽大獎活動，新光三越、太平洋SOGO百貨與京華城的最大獎，包括新台幣50萬元現金、汽車、豪華郵輪9日遊，都由第一次買福袋的消費者抽中抱回家。
百大旅遊地出爐 台北超夯打趴首爾東京,產經,2017/01/28 16:16,https://www.cna.com.tw/news/firstnews/201701280150.aspx,（中央社台北27日電）最新「全球百大旅遊目的地城市」出爐，香港依舊穩坐冠軍寶座，台北也以900萬遊客人次榮登第14，擠下國人最夯的旅遊城市東京與首爾。美國「有線電視新聞網」（CNN）引述市場研究諮詢機構「歐睿信息諮詢公司」（Euromonitor International Ltd.）最新報告報導，香港2015年遊客2669萬人次，連續7年蟬聯第一。台北2015年有900萬人次造訪，勝過哈韓、哈日族超夯的首爾與東京。南韓首爾有880萬人次，排第15，日本東京則是846萬人次，名列17。泰國首都曼谷也吸引了1870萬人次海外遊客造訪，擠下1858萬人次的英國倫敦躍居第2。新加坡也有1687萬遊客人次，登上第4，緊接在後的是法國「浪漫之城」巴黎，吸引1500萬人次。「歐睿信息諮詢公司」指出，2015年對全球來說，都是動盪不安的一年，舉凡恐怖攻擊、地緣政治衝突、經濟不確定性與中東呼吸症候群（MERS）及茲卡病毒等健康災難，都影響遊客的一舉一動。不過，相2014年相比，前百大旅遊城市的國際觀光客人次，依然成長達55%。「歐睿信息諮詢公司」蒐集57個國家的機場、旅館等旅遊業資訊，彙編出這份名單。（譯者：中央社周莉芳）1060128
歐盟對兩岸不鏽鋼管接頭課徵反傾銷稅,產經,2017/01/28 17:11,https://www.cna.com.tw/news/afe/201701280163.aspx,（中央社記者鍾榮峰台北28日電）經濟部國貿局表示，歐盟執委會公告對台灣及中國大陸不鏽鋼管接頭課徵最終反傾銷稅，其中台廠新萊應材獲判0%，大成不銹鋼獲判5.1%，其餘廠商將被課徵12.1%。
台塑化：汽柴油下週不調漲,產經,2017/01/28 17:36,https://www.cna.com.tw/news/firstnews/201701280166.aspx,（中央社記者鍾榮峰台北28日電）台塑石化公司今天宣布，考量適逢農曆春節期間，下週汽、柴油批售價格暫不調漲，市場零售價格由加油站自行決定。根據台塑石化公告油價，1月30日凌晨1時起，加盟加油站參考零售價分別為92無鉛汽油每公升24.8元、95無鉛汽油26.3元、98無鉛汽油28.6元、超級柴油22.3元。台塑石化表示，受石油輸出國組織（OPEC）實施減產措施影響，致使本週國際油價震盪上漲，依近期國際油價走勢、新台幣兌美元匯率計算，國內汽、柴油批售價格應各調漲每公升 0.1元，但考量適逢農曆春節期間，決定汽、柴油批售價格暫不調漲，市場零售價格由加油站自行決定。1050128
新春財神到  3名幸運兒刮中百萬大獎,產經,2017/01/28 18:32,https://www.cna.com.tw/news/afe/201701280193.aspx,（中央社記者鍾榮峰台北28日電）金雞年春節好天氣，不少人買個刮刮樂試試手氣。過年前後有3名幸運兒，用1000元到2000元的成本，分別刮中了百萬大獎。
新春福袋好運旺 按摩椅商品券帶回家,產經,2017/01/28 19:11,https://www.cna.com.tw/news/afe/201701280199.aspx,（中央社記者鍾榮峰台北28日電）大年初一各大百貨公司紛紛舉辦買福袋抽大獎，南紡購物中心送出大獎全碳纖健身自行車和3D按摩椅。台中大遠百下午抽出頭獎價值16.8萬元的商品券。
初一春節大紅包開獎,產經,2017/01/28 20:56,https://www.cna.com.tw/news/afe/201701280206.aspx,（中央社台北28日電）大樂透初一春節大紅包今晚開獎，中獎號碼分別為17、31、46、28、6、38、34、8、41、33。
大福彩開獎,產經,2017/01/28 20:59,https://www.cna.com.tw/news/afe/201701280207.aspx,（中央社台北28日電）第106008期大福彩今晚開獎，中獎號碼為35、36、28、33、16、1、19，特別號為18。
大樂透開獎,產經,2017/01/28 21:01,https://www.cna.com.tw/news/afe/201701280208.aspx,（中央社台北28日電）第106009期大樂透今晚開獎。中獎號碼為32、25、19、20、30、1，特別號2。
大福彩頭獎槓龜,產經,2017/01/28 22:01,https://www.cna.com.tw/news/afe/201701280217.aspx,（中央社台北28日電）第106008期大福彩今晚開獎，中獎號碼為35、36、28、33、16、1、19，特別號為18，派彩結果，頭獎槓龜。
今彩539 頭獎無人中,產經,2017/01/28 22:03,https://www.cna.com.tw/news/afe/201701280218.aspx,（中央社台北28日電）第106024期今彩539開獎，中獎號碼7、39、8、10、29。派彩結果，頭獎槓龜。
春節大紅包初一來吃紅 157注中獎,產經,2017/01/28 22:13,https://www.cna.com.tw/news/afe/201701280219.aspx,（中央社記者鍾榮峰台北28日電）大樂透大年初一春節大紅包今晚開獎，210組中開出109組，總中獎注數157注，其中71組為單注中獎，28組為2注均分，10組為3注均分。
大樂透頭獎嘉義開出 1注獨得1億,產經,2017/01/28 22:21,https://www.cna.com.tw/news/afe/201701280220.aspx,（中央社記者鍾榮峰台北28日電）第106009期大樂透今晚開獎。中獎號碼為01、19、20、25、30、32，特別號02；派彩結果，頭獎1注中獎，獎金新台幣1億元。
