標題,分類,時間,網址,內文
全球2100萬強迫勞工 產值驚人,產經,2014/05/21 01:09,https://www.cna.com.tw/news/afe/201405210006.aspx,（中央社日內瓦20日綜合外電報導）聯合國國際勞工組織（ILO）今天表示，全球約有2100萬強迫勞工，他們每年產生1500億美元非法利潤，全球應根除這種濫用勞工的情況。
費雪任Fed副主席 即將最後表決,產經,2014/05/21 06:51,https://www.cna.com.tw/news/afe/201405210013.aspx,（中央社華盛頓20日綜合外電報導）費雪（Stanley Fischer）接任美國聯邦準備理事會（Fed）副主席的提名案，今天在參議院排除主要程序障礙，參院預定明天進行最後表決。各界普遍預期參院將通過這項任命案。
新揚科產線擴充 陸成長可期,產經,2014/05/21 07:07,https://www.cna.com.tw/news/afe/201405210014.aspx,（中央社記者江明晏台北21日電）新揚科生產線擴充完成，今年4月營收明顯提升，以台幣1.8億元創歷史新高，法人指出，新揚科陸系、台系、美系客戶今年穩定發展，中國大陸客戶成長空間可期。
裕日車推JUKE星戰特仕版,產經,2014/05/21 07:27,https://www.cna.com.tw/news/afe/201405210016.aspx,（中央社記者田裕斌台北21日電）裕日車宣布推出NISSAN JUKE「星戰特仕版」，限量60台，1.6升自然進氣版售價新台幣88.5萬元、1.6升渦輪增壓版116.9萬元。
美股大跌 台股走勢仍偏多,產經,2014/05/21 07:55,https://www.cna.com.tw/news/afe/201405210020.aspx,（中央社記者潘智義台北21日電）台股5月20日未能上演慶祝行情，接著美股道瓊工業指數大跌逾百點；法人對今天台股表現看法相對保守，但偏多格局未變。
汽車胎壓監控 愛德萬提方案,產經,2014/05/21 07:55,https://www.cna.com.tw/news/afe/201405210021.aspx,（中央社記者鍾榮峰台北21日電）測試設備大廠愛德萬測試(Advantest)表示，已安裝一套整合式測試設備，可因應汽車胎壓監控系統MEMS感測器測試需求。
台灣紡織團上海參展 拓商機,產經,2014/05/21 07:55,https://www.cna.com.tw/news/afe/201405210022.aspx,（中央社記者韋樞台北21日電）紡拓會協助業者拓展商機，明起3天組團參加「2014(春季)上海國際紡織面料展STA FABRIC」，紡拓會將全力推廣「機能性紡織品全球驗證推廣活動及產品發佈會」，宣揚台灣專業地位。
頎邦吃新單  切入美系手機新品,產經,2014/05/21 07:55,https://www.cna.com.tw/news/afe/201405210023.aspx,（中央社記者鍾榮峰台北21日電）法人表示，LCD驅動IC封測廠頎邦第2季獲新單，續供應日系面板驅動IC大廠封裝和金凸塊產品，間接切入美系智慧型手機新品，預估第3季出貨量可大增3倍。
房屋稅修法 對自住者影響不大,產經,2014/05/21 08:01,https://www.cna.com.tw/news/afe/201405210024.aspx,（中央社記者韋樞台北21日電）立法院三讀通過房屋稅條例修正條文，將非自住房屋稅率提高至1.5%到3.6%。房仲表示，這次修法主要針對持有多戶住宅的大戶加稅，對一般自住者影響不大。
微軟小尺寸平板計畫傳打退堂鼓,產經,2014/05/21 08:07,https://www.cna.com.tw/news/afe/201405210026.aspx,（中央社台北21日電）彭博報導，知情人士透露，苦於難以切入平板市場的軟體巨擘微軟，在推出搭配高通處理器的小尺寸Surface平板計畫上，打退堂鼓。
投顧：北半球栽種期 農業夯,產經,2014/05/21 08:12,https://www.cna.com.tw/news/afe/201405210027.aspx,（中央社記者潘智義台北21日電）霸菱投顧指出，北半球栽種期已開始，可望嘉惠上游種子肥料廠商，看好農業相關投資。
政府關懷團赴越  解決台商需求,產經,2014/05/21 08:19,https://www.cna.com.tw/news/afe/201405210032.aspx,（中央社記者邱俊欽桃園機場21日電）「關懷越南台商訪問團」今天啟程，經濟部次長沈榮津表示，此行成員包括具有決策權主管，盼第一時間解決台商需求。
威盛旗下威睿虧2.17億元,產經,2014/05/21 08:25,https://www.cna.com.tw/news/afe/201405210033.aspx,（中央社記者張建中新竹21日電）IC設計廠威盛旗下手機晶片廠威睿電通第1季營運持續虧損，稅後淨損新台幣2.17億元。
Fed官員料升息步調將相對緩慢,產經,2014/05/21 08:27,https://www.cna.com.tw/news/afe/201405210034.aspx,（中央社台北21日電）彭博報導，紐約聯邦準備銀行（Federal Reserve Bank of New York）總裁杜德里（William C. Dudley ）指出，最終利率調升步調「恐將相對緩慢」，取決於經濟進展和金融市場反應。
國經協會訪以色列  簽合作備忘,產經,2014/05/21 08:31,https://www.cna.com.tw/news/afe/201405210035.aspx,（中央社記者郭淑鳳耶路撒冷20日專電）由中華民國國際經濟合作協會籌組的台灣代表團於19日抵達以色列訪問，並召開第6屆台以經濟聯席會議，國經協會與以色列出口協會簽訂合作備忘錄。
Google踹蘋果 登最有價值品牌,產經,2014/05/21 08:37,https://www.cna.com.tw/news/afe/201405210038.aspx,（中央社巴黎21日綜合外電報導）全球性市場研究機構「明略行」（Millward Brown）今天發布的調查指出，美國搜尋引擎巨擘谷歌（Google）超越蘋果（Apple），躍登全球最有價值品牌。
