標題,分類,時間,網址,內文
1至2月千萬發票 還有6張沒領,產經,2014/05/25 09:58,https://www.cna.com.tw/news/firstnews/201405250020.aspx,（中央社記者韋樞台北25日電）今天中午將公布今年3、4月統一發票中獎號碼。財政部統計，上一期開出1、2月的千萬元特別獎和200萬元特獎，還有10張共價值6800萬元未兌領，最好快去找出發票，別讓大獎飛了。財政部統計，今年1、2月的千萬元特別獎還有6張未兌領，200萬元特獎還有4張未兌領，總共價值新台幣6800萬元等著有緣人來領。財政部表示，千萬元發票中獎號碼是「34231966」，未兌領的6張分別從北市南京東路5段208號滿席小吃店的198元便當、新北板橋貴興路80號和82號1樓萊爾富超商的90元菸品、台南市中華東路3段379號1樓統一超商的87元飲料。另有屏東縣東港鎮光復路1段188號正六百貨五金行的276元五金、高雄市鼓山區明華路204號統一超商的61元食品飲料等、高雄市左營區文自路 648-1 號屏南五金百貨行的20元五金。200萬元特獎發票中獎號碼是「57287066」，未兌領的4張分別從台北市師大路39巷6號金興發公司師大一分公司的193元生活日用品、台南市北區臨安路2段309號1樓犬貴族寵物用品公司190元飼料、高雄旗山區旗屏路17號久井企業旗山交流道加油站的499元柴油、高雄市前鎮區漁港南一路19之1號中油公司南一路加油站的60元汽油。1030525
新鮮人投保還本險 保障儲蓄兼顧,產經,2014/05/25 09:39,https://www.cna.com.tw/news/afe/201405250024.aspx,（中央社記者田裕斌台北25日電）畢業季將至，社會新鮮人即將投入職場，壽險業者建議，在年輕時投保還本型保險，可享有意外險及壽險的雙重保障，保障期滿還可領回滿期保險金，具強迫儲蓄功能。
建構智慧城市 經部6方向推動,產經,2014/05/25 11:20,https://www.cna.com.tw/news/firstnews/201405250026.aspx,（中央社記者黃巧雯台北25日電）因應4G時代來臨為建構寬頻智慧城市，營造便利科技新生活，經濟部將推動建置6大重點項目。包括4G網路接取與應用測試環境、豐富4G內容服務與創新應用、發展4G先進商務模式、構建4G智慧寬頻應用城市、公益應用服務、研發行動寬頻新興技術等。由於高速行動通訊技術發展已逐漸成熟，國內外電信業者開始大規模布建4G服務網，顯示發展智慧城市已刻不容緩，因此行政院規劃「加速行動寬頻服務及產業發展方案」。其中，將從「加速行動寬頻網路布建」、「行動寬頻創新應用服務」、「消費者權益保障」、「行動寬頻技術發展」及「行動寬頻尖端技術人才培育」等 5大主軸，打造行動寬頻智慧台灣，創造食、衣、住、行、育、樂全方位便利生活。經濟部工業局也將推動 6大重點項目，包括將將選擇3至4處場域建立試驗網，以提供終端測試、局端設備測試、組網技術驗證及應用驗證等工作，發展新一代通訊技術。除了將推動多元內容創新的多媒體服務模式外，工業局也計畫打造智慧園區、智慧商圈、智慧交通及智慧行動商務等服務驗證平台，後續銜接4G運營商的營運服務。工業局表示，未來還將推動構建4G智慧寬頻應用城市，由4G業者/系統業者主導，結合地方政府需求，推動智慧安全、智慧照護、智慧物流、智慧支付、智慧運輸及智慧娛樂等整合性應用服務。其他則還有協助開發資深公民或弱勢族群相關產品與示範應用，打造4G無障礙應用，落實人文關懷、研發行動寬頻新興技術等重點工作。1030525
台中加工區污水處理廠即將動工,產經,2014/05/25 09:49,https://www.cna.com.tw/news/afe/201405250029.aspx,（中央社記者黃巧雯台北25日電）台中加工出口區斥資逾4億元，規劃興建園區綜合污水處理廠近日已發包、即將動工，預計106年完工試運轉，屆時將有助提升園區的污水處理品質。
股市漲 11檔台股基金淨值創高,產經,2014/05/25 09:51,https://www.cna.com.tw/news/afe/201405250030.aspx,（中央社記者許湘欣台北25日電）台股在電子股帶動下，上週再度站上9000點大關，台股基金也水漲船高，根據投信統計，有11檔台股基金淨值創新高。
台股續攻  看外資與量能,產經,2014/05/25 10:03,https://www.cna.com.tw/news/afe/201405250037.aspx,（中央社記者許湘欣台北25日電）美股攀高、台股上週寫下近 3年來高點。投信業者指出，台股創高後可望震盪續攻，但需注意外資動向與量能是否可搭配。
調金融營業稅  保經代壓力大,產經,2014/05/25 10:03,https://www.cna.com.tw/news/afe/201405250039.aspx,（中央社記者吳靜君台北25日電）立法院三讀通過金融營業稅從2%調整為5%，保經代的壓力大。永達保經表示，每年要繳的金融營業稅，起碼增加新台幣 1億元，幾乎倍增。
ECFA論壇  28日在台舉行,產經,2014/05/25 10:07,https://www.cna.com.tw/news/afe/201405250041.aspx,（中央社記者林孟汝台北25日電）聚焦「合作創新，共享繁榮」，第 5屆ECFA海峽兩岸暨香港民間經貿合作論壇28日在台北舉行，邀請兩岸三地企業代表與會；第6屆論壇將在大陸浙江省杭州市舉行。
中產階級百萬戶  家庭理財成顯學,產經,2014/05/25 10:12,https://www.cna.com.tw/news/afe/201405250043.aspx,（中央社記者田裕斌台北25日電）依據主計總處公布2012年家庭收支報告，個人年度所得新台幣60至100萬元的人口將近270萬，推估在台灣中產階級家庭戶約達百萬戶，以家庭為單位的理財模式成市場主流。
助台商 專家服務團26日赴越南,產經,2014/05/25 10:42,https://www.cna.com.tw/news/afe/201405250050.aspx,（中央社記者黃巧雯台北25日電）經濟部次長沈榮津所率領的關懷越南台商訪問團24日下午搭機返台，經濟部今天宣布，協助越南台商專家服務團26日至30日將赴越南受災嚴重省市，協助台商復原重建。
