標題,分類,時間,網址,內文
中信金信扶專案  擴大辦理,產經,2014/05/09 07:03,https://www.cna.com.tw/news/afe/201405090012.aspx,（中央社記者田裕斌台北9日電）中信金控旗下中國信託慈善基金會推動「信扶專案」滿3年，今年決定擴大辦理，不但要在全省舉辦8場說明會，也首次接受個人報名。
鑫創第1季每股虧0.27元,產經,2014/05/09 07:21,https://www.cna.com.tw/news/afe/201405090018.aspx,（中央社記者張建中新竹9日電）記憶體控制晶片廠鑫創第1季由盈轉虧，稅後淨損新台幣1873萬元，每股虧損0.27元。
華航9000萬美元 和解美訴訟案,產經,2014/05/09 07:55,https://www.cna.com.tw/news/afe/201405090019.aspx,（中央社台北9日電）彭博報導，繼稍早其他航空公司達成21起和解案後，中華航空公司同意支付9000萬美元，和解共謀操縱航空貨運價格案。
遠傳電信服務佳 勇奪雙料獎,產經,2014/05/09 08:01,https://www.cna.com.tw/news/afe/201405090020.aspx,（中央社記者江明晏台北9日電）遠傳電信宣布，今年再度獲經理人月刊「影響力品牌調查電信服務類」特優獎，以及電信業唯一獲數位時代「綠色品牌大調查」優選獎。
PHS升級重整 大眾電信將說明,產經,2014/05/09 08:18,https://www.cna.com.tw/news/firstnews/201405090021.aspx,（中央社記者江明晏台北9日電）打破沈默，全台目前僅剩70萬戶的PHS大眾電信今天上午將召開記者會，預計將對外說明PHS升級系統與重整計劃進度，破除淡出市場謠言。大眾電信成立於1997年，2001年推出 PHS業務，主打低功率、少負擔，比一般行動電話健康，而且不影響醫院、醫療器材運作，成為許多醫護人員愛用系統。2005年 PHS用戶數超越百萬戶，紅極一時，但隨後卻不敵網內語音互打免費與行動上網潮流，營運漸走下坡，2008年向台北地方法院聲請重整，目前用戶約剩70萬戶，門市所剩無幾，市場更傳言大眾電信將默默淡出市場。大眾電信今天將召開記者會說明重整計劃進度，並邀請日本XGP Forum（下一代PHS論壇）代表，報告升級台灣PHS系統的新技術XGP系統。大眾電信於2008年9月發生資金缺口，主動通知國家通訊傳播委員會（NCC）、2009年大眾電信重整計劃獲台北地方法院裁定通過 、2012年4月起NCC同意大眾電信暫停大高雄與大台中地區業務。大眾電信去年9月曾公告重整計劃獲准延展一年，至今年9月20日。1030509
億光4月營收  創新高,產經,2014/05/09 08:21,https://www.cna.com.tw/news/afe/201405090022.aspx,（中央社記者韓婷婷台北9日電）億光4月合併營收為25.57億元，年增32.2%，月增14.47%，創下歷史新高紀錄，是繼晶電後第2家改寫新高紀錄的LED大廠。
傳蘋果將砸32億美元收購Beats,產經,2014/05/09 08:21,https://www.cna.com.tw/news/afe/201405090024.aspx,（中央社洛杉磯8日綜合外電報導）「今日美國報」（USA Today）報導，據傳蘋果公司（Apple）將以32億美元收購潮牌耳機與音樂服務公司Beats Electronics。
台股偏向多方 個股表現為主,產經,2014/05/09 08:31,https://www.cna.com.tw/news/afe/201405090027.aspx,（中央社記者許湘欣台北9日電）台股站回8900點，歐股攀抵近6年來新高，美股漲跌互見。全球股市處於高檔，在近日財報與營收高峰下，法人指出，仍以個股表現為主，多方氣勢增強，指數有望創波段高點。
欣興4月營收 月減2.2%,產經,2014/05/09 08:49,https://www.cna.com.tw/news/afe/201405090030.aspx,（中央社記者江明晏台北9日電）欣興公布4月營收新台幣49.01億元，月減2.2%、年減4.81%，累計今年前4月營收184.57億元，較2013年同期衰退6.62%。
投信：歐股有空間 中小型看好,產經,2014/05/09 08:55,https://www.cna.com.tw/news/afe/201405090031.aspx,（中央社記者許湘欣台北 9日電）歐洲景氣復甦明確，歐股站上波段高峰，投信業者指出，歐洲企業獲利具有趕上美國潛力，相對美股仍有空間，加以併購和重組兩大題材，中小型股與可轉債看好。
