標題,分類,時間,網址,內文
陸紡機購買力 占全球逾6成,產經,2014/10/06 07:11,https://www.cna.com.tw/news/afe/201410060006.aspx,（中央社記者韋樞台北6日電）紡拓會引述全球紡織網的消息，國際紡織製造商聯合會（ITMF）公佈2014上半年全球銷售資料，紡織機械主要市場在亞洲，中國大陸購買力占到60%以上，惟增長速度放緩。
素還真說國語 中華電MOD出擊,產經,2014/10/06 07:11,https://www.cna.com.tw/news/afe/201410060007.aspx,（中央社記者江明晏台北6日電）中華電信MOD創新出擊，全台獨家首播2014霹靂最新年度大戲「霹靂開天記之創神篇」HD高畫質國語版，以嶄新的布袋戲影音體驗，開拓新客戶群並提升既有用戶黏著度。
房市冷清  生活機能優較抗跌,產經,2014/10/06 07:29,https://www.cna.com.tw/news/afe/201410060010.aspx,（中央社記者韋樞台北6日電）六都前9月買賣移轉棟數創13年以來新低，房仲認為，中古屋交易冷清無法被928檔期帶動，短期內房市難以回溫，建議首購、換屋或長期置產客，優先考慮近捷運站生活機能優的區域。
4G熱戰  電信業出手固樁,產經,2014/10/06 07:35,https://www.cna.com.tw/news/afe/201410060012.aspx,（中央社記者江明晏台北 6日電）電信商打4G戰，不只搶客也要固樁，遠傳電信宣布，10月起白金會員續約4G絕配方案，加碼贈送高鐵商務車廂升等券。
總裁辭世  市場關注富邦金股價,產經,2014/10/06 07:49,https://www.cna.com.tw/news/afe/201410060015.aspx,（中央社記者田裕斌台北 6日電）富邦集團總裁蔡萬才以86歲高齡辭世，在消息面影響下，雖然美股上周五大漲，但集團旗下富邦金控、台灣大股價恐有震盪。
美股大漲 金管會預期釋利多,產經,2014/10/06 08:13,https://www.cna.com.tw/news/afe/201410060018.aspx,（中央社記者潘智義台北6日電）受金管會可望射出政策利多第4箭的激勵，台股上週五大漲131.09點，隨後美股在公布經濟數據帶動下，也大漲208點；政策仍是本週影響台股重要因素。
F-立凱營收大增 Q4需求續強,產經,2014/10/06 08:22,https://www.cna.com.tw/news/afe/201410060020.aspx,（中央社記者韓婷婷台北6日電）電動巴士系統與磷酸鐵鋰電池正極材料龍頭F-立凱， 9月合併營收為新台幣9400萬元，年增109%，連續3個月高度成長，第4季需求持續強勁。
蔡萬才辭世 日月光同感悲傷,產經,2014/10/06 08:47,https://www.cna.com.tw/news/afe/201410060026.aspx,（中央社記者鍾榮峰台北6日電）富邦集團總裁蔡萬才以86歲高齡辭世，半導體封測大廠日月光表示，同感悲傷，請家屬節哀。
惠普傳擬分拆PC印表機事業,產經,2014/10/06 09:01,https://www.cna.com.tw/news/afe/201410060030.aspx,（中央社巴羅艾托5日綜合外電報導）「華爾街日報」（WSJ）今天披露，惠普（Hewlett-Packard Co.）計畫分拆成2家個別公司，而將個人電腦（PC）和印表機事業，從企業硬體暨服務事業分拆出來。
台股開盤上漲12點,產經,2014/10/06 09:11,https://www.cna.com.tw/news/afe/201410060031.aspx,（中央社台北6日電）台北股市今天開盤漲12點，加權股價指數成為9118.28點，成交金額新台幣17.4億元。
