標題,分類,時間,網址,內文
英國潮皮包  源自家庭主婦巧思,產經,2014/11/16 09:15,https://www.cna.com.tw/news/afe/201411160020.aspx,（中央社記者黃貞貞倫敦特稿）英國時尚目前最潮的皮包，莫過於The Cambridge Satchel Company生產，以復古書包為設計藍本的皮包。
統一發票盃路跑 1.4萬人共襄盛舉,產經,2014/11/16 09:01,https://www.cna.com.tw/news/afe/201411160022.aspx,（中央社記者韋樞台北16日電）約1萬4000名路跑愛好者，不畏清晨寒氣，熱力參加今年第5場統一發票盃路跑賽，財政部長張盛和表示，路跑賽除了健康目的，更要推廣使用電子發票，讓消費過程清楚易追蹤。
FTA衝擊 產業轉型列車啟動,產經,2014/11/16 09:02,https://www.cna.com.tw/news/afe/201411160023.aspx,（中央社記者黃巧雯台北16日電）因應中韓FTA衝擊，經濟部產業升級轉型服務團11月下旬將啟動服務團列車，首波預計舉辦5場說明會，提供業者升級轉型協助。
全美最酷小店  波霸飲料擄人心,產經,2014/11/16 09:26,https://www.cna.com.tw/news/afe/201411160025.aspx,（中央社記者吳協昌洛杉磯特稿）姜竣傑童心未泯的說，他常常有很多瘋狂的想法，由於喜歡喝波霸奶茶，也常常會喝點小酒，有一天突然想到可以將波霸與酒結合在一起，「波霸7號」就因此而產生。
Juicy Couture  熱門服飾興衰,產經,2014/11/16 09:26,https://www.cna.com.tw/news/afe/201411160026.aspx,（中央社記者顏伶如波特蘭特稿）當不少美國女性消費者的流行品味及喜好，已經隨著社會環境及經濟不景氣等因素而改變時，Juicy Couture並沒有抓穩「如流水」的時尚流向，終致淪為遭後浪取代的前浪。
廠商線上辦變更登記 無需檢附證明,產經,2014/11/16 09:33,https://www.cna.com.tw/news/afe/201411160028.aspx,（中央社記者林孟汝台北16日電）經濟部表示，出進口廠商「變更登記」，18日起將可在一站式網站申辦，廠商以工商憑證簽章就可辦理，無需檢附公司或商業登記證明文件。
滬港通 張盛和：觀察交易情形,產經,2014/11/16 09:35,https://www.cna.com.tw/news/afe/201411160029.aspx,（中央社記者韋樞台北16日電）財政部長張盛和表示，滬港通明天上路，雙方交易情形還要觀察，但他不認為滬港一通，台股資金就會流出數千億元；相對的，中韓FTA對台灣產業影響更深遠，不容忽視。
松山線上路 未來看民生汐止線,產經,2014/11/16 09:38,https://www.cna.com.tw/news/afe/201411160030.aspx,（中央社記者韋樞台北16日電）北市捷運松山線15日通車，為松山區和南京東路沿線的便利再添利多，房仲表示，距松山線不遠汐止民生線的民生敦化站，生活機能超強，平均房價約80.3萬元，在汐止線完成前相對抗跌。
中韓FTA  台面板應克服關稅壓力,產經,2014/11/16 09:39,https://www.cna.com.tw/news/afe/201411160031.aspx,（中央社記者潘智義台北16日電）中韓自由貿易協定（FTA）搶先拍板，兩岸貨貿協議未簽；南韓面板銷陸可望免關稅，台灣面板銷陸仍要課關稅，台廠須克服關稅墊高成本的壓力。
◆日圓重貶 台工具機優勢抗威脅,產經,2014/11/16 09:40,https://www.cna.com.tw/news/afe/201411160032.aspx,（中央社記者鍾榮峰台北16日電）日圓持續重貶，整體觀察，台廠工具機價格競爭力雖受威脅，台廠仍具備產業聚落和客製化能力等優勢因應。
