標題,分類,時間,網址,內文
矽晶圓業者鹹魚翻身 明年營運亮麗可期,產經,2017/11/12 08:21,https://www.cna.com.tw/news/afe/201711120015.aspx,（中央社記者張建中新竹12日電）半導體矽晶圓缺貨情況持續不斷，半導體業界普遍認為，明年缺貨問題仍將無法舒緩，矽晶圓廠營運亮麗可期。
獅子山又挖到巨鑽 476克拉,產經,2017/11/12 09:49,https://www.cna.com.tw/news/afe/201711120019.aspx,（中央社獅子山自由市11日綜合外電報導）鑽石礦產豐富的獅子山共和國，又挖出一顆高達476克拉的巨大鑽石。8個月前，獅子山才挖到高達709克拉的超級巨鑽。
MOSFET外商轉向  台廠喜迎缺貨潮,產經,2017/11/12 10:14,https://www.cna.com.tw/news/afe/201711120028.aspx,（中央社記者張建中新竹12日電）隨著國外金氧半場效電晶體(MOSFET)廠營運重心紛紛轉向高毛利應用市場，台系MOSFET廠受惠轉單效益，甚至迎來缺貨潮，營運水漲船高。
MLCC缺貨到明年底 台廠持續擴產,產經,2017/11/12 11:45,https://www.cna.com.tw/news/afe/201711120067.aspx,（中央社記者鍾榮峰台北12日電）MLCC持續供不應求，預期部分品項缺貨可能延續到明年底。MLCC缺貨主要是日系大廠釋出產能、供給結構變化、以及市場需求增加三大原因，台廠持續擴產因應。
油價連4漲 汽柴油13日起漲6角及7角,產經,2017/11/12 13:13,https://www.cna.com.tw/news/firstnews/201711120072.aspx,（中央社記者蔡怡杼台北12日電）中油公司依浮動油價機制計算，將自明天凌晨零時起各式汽油價格每公升調漲新台幣0.6元、柴油價格每公升調漲0.7元，為連續4週調漲。調整後的參考零售價格分別為92無鉛汽油每公升26.4元、95無鉛汽油每公升27.9元、98無鉛汽油每公升29.9元、超級柴油每公升24.3元。中油公司表示，本週原油價位受到沙烏地阿拉伯王儲穆罕默德．沙爾曼（Mohammed bin Salman）以肅貪為由，拘捕包含阿瓦里德(Alwaleed bin Talal)親王在內等11名皇室成員及數10名現任及前任內閣部長，政治局勢動盪堪稱史上前所未有。另外，沙烏地阿拉伯與反葉門政府組織於兩國邊境交戰，沙國封鎖葉門對外的陸海空交通要道，使中東地緣政治緊繃而大漲。1061112油價連4漲創近3年新高 98無鉛逼近30元（中央社記者蔡怡杼台北12日電）中油公司依浮動油價機制計算，自明天凌晨零時起，各式汽油價格每公升調漲新台幣0.6元及柴油價格每公升調漲0.7元，為連續4週上漲，是103年12月後的近3年新高。調整後的參考零售價格分別為92無鉛汽油每公升26.4元、95無鉛汽油每公升27.9元、98無鉛汽油每公升29.9元、超級柴油每公升24.3元。103年12月8日當週92無鉛汽油每公升26.9元、95無鉛汽油每公升28.4元、98無鉛汽油每公升30.4元、超級柴油每公升25.1元。中油公司表示，本週原油價格受到沙烏地阿拉伯王儲穆罕默德．沙爾曼（Mohammed bin Salman）以肅貪為由，拘捕包含阿瓦里德親王（Alwaleed bin Talal）在內等11名皇室成員及數10名現任及前任內閣部長，政治局勢動盪，前所未有。另外，沙烏地阿拉伯與反葉門政府組織於兩國邊境交戰，沙國封鎖葉門對外的陸海空交通要道，也導致原油價格因中東地緣政治緊繃而大漲。中油公司指出，本週調價指標7D3B週均價為每桶62.43美元，較前週59.38美元，上漲3.05美元，新台幣兌美元匯率貶值0.001元，國內油價依公式計算調幅為4.11%，汽、柴油每公升應分別調漲0.6及0.7元。各式汽、柴油實際零售價格應以各營業點公告為準。1061112 
東陽吳永祥追求完美  田掘深就有水,產經,2017/11/12 13:00,https://www.cna.com.tw/news/afe/201711120073.aspx,（中央社記者鍾榮峰台北12日電）東陽集團總裁吳永祥秉持「田掘深，就有水」的信念，勤練基本功，重視走動式管理，追求完美，親力親為巡視工廠發掘解決問題，預先布局產能掌握商機。
台電明年5月招考 募逾700名新血,產經,2017/11/12 12:20,https://www.cna.com.tw/news/afe/201711120077.aspx,（中央社記者蔡怡杼台北12日電）台灣電力公司今天表示，因應企業化經營與人才年輕化趨勢，台電規劃明年5月辦理新進僱用人員甄試，預定招考超過700名新血。
油價連4漲創近3年新高 98無鉛逼近30元,產經,2017/11/12 16:47,https://www.cna.com.tw/news/afe/201711120089.aspx,（中央社記者蔡怡杼台北12日電）中油公司依浮動油價機制計算，自明天凌晨零時起，各式汽油價格每公升調漲新台幣0.6元及柴油價格每公升調漲0.7元，為連續4週上漲，是103年12月後的近3年新高。
瑞銀看好台灣明年經濟  看旺新興股市,產經,2017/11/12 13:15,https://www.cna.com.tw/news/afe/201711120095.aspx,（中央社記者蔡怡杼台北12日電）瑞士銀行集團表示，在蘋果供應鏈表現熱絡，加上政府積極做多經濟下，對台灣明年經濟表現非常看好，並看旺新興市場股市。
票據法擬修降暴力討債  民眾擔心問題多,產經,2017/11/12 13:18,https://www.cna.com.tw/news/afe/201711120096.aspx,（中央社記者蔡怡杼台北12日電）為減少本票成為詐騙、暴力討債的工具，金融監督管理委員會推動票據法修法，是本票制度實施50年來的重大變革，然而，外界對於票據法修法有不同看法，擔心衍生更多社會問題。
汽車零配件Q3獲利穩  智伸科創單季次高,產經,2017/11/12 15:47,https://www.cna.com.tw/news/afe/201711120131.aspx,（中央社記者鍾榮峰台北12日電）汽車零配件廠第3季獲利穩健，其中智伸科第3季稅後淨利新台幣1.64億元，創單季次高，胎壓偵測器廠橙的電子由虧轉盈。
