標題,分類,時間,網址,內文
歐股漲跌互見,產經,2015/05/23 01:16,https://www.cna.com.tw/news/afe/201505230002.aspx,（中央社倫敦22日綜合外電報導）歐洲主要股市今天漲跌互見，投資人聚焦於關注前蘇聯國家關係的歐盟峰會、希臘危機和美國通膨數據等議題。
美聯準會主席葉倫預期今年某時升息,產經,2015/05/23 01:38,https://www.cna.com.tw/news/afe/201505230003.aspx,（中央社華盛頓22日綜合外電報導）美國聯邦準備理事會（Fed）主席葉倫（Janet Yellen）今天指出，她預期聯準會在「今年某個時候」將開始調高利率。
美元升值和獲利了結 油價拉回,產經,2015/05/23 04:45,https://www.cna.com.tw/news/afe/201505230005.aspx,（中央社紐約22日綜合外電報導）國際油價今天下跌，因美國通膨數據利多推升美元，以及兩天走揚後獲利回吐賣壓出籠。
聯準會主席預料今年升息 美股收黑,產經,2015/05/23 06:09,https://www.cna.com.tw/news/afe/201505230007.aspx,（中央社紐約22日綜合外電報導）美股今天收黑，因美國聯邦準備理事會（Fed）主席葉倫（Janet Yellen）預期今年某時將升息。
金價跌 升息疑慮再起,產經,2015/05/23 06:53,https://www.cna.com.tw/news/afe/201505230009.aspx,（中央社台北23日電）彭博報導，紐約金價下跌，因美國消費者物價節節走升，顯示直逼聯邦準備理事會（Fed）的通膨目標，加大聯準會2006年來首度升息的可能性。
韓禁日水產  日擬向世貿組織提訴,產經,2015/05/23 08:19,https://www.cna.com.tw/news/afe/201505230017.aspx,（中央社記者姜遠珍首爾23日專電）南韓禁止進口日本水產品，日本政府開始尋求向世界貿易組織（WTO）提訴的方式解決。南韓政府表示遺憾，並決定積極應對。
合併單位 黑莓全球裁員,產經,2015/05/23 08:37,https://www.cna.com.tw/news/afe/201505230025.aspx,（中央社記者張若霆多倫多22日專電）加拿大黑莓公司今天表示，為合併生產手機的不同單位，將進行全球性的裁減辦公室人員行動。
大巨蛋復工 百餘位工人輪班進行,產經,2015/05/23 13:24,https://www.cna.com.tw/news/afe/201505230040.aspx,（中央社記者韋樞台北23日電）在北市府「勒令停工下的先行報備施工」決定，遠雄大巨蛋沿捷板南線的大底工程今天8時起復工，遠雄統計，今天請來100多位工人繼續施工，並且不分日夜採輪班制加速進行。
一週金價跌 走勢膠著,產經,2015/05/23 09:26,https://www.cna.com.tw/news/afe/201505230043.aspx,（中央社記者潘智義台北23日電）代表紐約黃金期貨報酬變化的標普高盛黃金ER指數，近一週收盤價下跌約1.7%，紐約期金收盤每盎斯報1204美元做收。
無農損  農糧署籲持續防災,產經,2015/05/23 09:49,https://www.cna.com.tw/news/afe/201505230050.aspx,（中央社記者楊淑閔台北23日電）農委會農糧署主秘蘇茂祥表示，20日開始下大雨，幸而至今未發生農業損害，不過接下來氣象預報還有大雨或豪雨來襲，呼籲農民要持續清通鄰田水溝，防災避免損失。
鋒面解渴  中南部水情些微好轉,產經,2015/05/23 10:02,https://www.cna.com.tw/news/afe/201505230052.aspx,（中央社記者林孟汝台北23日電）梅雨滯留鋒面22日為缺水嚴重中南部帶來解渴雨量，截至今天上午8時，曾文水庫預估入流量已達320萬噸，高屏堰的每秒逕流量達35立方公尺，水情已些微好轉。
夏月用電  省錢10招,產經,2015/05/23 10:31,https://www.cna.com.tw/news/afe/201505230063.aspx,（中央社記者林孟汝台北23日電）天氣愈來愈熱，6月1日將進入夏月電價，如何少用電省荷包，10招搞定，一點都不難。
工研院蔡英文：欣賞柯文哲更勝蔡英文,產經,2015/05/23 12:15,https://www.cna.com.tw/news/afe/201505230068.aspx,（中央社記者張建中新竹23日電）工研院也有蔡英文。蔡英文說，他對台北市長柯文哲的欣賞，更勝與他同名同姓的民主進步黨主席蔡英文。
陳銘政訪視春武里台商  關心發展,產經,2015/05/23 15:17,https://www.cna.com.tw/news/afe/201505230076.aspx,（中央社記者劉得倉曼谷23日專電）在泰國的台灣廠商大約有5000家，中華民國駐泰國代表陳銘政關心他們在泰國的發展，日前訪視春武里省的3家廠商，了解近況和給予適時協助。
101紳士之夜 慈善拍賣助文創,產經,2015/05/23 11:29,https://www.cna.com.tw/news/afe/201505230103.aspx,（中央社記者林孟汝台北23日電）台北101將在29日舉行「紳士之夜」慈善晚宴，號召購物中心內的國際精品品牌、大樓企業租戶與頂級尊榮會員共襄盛舉，拍賣所得款項全數捐助「社團法人台灣義築協會」。
金管會：不同人生階段 檢視保險商品,產經,2015/05/23 13:03,https://www.cna.com.tw/news/afe/201505230128.aspx,（中央社記者吳靜君台北23日電）金管會建議，民眾可在人生不同階段適時檢視自身保障需求，並衡量財務負擔及所得來源情況，選擇合適的保險商品，才能讓自己及家人生活更有保障。
4月工業生產 挑戰連15紅,產經,2015/05/23 13:17,https://www.cna.com.tw/news/afe/201505230133.aspx,（中央社記者黃巧雯台北23日電）經濟部25日將公布4月工業生產統計，由於行動裝置晶片需求降低，預期4月生產將較3月略減，但估計仍較去年同期微幅成長，可望挑戰連15個月正成長。
LEVEL UP遊戲展 台高手現功夫,產經,2015/05/23 16:49,https://www.cna.com.tw/news/afe/201505230147.aspx,（中央社記者黃兆平紐約22日專電）6位旅美科技動畫設計專家共聚一堂，分享數位新科技大趨勢。一項取名「LEVEL UP」線上遊戲聯展，將於30、31日在紐約台北經文處舉行，看看台灣遊戲高手如何過招。
一週台幣人民幣升值,產經,2015/05/23 14:48,https://www.cna.com.tw/news/afe/201505230157.aspx,（中央社記者潘智義台北23日電）歐洲央行將加速購債，促使歐元貶值，美元回升過去一週美元指數上漲2.06%，終止5週跌勢；亞幣雖多貶值，但相對抗跌，泰銖、新台幣、人民幣甚至升值。
