標題,分類,時間,網址,內文
英即將啟動脫歐 歐洲股市收紅,產經,2017/03/29 02:32,https://www.cna.com.tw/news/afe/201703290008.aspx,（中央社倫敦28日綜合外電報導）英國準備啟動脫離歐洲聯盟程序之際，歐洲股市收高，投資人對美國總統川普在上週健保法案潰敗後能否推動促進經濟議程的疑慮也降低。
消費者信心衝16年新高 美股甩開陰影勁漲,產經,2017/03/29 07:22,https://www.cna.com.tw/news/firstnews/201703290012.aspx,（中央社紐約28日綜合外電報導）華爾街股市今天勁漲，終結道瓊工業指數的連8黑，推升的主因是油價上揚以及美國消費者信心創新高，提振投資人信心。法新社報導，美國3月消費者信心衝上16年新高，而在利比亞供油中斷、有助舒緩供應過剩的憂慮下，油價順勢攀升。分析師指出，美國總統川普在上週健保改革提案胎死腹中後，把焦點轉向通過減稅，也是股市受激勵的因素。今天收盤部分，道瓊工業指數終場上漲150.52點或0.73%，收在20701.50點。標準普爾500指數上漲16.98點或0.73%，收在2358.57點。以科技股為主的那斯達克指數上漲34.767點或0.60%，收在5875.141點。1060329
利比亞供應減 油價上漲,產經,2017/03/29 06:32,https://www.cna.com.tw/news/afe/201703290016.aspx,（中央社紐約28日綜合外電報導）世界油價上揚，主因利比亞減少國內最大油田的供應量，舒緩全球供應過剩的憂慮。
歐美大漲 台股多頭伺機重啟攻勢,產經,2017/03/29 07:44,https://www.cna.com.tw/news/afe/201703290023.aspx,（中央社記者吳家豪台北29日電）歐美股市收高，主因英國準備啟動脫歐、美國消費信心創新高；法人表示，台股短線整理，中期均線維持走揚格局，若能搭配外資買超，整理後多頭可望重啟攻勢。
Apple Pay上路 蘋果官網更新支援商家,產經,2017/03/29 08:36,https://www.cna.com.tw/news/afe/201703290028.aspx,（中央社記者吳家豪台北29日電）蘋果台灣官網今天更新，正式在台灣推出行動支付服務Apple Pay，同時列出支援Apple Pay的46間精選商家、8間App和網站，包含許多超市、服飾店、餐廳、飯店和電信業。1060329
Apple Pay上線 銀行祭30%高額回饋,產經,2017/03/29 08:26,https://www.cna.com.tw/news/afe/201703290033.aspx,（中央社記者蔡怡杼台北29日電）Apple Pay今天正式上線，首波上線銀行不約而同推出優惠活動，如綁定北富銀信用卡就先送100元刷卡金，渣打、台新則給出25%至30%不等的高額回饋，就是要綁定果粉。
Apple Pay逛百貨 抽手機送折價券攬客,產經,2017/03/29 08:30,https://www.cna.com.tw/news/afe/201703290036.aspx,（中央社記者黃麗芸台北29日電）蘋果旗下行動支付服務Apple Pay上午7時上線。看好這波行動支付商機，台北101、Sogo、微風集團和Global Mall均同步啟用，部分業者祭出送折價券或抽iphone7手機搶客。
美針對大陸鋁箔紙進口　展開反傾銷調查,產經,2017/03/29 08:30,https://www.cna.com.tw/news/afe/201703290037.aspx,（中央社華盛頓28日綜合外電報導）美國今天就中國大陸鋁箔紙進口展開反傾銷調查，成為恐導致美國對大陸徵收懲罰性關稅一連串動作的最新之舉。
Apple Pay起跑 首波支援商家在這,產經,2017/03/29 08:49,https://www.cna.com.tw/news/afe/201703290045.aspx,（中央社記者吳家豪台北29日電）蘋果台灣官網今天更新，正式在台灣推出行動支付服務Apple Pay，同時列出首波支援Apple Pay的46間精選商家、8間App和網站，包含超市、服飾店、餐廳、飯店、百貨和電信業等。
台股開盤漲10.55點,產經,2017/03/29 09:02,https://www.cna.com.tw/news/afe/201703290050.aspx,（中央社台北29日電）台北股市今天開盤漲10.55點，加權股價指數成為9887點，成交金額新台幣17.32億元。1060329
新台幣開盤微貶3.5分 為30.205元,產經,2017/03/29 09:27,https://www.cna.com.tw/news/afe/201703290053.aspx,（中央社台北29日電）台北外匯市場新台幣兌美元匯率今天以30.205元開盤，貶3.5分。
Apple Pay首波商家 餐飲集團只有它,產經,2017/03/29 09:06,https://www.cna.com.tw/news/afe/201703290054.aspx,（中央社記者吳家豪台北29日電）Apple Pay今天正式在台上線，王品集團宣布，旗下包含王品、西堤等共13品牌，全台共204家門店可支援Apple Pay支付功能，是Apple Pay來台首波指定通路名單中唯一的餐飲集團。
蘋果供應鏈 夏普轉投資鏡頭廠入列,產經,2017/03/29 09:38,https://www.cna.com.tw/news/afe/201703290060.aspx,（中央社記者鍾榮峰台北29日電）蘋果前200大供應鏈廠商名單，鴻海投資的夏普有6大據點入列，橫跨中國大陸、日本和越南三地，此外夏普投資手機相機廠康達智，也入列蘋果供應商。
