標題,分類,時間,網址,內文
預測蘇格蘭不獨立 英鎊勁升,產經,2014/09/19 03:47,https://www.cna.com.tw/news/afe/201409190010.aspx,（中央社記者黃貞貞倫敦18日專電）具有重要歷史意義的蘇格蘭獨立公投今天舉行，隨著多項民調接連顯示，統派的支持率高於獨派，投資人研判蘇格蘭將續留在大不列顛聯合王國，英鎊匯價強勁反彈回升。
微軟持續裁員 再砍2100人,產經,2014/09/19 04:21,https://www.cna.com.tw/news/afe/201409190012.aspx,（中央社記者顏伶如波特蘭18日專電）美國微軟公司（Microsoft Corp）今天裁撤2100名員工，縮編職缺來自各國分公司的不同部門與團隊。今年7月，微軟宣布將做出大規模裁員，在全球各地共將裁員1萬8000人。
美股勁揚 道瓊標普指數創新高,產經,2014/09/19 09:02,https://www.cna.com.tw/news/afe/201409190014.aspx,（中央社紐約18日綜合外電報導）美國股市今天走高，道瓊工業指數和標準普爾500指數再創新高，主因聯邦準備理事會昨天決定持續維持低利率激勵多頭氣勢，阿里巴巴明天將首次公開發行（IPO）也帶動買氣。
阿里巴巴IPO 定價每股68美元,產經,2014/09/19 06:31,https://www.cna.com.tw/news/afe/201409190016.aspx,（中央社紐約18日綜合外電報導）中國大陸電子商務巨擘阿里巴巴明天在紐約證券交易所首次公開發行（IPO），今天定出每股68美元的股價，可望募資達250億美元，締造史上最大規模IPO紀錄。
一銀主辦正隆60億元聯貸,產經,2014/09/19 07:13,https://www.cna.com.tw/news/afe/201409190019.aspx,（中央社記者田裕斌台北19日電）由第一銀行統籌主辦，正隆5年期、新台幣60億元聯貸案今天簽約，募得資金提供正隆償還既有金融負債及充實中期營運周轉金。
發明展 資策會秀11項智慧科技,產經,2014/09/19 07:13,https://www.cna.com.tw/news/afe/201409190020.aspx,（中央社記者鍾榮峰台北19日電）台北國際發明暨技術交易展熱鬧展開，資策會以「幸福科技」為主軸，其間展出11項研發的智慧生活科技。
注意力經濟 型塑新商業價值,產經,2014/09/19 07:13,https://www.cna.com.tw/news/afe/201409190021.aspx,（中央社記者鍾榮峰台北19日電）資策會FIND調查指出，1/4台灣民眾習慣看電視時同步使用智慧型手機，透過第二螢傳遞訊息的解決方案因應而生。注意力經濟時代正形成新商業價值。
明年春夏裝流行趨勢 下週揭曉,產經,2014/09/19 07:19,https://www.cna.com.tw/news/afe/201409190022.aspx,（中央社記者韋樞台北19日電）國際時尚週如火如荼展開，而台灣服裝設計師究竟為明年春夏裝端出什麼設計風，紡拓會將在下週舉行的2015春夏設計師服飾新品發表會中，由設計師以130套新裝來闡述。
蘇格蘭獨立公投 資金先往美元,產經,2014/09/19 07:19,https://www.cna.com.tw/news/afe/201409190023.aspx,（中央社記者田裕斌台北19日電）蘇格蘭進行獨立公投，除了全球市場屏息以待外，投信認為，基於避險，資金會流向美元資產以及亞債市場。
建築美學研習營 北中南觀摩,產經,2014/09/19 07:19,https://www.cna.com.tw/news/afe/201409190024.aspx,（中央社記者韋樞台北19日電）台灣建築美學文化經濟協會連續7年舉辦「台灣建築美學研習營」，協會表示，報名到26日截止，今年將赴北中南各地參觀20多件建築大師作品。
蘇格蘭民調統派領先 英鎊勁升,產經,2014/09/19 07:47,https://www.cna.com.tw/news/afe/201409190027.aspx,（中央社台北19日電）彭博報導，英國市調公司YouGovPlc表示，蘇格蘭公投結果可能反對獨立，英鎊兌美元匯價聞訊攀升至兩週高點。
iPhone 6雙機開賣 果粉排隊搶,產經,2014/09/19 08:12,https://www.cna.com.tw/news/afe/201409190029.aspx,（中央社台北19日電）彭博報導，蘋果公司（Apple Inc.）最新iPhone上市首日，專賣店外大排長龍，這意味螢幕加大智慧型手機被壓抑的需求強勁。
