標題,分類,時間,網址,內文
企業獲利數字令人失望 歐股漲跌互見,產經,2015/04/23 01:11,https://www.cna.com.tw/news/afe/201504230005.aspx,（中央社倫敦22日綜合外電報導）歐洲主要股市今天收盤漲跌互見，主因企業公布獲利數字令人失望。
涉美股閃崩交易員 獲准交保,產經,2015/04/23 02:21,https://www.cna.com.tw/news/afe/201504230008.aspx,（中央社倫敦/芝加哥22日綜合外電報導）路透社報導，遭美國當局指控操縱市場和造成美股2010年5月「閃電崩盤」的英國交易員薩勞（Navinder Singh Sarao），今天獲倫敦法庭准許交保。
中古屋銷售大幅成長 美股全面上揚,產經,2015/04/23 05:28,https://www.cna.com.tw/news/afe/201504230011.aspx,（中央社紐約22日綜合外電報導）美股全面上揚，主因中古屋銷售大幅增加，且波音公司、麥當勞和其他公司獲利增減不一。
憂葉門戰亂 布倫特原油漲,產經,2015/04/23 05:49,https://www.cna.com.tw/news/afe/201504230012.aspx,（中央社紐約22日綜合外電報導）由於市場仍然擔心葉門戰亂，歐洲基準的北海布倫特原油期貨上揚。但美國儲油繼續增加，促使西德州中級原油（WTI）下跌。
長榮海運招募200位國際海事人才,產經,2015/04/23 07:17,https://www.cna.com.tw/news/afe/201504230016.aspx,（中央社記者韋樞台北23日電）長榮海運即日起展開年度人才招募，長榮海運和長榮國際公司海運相關部門聯合徵才，甄選具宏觀國際視野的青年學子加入，這次將甄選200位陸勤人員，海勤人員全年徵才。
美股揚  台股聚焦股王股后,產經,2015/04/23 08:23,https://www.cna.com.tw/news/afe/201504230025.aspx,（中央社記者鍾榮峰台北23日電）美股上揚，台股收復各均線，站上9600點。股王大立光和股后漢微科屢創天價新高，是今天觀察重點。法人表示，短線台股若要繼續上攻，突破千億元量能還是關鍵。
世銀：巴西窮人減  國家政策待改善,產經,2015/04/23 08:38,https://www.cna.com.tw/news/afe/201504230029.aspx,（中央社記者唐雅陵聖保羅22日專電）世界銀行最新報告指出，過去10年巴西經濟成長、聚焦社會政策及就業市場機動性大，已幫助減少貧窮人口，但國家政策仍有待改善。
韓系車廠發表輕量超跑概念車,產經,2015/04/23 08:49,https://www.cna.com.tw/news/afe/201504230036.aspx,（中央社記者韓婷婷台北23日電）HYUNDAI汽車於4月首爾車展，發表以純種跑車架構打造的中置引擎全新車款「RM15」(Racing Midship 2015)，前衛雙門跑格外型且具備高性能動力，車身採特殊HLBS輕量化結構。
台股開盤漲 53.73點,產經,2015/04/23 09:01,https://www.cna.com.tw/news/afe/201504230041.aspx,（中央社台北23日電）台北股市今天開盤漲53.73點，加權股價指數成為9666.73點，成交金額新台幣 22.97億元。 1040423
助防治農作病蟲害  台技術諮詢團訪薩,產經,2015/04/23 09:48,https://www.cna.com.tw/news/afe/201504230043.aspx,（中央社台北23日電）「加強中美洲農牧保健組織（OIRSA）轄區柑橘黃龍病（HLB）防治及落實病蟲害綜合管理（IPM）計畫」技術諮詢任務團，當地時間17至22日訪問薩爾瓦多行程結束，並檢討計畫執行。
金融領軍 台股早盤大漲逾百點,產經,2015/04/23 09:33,https://www.cna.com.tw/news/afe/201504230051.aspx,（中央社台北23日電）台北股市今天以上漲 53.37點開出，隨即一路走高，9點24分指數漲逾百點，截至9點30分，指數最高達9718點，上漲105點，漲幅1.09%、成交值為288億。
