標題,分類,時間,網址,內文
紓困談判代表查卡洛托斯任希臘財長,產經,2015/07/07 07:41,https://www.cna.com.tw/news/afe/201507070005.aspx,（中央社雅典6日綜合外電報導）希臘總統府說，希臘今天任命經濟學家查卡洛托斯（Euclid Tsakalotos）為新任財政部長。他是與歐洲聯盟和國際貨幣基金談判的首席代表。
憂希臘退歐 歐股一片慘綠,產經,2015/07/07 02:06,https://www.cna.com.tw/news/afe/201507070010.aspx,（中央社倫敦6日綜合外電報導）由於希臘上週末公投否決債權人所提緊縮要求，使外界擔心該國退出歐元區，今天歐股應聲下挫。
歐洲央行：續提供希臘流動資金貸款,產經,2015/07/07 07:51,https://www.cna.com.tw/news/firstnews/201507070012.aspx,（中央社法蘭克福／巴黎6日綜合外電報導）歐洲中央銀行管理委員會決定，繼續提供緊急流動資金貸款，以使希臘各銀行周轉率維持在6月26日水準。德國和法國則對希臘政府表示，談判之門依然敞開。在希臘昨天紓困公投否決進一步緊縮措施後，歐洲央行管委會今天傍晚召開了電話會議，商討希臘資金危機。會後發表聲明，宣布繼續提供希臘流動資金貸款。德國總理梅克爾和法國總統歐蘭德今天告訴希臘，與債權人談判之門依然敞開，但籲請希臘要在歐元區高峰會中提出可行的建議，以達成紓困換取改革的協議，進而避免退出歐元區。歐蘭德在艾里賽宮與梅克爾會談後一同召開記者表示，他們注意到，希臘各政黨稍早已表達，希望留在歐元區。歐蘭德說：「如今要由希臘總理齊普拉斯政府提出認真可行的建議，以期使這種意志化為具有長期視角的計畫，因為希臘在歐元區須要有長期視角，正如歐元區自身的狀況。」1040707法德領袖峰會 要希臘負責速提方案（中央社記者曾依璇巴黎6日專電）法國總統歐蘭德和德國總理梅克爾在希臘公投翌日會面，他們期望希臘負起責任，儘快提出解套方案。德國和法國是歐洲國家中對希臘金援最多的國家。希臘昨天舉行公投，以超過6成的票數反對以持續撙節來換取新的紓困方案，希臘無法償還高達3120億歐元的債務，面臨退出歐元區的困境。歐蘭德（Francois Hollande）和梅克爾（Angela Merkel）晚間在法國總統府艾里賽宮（Elysee）會晤，商討希臘公投的後果，並發表聲明。歐蘭德說，協商的門是敞開的，但也呼籲希臘總理齊普拉斯（Alexis Tsipras）提出一套可持續的提案來證明希臘想要留在歐元區的意願，團結和責任之間的平衡將是未來幾天行動的方針。歐蘭德說，「時間不多了，對希臘和歐洲來說都很緊急」。梅克爾則表示，「展開新一輪協商的先決條件尚未齊備」，還在等齊普拉斯的精確提案，「我們已經展現出很大的團結力量了，每個國家都必須承擔自己的責任，展現團結」。梅克爾說，希臘公投否決債權人的紓困方案，但也要考量歐元區其他成員國的反應，「因為這也是民主」。1040707 
希臘各銀行延長關閉2天,產經,2015/07/07 04:25,https://www.cna.com.tw/news/afe/201507070016.aspx,（中央社雅典6日綜合外電報導）希臘銀行公會主席卡切利（Louka Katseli）表示，希臘各銀行在7日和8日仍將關閉，每日提款上限維持在60歐元。
希臘因素衝擊 美股收跌,產經,2015/07/07 05:29,https://www.cna.com.tw/news/afe/201507070017.aspx,（中央社紐約6日綜合外電報導）美股今天溫和下跌，在希臘公投否決進一步緊縮施措因而使外界擔心該國可能退出歐元區後，美股與全球多數股市同步走低。
市場憂全球趨緩 國際油價跌,產經,2015/07/07 05:45,https://www.cna.com.tw/news/afe/201507070018.aspx,（中央社紐約6日綜合外電報導）由於市場擔心，希臘公投結果和中國大陸金融市場不穩定將使全球成長趨緩，美國油價今天下挫將近8%。
金價漲 希臘脫歐風險增,產經,2015/07/07 07:04,https://www.cna.com.tw/news/afe/201507070021.aspx,（中央社台北7日電）彭博報導，紐約金價在連跌3後止跌反彈，主因希臘脫歐風險加劇，恐對世界經濟投下震撼彈。
投信：陸股驚魂未定 港股有契機,產經,2015/07/07 07:30,https://www.cna.com.tw/news/afe/201507070026.aspx,（中央社記者田裕斌台北7日電）陸股雖在政策救市下止跌，但仍不掩過去3周以來重挫的事實，法人指出，上證自高點修正近3成，短期底部已現，反倒是恆生指數因無超漲，在未來2年具有補漲契機。
觀察希臘局勢 偏弱勢盤整,產經,2015/07/07 08:04,https://www.cna.com.tw/news/afe/201507070031.aspx,（中央社記者鍾榮峰台北7日電）美股走低，台股6日大跌102.27點，失守年線和9300支撐。法人表示，觀察希臘局勢，國際經濟情勢尚未明朗，短線台股偏弱勢區間盤整。
智慧機出貨旺 矽創淡季業績穩,產經,2015/07/07 08:21,https://www.cna.com.tw/news/afe/201507070033.aspx,（中央社記者張建中新竹7日電）面板驅動IC廠矽創第2季在智慧手機面板驅動IC產品出貨暢旺支撐下，淡季營運表現持穩，業績季減不到1%。
希臘否決撙節公投 銀行8日前仍不開放,產經,2015/07/07 08:26,https://www.cna.com.tw/news/afe/201507070037.aspx,（中央社雅典6日綜合外電報導）希臘國家通訊社今天引述官員發言說，銀行8日前仍不會開放，自動提款機每日提領金額上限不變。
東京著衣怨偶和解,產經,2015/07/07 08:29,https://www.cna.com.tw/news/afe/201507070039.aspx,（中央社記者羅秀文台北7日電）網拍服裝品牌「東京著衣」董事長鄭景太和前妻周品均的訴訟，昨天當庭和解。周品均依照和解條件在臉書發表聲明，不再對外就先前的婚姻生活作評論，讓紛擾劃下句點。
台股開盤漲22.98點,產經,2015/07/07 09:03,https://www.cna.com.tw/news/afe/201507070056.aspx,（中央社台北7日電）台北股市今天開盤漲22.98點，加權股價指數成為9278.94點，成交金額新台幣18.51億元。1040707
聯發科第2季目標達陣 季減1%,產經,2015/07/07 09:04,https://www.cna.com.tw/news/afe/201507070058.aspx,（中央社記者張建中新竹7日電）手機晶片廠聯發科第2季合併營收新台幣470.44億元，順利達成營運目標，較第1季減少約1%。
未雨綢繆  加商囤積希臘進口食品,產經,2015/07/07 09:19,https://www.cna.com.tw/news/afe/201507070067.aspx,（中央社記者張若霆多倫多6日專電）進口希臘橄欖油、海鹽、醃菜及各種美食的加拿大企業，早在希臘債務危機初現時，即進口囤積，以備萬一。如今這些進口商表示，他們當初的決定顯然明智。
