標題,分類,時間,網址,內文
歐股重挫 資金轉向債市,產經,2016/06/11 01:12,https://www.cna.com.tw/news/afe/201606110007.aspx,（中央社倫敦10日綜合外電報導）歐洲股市今天重挫，因外界對央行政策感到不安和英國即將就是否脫離歐盟舉行公投，導致投資人將資金轉向債市。
油價跌 投資人憂心經濟前景,產經,2016/06/11 04:18,https://www.cna.com.tw/news/firstnews/201606110013.aspx,（中央社紐約10日綜合外電報導）油價今天挫跌，由於擔心經濟成長前景，投資人在漲多後選擇獲利了結。紐約市場西德州中級原油的7月期貨價格下跌1.49美元，收在每桶49.07美元。倫敦市場北海布倫特原油的8月期貨價格下挫1.41美元，收在每桶50.54美元。1050611
美股收黑 憂全球經濟和英國公投,產經,2016/06/11 04:56,https://www.cna.com.tw/news/firstnews/201606110015.aspx,（中央社紐約10日綜合外電報導）美股今天收黑，因投資人對全球經濟成長和即將舉行的英國脫歐公投感到憂心和焦慮，隨全球股市挫跌。道瓊工業指數終場下跌119.85點，或0.67%，收在17865.34點；標準普爾500指數下跌19.41點，或0.92%，收在2096.07點。以科技股為主的那斯達克指數下跌64.07點，或1.29%，收在4894.55點。1050611
美政府採購市場  台中小企業試水溫,產經,2016/06/11 11:00,https://www.cna.com.tw/news/afe/201606110021.aspx,（中央社記者廖漢原華盛頓10日專電）美國政府與國防工業採購，是美國本土與全球業者競爭的目標，台灣中小企業多認為美國的成本過高，但還是有業者認為政府採購穩定，值得經營，希望更多台灣業者投入。
台與韓商合作 力拚北美食品市場【影】,產經,2016/06/11 08:11,https://www.cna.com.tw/news/afe/201606110023.aspx,（中央社記者黃兆平紐約10日專電）台灣食安問題一度困擾產品遠赴海外，如今全美最大亞洲連鎖超市集團-漢亞龍今起為期一週，在東西兩岸及德州舉辦首屆「台灣食品節」，提升台灣食品國際能見度。
屏東列淹水警戒 13條土石流黃色警戒,產經,2016/06/11 07:58,https://www.cna.com.tw/news/afe/201606110024.aspx,（中央社記者黃巧雯台北11日電）屏東大雨不斷，截至上午 7時10分，經濟部水利署已對屏東縣新埤鄉、枋寮鄉、佳冬鄉、萬巒鄉發布淹水一級警戒；農委會水土保持局則發布13條土石流黃色警戒。
脫歐疑慮日增 英鎊軟趴趴,產經,2016/06/11 09:20,https://www.cna.com.tw/news/afe/201606110072.aspx,（中央社紐約10日綜合外電報導）市場投資人憂心英國本月公投脫離歐洲聯盟（EU），紛紛轉進美元尋求避險，英鎊軟趴趴，歐元也跟著走貶。
台與厄國皮省中小企業協會簽合作備忘錄,產經,2016/06/11 11:01,https://www.cna.com.tw/news/afe/201606110074.aspx,（中央社台北11日電）中華民國國際經濟合作協會與厄國皮欽察省中小企業協會於當地時間9日，在中華民國駐厄瓜多代表謝妙宏見證下，簽署合作備忘錄，以加強厄瓜多與台灣間的產業交流與合作。
網路直播正夯 戰場從兩岸延伸到泰國,產經,2016/06/11 09:29,https://www.cna.com.tw/news/afe/201606110075.aspx,（中央社記者韓婷婷台北11日電）網路直播風潮席捲全球，尤其facebook的直播功能在2015年 8月啟動後，宣告了網路直播時代來臨，競爭也更加白熱化，業者戰場也從台海兩岸延伸到泰國。
大陸網路直播興起 主播年薪超乎想像,產經,2016/06/11 09:32,https://www.cna.com.tw/news/afe/201606110076.aspx,（中央社記者韓婷婷台北11日電）網路直播平台崛起，根據粗估台灣遊戲直播主月平均收入約新台幣 3.6萬元，當紅直播主可達百萬，大陸網路紅人平均月收入則約新台幣10萬元，明星主播甚年薪破千萬。
生技園區房價比一比 南港跌竹科漲最多,產經,2016/06/11 09:37,https://www.cna.com.tw/news/afe/201606110078.aspx,（中央社記者韋樞台北11日電）房仲觀察全台四大生技園區週遭 2公里房價，最新的南港生技園區不但年減10%，更比區域均價少24%，竹科周邊漲最多，約19.8%。房仲指出，南港生技園區邊因中古屋多，價格難振。
金價週線連 2升  觸及 3週高點,產經,2016/06/11 10:06,https://www.cna.com.tw/news/afe/201606110089.aspx,（中央社記者蔡怡杼台北11日電）反應主要股市下跌、避險情緒上升，紐約近月黃金本週收1275.9美元，為5月18日以來新高，週線上漲2.67%，連續第二週揚升。
大雨不斷 屏東多區持續淹水警戒,產經,2016/06/11 10:28,https://www.cna.com.tw/news/afe/201606110099.aspx,（中央社記者黃巧雯台北11日電）受西南氣流影響，南部地區雨下不停，截至10時15分，經濟部水利署持續對屏東縣多區發布淹水警戒，包括屏東縣萬巒鄉、新埤鄉、佳冬鄉、枋寮鄉、來義鄉都在一級警戒範圍內。
法國台灣商會巴黎舉行台灣美食廚藝講座,產經,2016/06/11 12:19,https://www.cna.com.tw/news/afe/201606110106.aspx,（中央社台北11日電）法國台灣商會於當地時間10日在巴黎第12區圓桌餐廳舉辦「2016年巴黎台灣美食廚藝巡迴講座」，邀請國立高雄餐旅大學中餐廚藝系主任李怡君及叁合院廚藝總監溫國智示範傳授台灣美食廚藝。
台匈議定合作 互惠蘭花和鵝產品,產經,2016/06/11 10:50,https://www.cna.com.tw/news/afe/201606110109.aspx,（中央社記者楊淑閔台北11日電）剛自農委會國際處長轉任農委會農糧署長的陳建斌宣布，台灣日前與匈牙利完成合作會議紀錄，台灣蘭花拓銷歐洲新增匈牙利此中繼站，也可購入匈牙利鵝產品，補充市場需求。
