標題,分類,時間,網址,內文
Fed展開兩天會議 歐股小漲小跌,產經,2016/09/21 02:39,https://www.cna.com.tw/news/afe/201609210008.aspx,（中央社倫敦20日綜合外電報導）美國聯邦準備理事會（Fed）今天展開兩天會議，將透露今年是否可能調高利率，投資人焦慮等待，歐洲主要股市漲跌互見，並呈現小漲小跌局面。
反TTIP 數千民眾歐盟總部抗議【影】,產經,2016/09/21 09:56,https://www.cna.com.tw/news/afe/201609210009.aspx,（中央社記者江今葉布魯塞爾20日專電）數千名歐洲民眾今天傍晚聚集在歐盟總部外，以唱歌、跳舞的嘉年華方式，呼籲歐盟不要繼續與美國、加拿大進行跨大西洋貿易協定與全面經濟貿易協定談判。
OPEC即將集會 國際油價小漲小跌,產經,2016/09/21 05:36,https://www.cna.com.tw/news/afe/201609210012.aspx,（中央社紐約20日綜合外電報導）石油輸出國家組織（OPEC）即將在下週集會，同時，投資人也正在等待美國能源部明天公布美國石油儲量，國際油價今天穩定，呈現小漲小跌局面。
投資人等待Fed會議結果 美股小漲,產經,2016/09/21 08:30,https://www.cna.com.tw/news/firstnews/201609210014.aspx,（中央社紐約20日綜合外電報導）美國聯邦準備理事會（Fed）今天展開兩天會議，將透露今年是否可能調高利率，華爾街股市今天收盤小漲。分析師指出，在聯準會21日作出政策宣布之前，投資人謹慎應對。彭博報導，道瓊工業指數小漲9.79點或0.05%，以18129.96點作收。標準普爾指數小漲0.64點或0.03%，收在2139.76點。科技股那斯達克指數小漲6.33點或0.12%，收5241.35點。若干經濟學家說，聯準會明天可能意外宣布調高聯邦資金利率，但大多數仍認為將按兵不動。聯邦資金利率目前維持在0.25-0.5%水準，研擬貨幣政策的聯準會公開市場委員會（FOMC）一再暗示有意於今年調高利率。然而近幾週來若干經濟數據疲軟，引發各界對美國經濟強度產生質疑。其他主要經濟體持續疲弱，也不斷挑戰升息的理由。高頻經濟公司（High Frequency Economics）首席美國經濟師歐蘇利文（Jim O'Sullivan）說，他認為可能於12月宣布升息。投資人焦慮等待聯準會開會結果，歐洲主要股市漲跌互見，並呈現小漲小跌局面。法新社報導，倫敦FTSE 100指數上揚0.3%，以6830.79點作收。法蘭克福DAX 30指數漲升0.2%，收在10393.86點。巴黎CAC 40指數下跌0.1%，收4388.60點。1050921
Fed決策全球關注  牽動台股表現,產經,2016/09/21 08:27,https://www.cna.com.tw/news/afe/201609210024.aspx,（中央社記者張建中台北21日電）美國聯邦準備理事會（Fed）展開兩天會議，美股震盪小漲，Fed利率決策結果料將牽動台股後續表現，也將是市場近期關注焦點。
台股開盤  跌19.66點,產經,2016/09/21 09:01,https://www.cna.com.tw/news/afe/201609210036.aspx,（中央社台北21日電）台北股市今天開盤跌19.66點，加權股價指數成為9141.92點，成交金額新台幣10.45億元。1050921
新台幣開盤升 3.7分,產經,2016/09/21 09:53,https://www.cna.com.tw/news/afe/201609210037.aspx,（中央社台北21日電）台北外匯市場新台幣兌美元匯率今天以31.330元開盤，升3.7分。
台灣國際扶輪社捐贈瓜地馬拉X光機,產經,2016/09/21 09:59,https://www.cna.com.tw/news/afe/201609210047.aspx,（中央社台北21日電）台灣國際扶輪社3520地區基河網路社與瓜地馬拉、宏都拉斯及貝里斯第4250區及美國伊利諾州第3470等區扶輪社募資購得X光機一台，於當地時間12日捐給瓜地馬拉省區Villa Canales市衛生所。
新台幣早盤升轉貶,產經,2016/09/21 10:03,https://www.cna.com.tw/news/afe/201609210052.aspx,（中央社台北21日電）台北外匯市場新台幣兌美元匯率今天以31.330元開盤，升3.7分；9時45分來到31.370元，貶0.3分。
水庫灌飽 全台10月底前供水無虞,產經,2016/09/21 10:09,https://www.cna.com.tw/news/afe/201609210056.aspx,（中央社記者黃巧雯台北21日電）隨著全台各地近期因鋒面及颱風帶來雨量，水庫蓄水率多為8至9成多，台灣自來水公司今天表示，估計今年10月底前，全台各區供水無虞。
iPhone 7一支成本多少  算給你看,產經,2016/09/21 10:54,https://www.cna.com.tw/news/firstnews/201609210065.aspx,（中央社記者鍾榮峰台北21日電）蘋果iPhone 7成本結構曝光，研究機構分析發現，iPhone 7整體成本約224.8美元，排名前3的零組件成本是觸控螢幕、基頻射頻功率放大器模組以及台積電A10處理器。市場調查研究機構IHS Markit提出最新拆解報告，分析儲存容量32GB的iPhone 7的用料清單BOM（bill ofmaterials），報告中指出，32GB的iPhone 7在直接材料成本約219.8美元，若加上製造成本，整體成本價約224.8美元。儲存容量32GB的iPhone 7未綁約單機價格約649美元。從零組件成本來看，IHS提供的分析報告指出，32GB的iPhone 7成本最高的零組件是觸控螢幕模組，高達43美元。其次是基頻、射頻和功率放大器模組，成本達33.9美元，其中英特爾（Intel）提供多模基頻晶片和多模射頻收發器、TDK提供天線轉換模組，此外博通（Broadcom）、Skyworks、以及RFMD和TriQuint合資公司Qorvo，提供射頻前端模組和功率放大器模組。iPhone 7內建蘋果A10 Fusion處理器，IHS分析由台積電代工的4核心A10處理器，成本達26.9美元，是排名第3高成本的零組件。至於iPhone 7搭載的前置FaceTime攝錄鏡頭和後置1200萬畫素攝錄鏡頭，成本價約19.9美元。機構件成本約18.2美元；包括Taptic Engine、天線、麥克風、PCB板、揚聲器等電機機械元件的成本價，約16.7美元。記憶體包括三星（Samsung）提供的2GB 隨機存取記憶體（RAM）以及SK海力士（SK Hynix）提供的32GB NAND快閃記憶體，成本價約16.4美元。其他關鍵零組件包括博世（Bosch Sensortec）提供氣體壓力感測元件、Alps提供電子羅盤、Cirrus Logic提供音訊放大器、恩智浦（NXP）提供近距離無線通訊（NFC）控制元件、Dialog提供主要的電源管理晶片等。在電池容量部分，IHS Markit的分析報告指出，32GB的iPhone 7電池容量約1960 mAh，比iPhone 6s的1715mAh 提升。iPhone 7亮相當下，蘋果就已公布主要規格包括內建A10 Fusion處理器搭配M10動作感測處理器，儲存容量包括32GB、128GB和256GB等3種選擇，並取消3.5mm規格耳機連接埠等。1050921
國泰金：新南向 逾 6成民眾肯定,產經,2016/09/21 10:49,https://www.cna.com.tw/news/afe/201609210081.aspx,（中央社記者田裕斌台北21日電）國泰金控發布最新「國民經濟信心」調查結果，針對9月5日啟動的新南向政策，受訪民眾有62%認為對台灣經貿成長及結構轉型有效，但也有 52.9%民眾認為效果有限。
iPhone 7曜石黑超夯  德誼5門市有望現購,產經,2016/09/21 11:48,https://www.cna.com.tw/news/afe/201609210083.aspx,（中央社記者江明晏台北21日電）iPhone 7熱銷，曜石黑新色更是供不應求，德誼數位今天宣布100支iPhone 7曜石黑128 GB即將到貨，24日並於5大專賣店舉辦現購活動，60名幸運兒可望當天入手。
觀望Fed利率動向  台股平盤整理,產經,2016/09/21 11:08,https://www.cna.com.tw/news/afe/201609210089.aspx,（中央社記者張建中台北21日電）美國聯邦準備理事會（Fed）利率決策結果出爐前夕，市場觀望氣氛濃厚，台股延續量縮震盪整理走勢。
海外投資飆增8成  許勝雄籲政府吸金回流,產經,2016/09/21 14:40,https://www.cna.com.tw/news/afe/201609210107.aspx,（中央社記者黃巧雯台北21日電）基本工資時薪10月調漲，全國工業總會理事長許勝雄今天說，不反對調漲基本工資及時薪，但上半年海外投資增加 8成，呼籲政府應塑造好的投資環境，吸引台商回台及外商投資。
新台幣午盤貶 2.4分,產經,2016/09/21 12:18,https://www.cna.com.tw/news/afe/201609210138.aspx,（中央社台北21日電）台北外匯市場新台幣兌美元今天中午暫收31.391元，貶2.4分，成交金額5.27億美元。
信評指配息率恐降低 國泰金澄清,產經,2016/09/21 13:44,https://www.cna.com.tw/news/afe/201609210140.aspx,（中央社記者蔡怡杼台北21日電）中華信評表示，國泰金資本因反應接手兩家問題保險公司於2015年有所轉弱，不過，在審慎的資本管理下，資本強度將於未來2年回升，同時，未來3年股利配發率可能降低。
iPhone 7封測訂單一籮筐  台廠吃補,產經,2016/09/21 14:59,https://www.cna.com.tw/news/afe/201609210152.aspx,（中央社記者鍾榮峰台北21日電）蘋果iPhone 7/7 Plus拆解報告陸續曝光。法人預期，封測台廠日月光、矽品、頎邦、京元電、景碩等，可透過客戶間接吃補。
台經院院長出馬  親征校園搶人才,產經,2016/09/21 12:26,https://www.cna.com.tw/news/afe/201609210153.aspx,（中央社記者蔡怡杼台北21日電）儘管失業率驚見 4字頭，尤其，青年失業率超出平均值 2倍，但為尋求人才，台灣經濟研究院今年首度由院長林建甫帶隊，主動出擊前進校園。
陸經濟趨穩英脫歐疑慮減 亞企信心升,產經,2016/09/21 12:29,https://www.cna.com.tw/news/afe/201609210158.aspx,（中央社首爾21日綜合外電報導）湯森路透／歐洲工商管理學院（Thomson Reuters/INSEAD）調查顯示，7月至9月的亞洲企業信心略升至5季以來新高，主因中國大陸經濟緩步回穩，英國脫離歐洲聯盟（EU）疑慮減緩。
人才短缺恐惡化 梁國源點出4大關鍵因素,產經,2016/09/21 13:10,https://www.cna.com.tw/news/afe/201609210179.aspx,（中央社記者蔡怡杼台北21日電）台灣人才短缺早非新聞，元大寶華綜合經濟研究院院長梁國源預期，受到少子化、高齡化、人才流失以及產學與市場供需落差等4大因素影響，台灣人才短缺問題未來恐持續惡化。
7天假未定案  台玻林伯豐：今年加薪暫緩,產經,2016/09/21 15:35,https://www.cna.com.tw/news/afe/201609210184.aspx,（中央社記者田裕斌台北21日電）一例一休配套和刪除勞工7天國定假日議題，在立法院新會期開議之際再度引發關注，台玻董事長林伯豐說，今年針對本國勞工的加薪計畫可能暫緩，明年元月再定案。
