標題,分類,時間,網址,內文
上市公司財報看好 美股強力反彈,產經,2017/04/18 07:43,https://www.cna.com.tw/news/firstnews/201704180011.aspx,（中央社紐約17日綜合外電報導）美股今天勁揚，本週上市公司即將連番公布財報，同時中國大陸通報首季成長優於預期。本週將公布財報的公司包括高盛（Goldman Sachs）、網飛（Netflix）和奇異（GE）。根據輝盛公司（FactSet）數據，標準普爾指數成分股首季財報可望出現9.2%成長。中國大陸首季經濟成長速度為6.9%，優於分析師預估的6.8%，顯示這個世界第二大經濟體已趨穩。道瓊工業指數大漲183.67點或0.90%，以20636.92點作收。標普指數漲升20.06點或0.86%，收在2349.01點。科技股那斯達克指數漲51.64點或0.89%，收5856.79點。1060418
獲利回吐 國際油價跌,產經,2017/04/18 06:23,https://www.cna.com.tw/news/firstnews/201704180013.aspx,（中央社紐約17日綜合外電報導）經過復活節週末後，隨著美國頁岩油產量增加的消息傳出以及連漲3週後的獲利回吐，國際油價今天下挫1%。紐約商品交易所西德州中級原油下滑53美分，以每桶52.65美元作收。倫敦北海布倫特原油走低53美分，收在每桶55.36美元。1060418
台股短線可望守穩 布局留意2變數,產經,2017/04/18 07:58,https://www.cna.com.tw/news/afe/201704180016.aspx,（中央社記者鍾榮峰台北18日電）美股強力反彈，台股17日守住9700點大關和季線支撐。法人表示，台股短線可望守穩盤堅，仍須觀察東北亞局勢變化和上市櫃公司匯損壓力。
iPhone 8設計草圖傳曝光 秒懂螢幕設計,產經,2017/04/18 09:07,https://www.cna.com.tw/news/firstnews/201704180025.aspx,（中央社記者鍾榮峰台北18日電）蘋果iPhone 8間諜照近期開始浮出檯面。外媒引述專業網友貼出傳說中iPhone 8的設計草圖，在外觀尺寸、正面螢幕功能設計上，輪廓越來越清晰。國外科技網站MacRumors引述報導，中國大陸網友KK低調在推特上貼出據稱是iPhone 8的外觀設計草圖和螢幕示意圖。報導指出，KK低調貼出的草圖設計和示意圖真實性並未獲得證實，不過KK低調之前曾分享部分精確的iPhone前機種細節內容。Here we go #iphone8 #iphonex or #iphoneedition pic.twitter.com/kxDDOKZ6XM從草圖設計來看，傳說中的iPhone 8長約137.54公釐、寬約67.54公釐，與iPhone 7的長約138.3公釐、寬約67.1公釐類似，不過厚度並未揭露。根據草圖，傳說中的 iPhone 8螢幕尺寸約5.768吋，採用全平面螢幕設計，距離邊框只有 4公釐，邊框採用2.5D玻璃弧面寬度設計，正面沒有主按鍵，前置3D照相鏡頭採用水平設計，此外具備紅外線生物辨識感測模組。此外從示意圖來看，傳說中的iPhone 8背面雙鏡頭採用垂直設計，LED閃光燈放在兩顆鏡頭中間。國外科技網站iDrop News也曾貼出他們想像中的iPhone 8示意圖，看來與KK低調的示意圖大同小異。今年適逢蘋果推出iPhone十週年，市場預期設計大變革，預期今年新款iPhone搭配有機發光二極體（OLED）與全平面（edge-to-edge）螢幕、玻璃機殼、處理效能更高的A11處理器、取消實體主按鍵、 3D感測以及無線充電等6大功能。新款iPhone也傳出不排除指紋辨識功能放在螢幕下方、具備觸控感測全新體驗、防水功能升級到IP68、強化散熱、可能採用指紋辨識搭配臉部辨識等設計。1060418
聯合航空獲利減 乘客遭拖後誓重建服務,產經,2017/04/18 08:59,https://www.cna.com.tw/news/afe/201704180027.aspx,（中央社紐約17日綜合外電報導）聯合航空母公司聯合大陸控股（United Continental）今天公布第1季獲利大幅走低，但仍高過分析師預期，自從聯航粗暴對待乘客引發全球憤怒後，該公司矢言重建顧客服務。
台股開盤漲19.36點,產經,2017/04/18 09:02,https://www.cna.com.tw/news/afe/201704180029.aspx,（中央社台北18日電）台北股市今天開盤漲19.36點，加權股價指數成為9735.76點，成交金額新台幣10.81億元。1060418
新台幣開盤升1.5分 為30.335元,產經,2017/04/18 09:07,https://www.cna.com.tw/news/afe/201704180031.aspx,（中央社台北18日電）台北外匯市場新台幣兌美元匯率今天以30.335元開盤，升1.5分。
傳東芝暫停記憶體晶片事業銷售進程,產經,2017/04/18 09:10,https://www.cna.com.tw/news/afe/201704180032.aspx,（中央社東京18日綜合外電報導）彭博今天引述知情人士指出，為了因應產業夥伴提出的疑慮，東芝公司（Toshiba Corp.）暫時取消有關出售記憶體晶片事業的所有會議和決策。
觸控筆電面板 內嵌式估2017市占過半,產經,2017/04/18 09:44,https://www.cna.com.tw/news/afe/201704180047.aspx,（中央社記者潘智義台北 18日電）專業市調機構IHS指出， 內嵌式觸控解決方案的成本逐漸下降，面板製造商正試圖擴大內嵌觸控面板在筆記型電腦市場中的版圖。
新台幣匯價小幅震盪 早盤貶1分,產經,2017/04/18 10:56,https://www.cna.com.tw/news/afe/201704180052.aspx,（中央社台北18日電）台北外匯市場新台幣兌美元匯率今天以30.335元開盤，升1.5分；9時45分來到30.360元，貶1分。
