標題,分類,時間,網址,內文
對陸經濟疑慮稍解 歐股連續2天上揚,產經,2016/01/14 01:45,https://www.cna.com.tw/news/afe/201601140006.aspx,（中央社倫敦13日綜合外電報導）彭博報導，歐洲主要股市將近1個月來首次連續2天上漲，但卻在收盤前的最後2個小時回跌，將稍早的大部份漲幅抹消。能源類股表現最為亮眼。
美存量增加 布倫特原油盤中跌破30美元,產經,2016/01/14 06:49,https://www.cna.com.tw/news/afe/201601140013.aspx,（中央社紐約13日綜合外電報導）由於美國原油和燃料存量增加加劇全球石油供過於求的憂慮，布倫特原油13日盤中跌至每桶30美元以下，近12年來首見。
憂經濟成長放緩 美股下跌,產經,2016/01/14 06:52,https://www.cna.com.tw/news/afe/201601140014.aspx,（中央社紐約13日綜合外電報導）由於美國原油存量報告顯示增加和聯邦準備理理事會（Fed）褐皮書顯示美國經濟成長放緩，美國主要股市下跌。
專家：今年全球將出現金融危機,產經,2016/01/14 07:36,https://www.cna.com.tw/news/afe/201601140017.aspx,（中央社記者黃貞貞倫敦13日專電）法國興業銀行投資策略專家愛德華茲警告，今年全球將出現類似2008年到2009年的金融危機，歐元區的經濟可能崩潰。
美國拚TPP 拿中國當假想敵,產經,2016/01/14 08:26,https://www.cna.com.tw/news/afe/201601140019.aspx,（中央社記者鄭崇生華盛頓13日專電）雖然美國貿易代表傅洛曼今天強調，跨太平洋夥伴協定（TPP）不是針對特定國家而來，但又強調如果TPP失敗，亞太地區將形成中國主導的格局。
台助農業栽培  與聖露西亞簽計畫移轉,產經,2016/01/14 14:03,https://www.cna.com.tw/news/afe/201601140020.aspx,（中央社台北14日電）台灣援助聖露西亞「果蔬示範與推廣計畫」，當地時間13日舉行計畫移交典禮，並簽署計畫移轉書。
漢微科跌翻  今起分盤交易,產經,2016/01/14 08:18,https://www.cna.com.tw/news/afe/201601140025.aspx,（中央社記者韓婷婷台北14日電）黑天鵝滿天飛，台股2016年開紅盤以來疲弱不振，股后漢微科8個交易日跌掉365元，跌幅逾30%，櫃買中心今起祭出分盤交易處置，預收款券並每分鐘撮合一次。
歐美股漲跌互見 台股恐仍偏弱整理,產經,2016/01/14 08:30,https://www.cna.com.tw/news/afe/201601140028.aspx,（中央社記者韋樞台北14日電）亞股13日反彈，台股重回7800點關卡。雖然大陸貿易數據亮麗，但美國Fed擔心美國經濟放緩，歐股今收盤小漲、美股大跌。法人表示，台股選前觀望濃厚，短期仍偏弱整理。
台股開盤跌72.52點,產經,2016/01/14 09:02,https://www.cna.com.tw/news/afe/201601140036.aspx,（中央社台北14日電）台北股市今天開盤跌72.52點，加權股價指數成為7752.09點，成交金額新台幣16.31億元。1050114
區間整理 新台幣開盤升 1.9角,產經,2016/01/14 09:06,https://www.cna.com.tw/news/afe/201601140039.aspx,（中央社台北14日電）台北外匯市場新台幣兌美元匯率今天以33.435元開盤，升 1.9角。
高雄加工區徵百人 39K等你來,產經,2016/01/14 09:10,https://www.cna.com.tw/news/afe/201601140040.aspx,（中央社記者黃巧雯台北14日電）農曆春節將屆，想要在年前找到工作的民眾看這邊！高雄加工區15日將舉行現場徵才活動，共11家廠商、提供167個職缺，薪資最高上看39K（3.9萬元）。
宏碁CES推新品 外媒狂按讚,產經,2016/01/14 09:24,https://www.cna.com.tw/news/afe/201601140045.aspx,（中央社記者吳家豪台北14日電）電腦品牌廠宏碁在美國消費性電子展（CES）期間推出多款新品，包含Chromebook筆電、高階2合1筆電、Windows 10旗艦手機，都獲得國外科技媒體好評。
奇異總部搬家 看上波士頓科技人才,產經,2016/01/14 09:47,https://www.cna.com.tw/news/afe/201601140055.aspx,（中央社紐約13日綜合外電報導）美國工業集團奇異公司（GE）今天表示，企業總部將遷至麻州波士頓，以便從當地集中的人才庫獲得技術面優勢。
興富發、台開逆勢推案 營建股相對抗跌,產經,2016/01/14 09:55,https://www.cna.com.tw/news/afe/201601140059.aspx,（中央社記者韋樞台北14日電）總統大選在即，大陸經濟成長放緩等內外不確定因素，加上政府打房未完全鬆手，建築界普遍看淡今年房市，但興富發、台開等建商逆勢推案，營建股抗跌，跌幅1.75%。
Apple TV吸金 傳蘋果下聘時代華納,產經,2016/01/14 10:05,https://www.cna.com.tw/news/afe/201601140064.aspx,（中央社記者鍾榮峰台北14日電）蘋果第4代Apple TV廣受市場好評，外媒報導傳言蘋果有意大手筆併購時代華納資產，要衝刺Apple TV在視訊影音串流服務的競爭實力。
宏達電踢進法足聯賽 銷售拚增3成,產經,2016/01/14 10:05,https://www.cna.com.tw/news/afe/201601140065.aspx,（中央社記者江明晏台北14日電）宏達電布局歐洲，已簽約成為法國職業足球聯賽（LFP）的官方贊助廠，藉由品牌曝光刺激銷售表現。去年宏達電在法國銷售成長約30%，今年盼能延續成長動能。
蘋果改找日廠做鏡頭？大立光重跌百元,產經,2016/01/14 10:22,https://www.cna.com.tw/news/firstnews/201601140066.aspx,（中央社記者韓婷婷台北14日電）市場傳出蘋果入股日系鏡頭廠康達智，大立光將大受威脅，訊息面直接重擊大立光股價跳空開低，大跌逾百元，玉晶光同樣受到衝擊，跌幅也逾5%。今天媒體報導，外資圈傳出蘋果已於去年第4季入股日本康達智（Kantatsu）公司，並協助擴增生產線，一口氣將產能拉高50%，未來iPhone使用的鏡頭，將優先由康達智供應，隨著蘋果入股康達智並擴產，將嚴重衝擊大立光在蘋果供應鏈的地位。訊息面直接衝擊大立光及玉晶光股價，今天雙雙跳空開低，大立光開低走低，大跌逾百元，跌幅超過5%，截至9點40分股價最低來到1835元；玉晶光同樣受到迎面重擊，跳空大跌逾5%，最低來到46.5元。針對此一傳聞，某日系外資法人則認為，蘋果應該是提供機台而非入股，就跟當初蘋果扶持玉晶光的動作是一樣的；康達智目前的良率或是效率以及毛利率都不如外界想像的好，過去幾年中蘋果想扶持第二供應商的企圖很明顯，只是現在從玉晶光變成康達智。該日系外資認為，蘋果扶持康達智對大立光而言其實影響不大， 一旦康達智被扶上，其實真正受到影響的是玉晶光以及大陸的舜宇光學。不過有不少法人認為，蘋果主要想扶植的就是高階的前鏡頭，如果康達智能夠將良率拉升上來，對大立光在高階鏡頭的占比有絕對的影響。不過，另方面，蘋果在鏡頭供應鏈的產能上如此積極，顯然「雙鏡頭」iPhone的來臨已不遠。大立光今天下午將召開線上法人說明會，預料除了財報數字外，包括競爭對手的威脅、蘋果新世代手機是否採用雙鏡頭、第1季展望及新廠產能進度等都是法人關注重點。
金管會緊盯  朝陽人壽1個月內2度遭罰,產經,2016/01/14 10:20,https://www.cna.com.tw/news/afe/201601140069.aspx,（中央社記者蔡怡杼台北14日電）金管會表示，朝陽人壽去年中撤換總經理，卻未依規定開會前將議案資料送達金管會，遭處罰鍰新台幣60萬元。累計朝陽人壽1個月內2度挨罰，近2年已8度遭金管會重懲。
股后滑一跤 漢微科創28個月新低,產經,2016/01/14 10:22,https://www.cna.com.tw/news/afe/201601140071.aspx,（中央社記者張建中新竹2016年1月14日電）台股股后漢微科近期股價慘跌，櫃買中心今天起祭出分盤交易處置，衝擊漢微科股價持續重挫，盤中一度摜破新台幣800元關卡，達788元，創28個多月來新低價。
油價跳水拖累美股狂洩 亞股踉蹌,產經,2016/01/14 10:43,https://www.cna.com.tw/news/afe/201601140079.aspx,（中央社東京14日綜合外電報導）國際油價跳水急殺，升高全球經濟疑慮，除了拖累美股昨天狂洩，亞洲股市今天也跟著踉蹌。
鴻海衝印度製造  領軍布局非洲西亞,產經,2016/01/14 10:33,https://www.cna.com.tw/news/afe/201601140081.aspx,（中央社記者鍾榮峰台北14日電）鴻海集團積極布局印度製造，眼光不僅只看到印度市場，當地媒體指出，鴻海透過布局印度製造，目標更鎖定非洲和西亞等市場。
加油像喝水 95無鉛20元近13年新低,產經,2016/01/14 10:36,https://www.cna.com.tw/news/afe/201601140084.aspx,（中央社記者林孟汝台北14日電）國際油價跳水崩跌，依中油浮動油價機制計算，截至目前止，18日凌晨零時起汽、柴油價格每公升可各調降新台幣0.9元，95無鉛汽油已到20元關卡戰，創近13年新低。
外資砍 聯發科今年市值減856億,產經,2016/01/14 10:41,https://www.cna.com.tw/news/afe/201601140088.aspx,（中央社記者張建中新竹14日電）外資籌碼鬆動，今年來賣超聯發科逾1萬張，衝擊聯發科股價一度跌破新台幣200元關卡，今年來股價大跌54.5元，市值縮水達856億元。
周子瑜代言 華為手機Y6在韓熱銷,產經,2016/01/14 10:41,https://www.cna.com.tw/news/afe/201601140089.aspx,（中央社記者姜遠珍首爾14日專電）由南韓女團TWICE成員台灣正妹周子瑜代言的中國大陸華為廉價手機Y6，透過南韓移動營運商LG Uplus登陸南韓不到1個月，在韓銷售量已突破2萬支。
吳當傑：若台股跌深 國安基金必加碼,產經,2016/01/14 11:08,https://www.cna.com.tw/news/afe/201601140100.aspx,（中央社記者邱柏勝台北14日電）美股重挫，陸股跌破3000點，今天台股開盤隨即跌逾百點，一度失守7700關卡，國安基金執行秘書吳當傑強調，「只要台股跌深，國安基金一定加碼。」呼籲投資人要對台股有信心。
台股盤中7700點失而復得 近期仍偏空,產經,2016/01/14 11:18,https://www.cna.com.tw/news/afe/201601140110.aspx,（中央社記者韋樞台北14日電）台股反彈僅一日，美國聯準會憂美國經濟放緩，今美股四大指數大跌，台股開盤大跌162點，摜破7700點後復得，電子法說各界仍在觀望，法人認為台股近期呈震盪偏空格局。
台股會說話 選後「八成」會漲,產經,2016/01/14 11:27,https://www.cna.com.tw/news/afe/201601140116.aspx,（中央社記者田裕斌台北14日電）總統大選倒數計時，根據過去經驗顯示，選後1周到1個月的期間，台股上漲的機率最大，分別達60%和80%。第一金投信認為，可視政經情勢，適度加碼布局，掌握反彈契機。
張忠謀出席台積電法說  台股風向球,產經,2016/01/14 11:36,https://www.cna.com.tw/news/afe/201601140129.aspx,（中央社記者張建中新竹14日電）台積電法人說明會即將於下午登場，未來業績動向是台股後市的重要指標，董事長張忠謀將親自出席；法人現階段普遍看好台積電第2季業績可望觸底回升。
雪霸保育成果 櫻花鉤吻鮭棲地改善了,產經,2016/01/14 12:44,https://www.cna.com.tw/news/afe/201601140136.aspx,（中央社記者陳政偉台北14日電）雪霸國家公園表示，104年保育成果顯示，台灣櫻花鉤吻鮭的棲地武陵地區，農地回收後水質明顯改善，而觀霧山椒魚族群幾乎沒有變異性，可能面臨氣候暖化威脅。
新台幣中午升1.25角,產經,2016/01/14 12:04,https://www.cna.com.tw/news/afe/201601140147.aspx,（中央社台北14日電）台北外匯市場新台幣兌美元今天中午暫收33.50元，升1.25角，成交金額4.66億美元。
民俗按摩店禮券沒保障  消保處：先別買,產經,2016/01/14 12:07,https://www.cna.com.tw/news/afe/201601140148.aspx,（中央社記者楊淑閔台北14日電）行政院消費者保護處公布，提供推拿、按摩等服務的民俗調理業雖已被規範不可宣稱療效、禁賣藥品，但未納入禮券發行應做履約保證規範內，呼籲先別買禮券，以免蒙受損失。
台灣出口溫和成長  貿協：成長逾2%,產經,2016/01/14 12:44,https://www.cna.com.tw/news/afe/201601140152.aspx,（中央社記者林孟汝台北14日電）貿協董事長梁國新今天表示，今年全球景氣可溫和成長，預估台灣出口優於去年，約達2%至2.3%成長；另外，貿協也將以3項具體創新工作，協助台商開拓市場。
政府拚觀光 寶島通搶電子商務商機,產經,2016/01/14 15:46,https://www.cna.com.tw/news/afe/201601140177.aspx,（中央社記者黃巧雯台北14日電）來台觀光客破千萬人次，經濟部、交通部、金管會、農委會合推寶島通服務平台，未來觀光客可用手機全台遊透透，可預訂醫美行程、行動支付、購物免自提，甚至可望E化退稅。
每7秒賣1個 日本PABLO起司塔登台,產經,2016/01/14 14:27,https://www.cna.com.tw/news/afe/201601140182.aspx,（中央社記者江明晏台北14日電）在日本創下每7秒賣1個、日銷2000個現烤半熟起司塔的品牌「PABLO」正式登台，由和億生活代理，台灣首店15日將於「HOYII北車站」開幕，今年擬在台拓展3到4個門市。
南韓央行維持利率不變 連7月按兵不動,產經,2016/01/14 13:13,https://www.cna.com.tw/news/afe/201601140190.aspx,（中央社首爾14日綜合外電報導）南韓中央銀行在美國聯邦準備理事會（Fed）升息和重要出口市場成長趨緩之際，今天決定連續7個月維持主要利率在歷來最低的1.5%不變。
金融股「價」崩 3檔金控死守低點,產經,2016/01/14 13:21,https://www.cna.com.tw/news/afe/201601140193.aspx,（中央社記者田裕斌台北14日電）台股開年以來連續崩跌，其中金融類股今年跌得最慘。不過15檔金控股中，還有3檔股價尚未跌破去年8月股災的低點，分別是台新金、國票金及合庫金。
景氣掉太快 學者：考驗美國復甦撐起全球,產經,2016/01/14 13:22,https://www.cna.com.tw/news/afe/201601140195.aspx,（中央社記者陳政偉台北14日電）全球股市一片綠，連帶影響美國經濟趨緩，學者分析指出，中國大陸經濟疲弱是主因，美國漸進式升息，因此復甦力道不明顯，考驗美國是否持續挺住這波頹勢，屹立不搖。
台股收盤跌81.73點,產經,2016/01/14 13:35,https://www.cna.com.tw/news/afe/201601140199.aspx,（中央社台北14日電）台北股市今天收盤下跌81.73點，為7742.88點，跌幅1.04%，成交金額新台幣813.71億元。1050114
美女實況主HaFu  電玩展秀本尊,產經,2016/01/14 13:43,https://www.cna.com.tw/news/afe/201601140205.aspx,（中央社記者韓婷婷台北14日電）電玩直播實況主正夯，除了「台灣NO.1」的Angry Pug將來台外，Twitch證實受網友讚為「競技場女王」的美女玩家HaFu將受邀來台，台灣的玩家有機會一賭女戰神本尊。
