標題,分類,時間,網址,內文
強片滿檔的一年 看電影這樣刷卡最省錢,產經,2016/02/21 09:40,https://www.cna.com.tw/news/afe/201602210032.aspx,（中央社記者蔡怡杼台北21日電）2016年多部強勢電影續集將輪番上陣，繼續搶攻票房，面對強檔大片上映，影迷們透過挑選信用卡，就可輕鬆省錢看電影囉。
軟體出問題 Volvo召修5萬9000輛,產經,2016/02/21 10:41,https://www.cna.com.tw/news/afe/201602210044.aspx,（中央社丹麥哥本哈根20日綜合外電報導）瑞典富豪汽車（Volvo）今天表示，將召修40個市場共約5萬9000輛汽車，因為這批車的軟體出問題，可能導致引擎和電力系統在行車時短暫關閉。
猴年開紅盤 台股後市聚焦高股息股,產經,2016/02/21 11:47,https://www.cna.com.tw/news/afe/201602210054.aspx,（中央社記者田裕斌台北21日電）台股猴年開紅盤首週拉出長紅，投信表示，經濟成長放緩、油價震盪等不確定性因素，已在先前陸續反映，國際利空的雜音對台股造成影響降低，高股息股將是下個台股焦點。
台電超額盈餘 轉作電價平準基金呼聲高,產經,2016/02/21 11:50,https://www.cna.com.tw/news/afe/201602210064.aspx,（中央社記者林孟汝台北21日電）台電公司去年大賺新台幣618億元，依電價公式估算4月後的電價勢必「有感」調降，不過，國內電價已偏低，已有呼聲反對再降，並主張超額盈餘可作為電價平準基金。
快去加油！下周汽柴油大漲9角,產經,2016/02/21 12:27,https://www.cna.com.tw/news/afe/201602210091.aspx,（中央社記者林孟汝台北21日電）國際油價漲勢有撐，中油公司今天宣布，依浮動油價機制計算，自22日凌晨零時起調漲各式汽、柴油價格每公升各新台幣0.9元。
228連假就該曬小孩 百貨業幫你想好了,產經,2016/02/21 12:43,https://www.cna.com.tw/news/afe/201602210097.aspx,（中央社記者林孟汝台北21日電）2月28日迎接3天連假，百貨公司挖空心思，除傳統的特賣會外，還祭出創作彩繪燈籠、簽書會等活動。不過，連假就該曬小孩，可別讓小朋友四年一度的2月29日記憶空白。
跳電危機今夏籠罩全台？台電說有對策,產經,2016/02/21 15:09,https://www.cna.com.tw/news/firstnews/201602210121.aspx,（中央社記者林孟汝台北21日電）媒體報導今年夏天全台恐面臨跳電危機，台電今表示，林口電廠1號機6月可滿載接受調度，大林新1號機將延後商轉，不過，今年備用容量率估仍有約12.5%，將以負載管理，穩定供電。媒體報導台電今年夏天原擬進行林口、大林電廠2機組更新，估計挹注總發電量160萬瓩，但據悉，林口電廠進度落後，加上大林電廠新舊機組銜接不上，全台今夏備用容量率直接「由正轉負」，面臨跳電危機。台電澄清表示，林口電廠1號機已於去年11月正式併聯發電，試運轉過程因鍋爐熱分布不均導致破管，經重新調校後，2月23日將重新點火恢復測試，預計於6月底前滿載發電接受調度，加入今年夏天供電的行列。至於大林燃油的3、4號機因環保署8月起實施加嚴排放標準須停機，燃氣的大林5號機，11月起也因環保排放加嚴必須降載20%。另外，大林電廠新1號機因建廠用地污染整治及針對廠商的品質缺失，台電在發現後隨即成立專案小組督導管控，在品質至上原則下，承包商IHI已於去年10月派遣專業人員進駐現場，並成立特別任務團隊加速進行檢測補強工作，預估1號機民國106年夏季前可滿載發電。台電表示，今年的用電負載將隨經濟成長的變化調整，除將加強發電機組運轉維護外，也會持續推動負載管理及節約用電宣導，擴大推動需量競價，以降低系統尖峰負載，穩定今年夏天的供電。1050221
新台幣後市難料 走貶不利資本市場,產經,2016/02/21 14:24,https://www.cna.com.tw/news/afe/201602210123.aspx,（中央社記者邱柏勝台北21日電）近期新台幣匯價波動劇烈，猴年開紅盤時一度升逾5角，但在央行刻意阻升下，上週新台幣匯價轉貶4.1分。匯銀人士認為台灣匯市深陷迷途；會計師則認為新台幣貶值不利吸引外資。
浩鼎新藥解盲  張念慈：沒挫敗比預期好,產經,2016/02/21 16:13,https://www.cna.com.tw/news/afe/201602210129.aspx,（中央社記者韓婷婷台北21日電）生技股股王浩鼎今天公布乳癌治療性疫苗新藥OBI-822解盲結果，傳統數據未呈現統計學上顯著意義，但董事長張念慈強調，這是一次非常成功的解盲，比預期好，沒有所謂挫敗。
毛茸茸指尖吸睛 美甲新品網路熱議,產經,2016/02/21 15:34,https://www.cna.com.tw/news/afe/201602210131.aspx,（中央社記者顏伶如波特蘭20日專電）「紐約時裝週」本週稍早Libertine品牌的2016年秋冬發表會上，走秀模特兒展示了毛茸茸的指尖，引發網路熱議。
農委會：強化管理  不讓漁業制裁發生,產經,2016/02/21 15:26,https://www.cna.com.tw/news/afe/201602210143.aspx,（中央社記者楊淑閔台北21日電）台灣遠洋漁業日前遭歐盟要求改善違法作業，期限逼近，銷歐產值雖不大，但農委會為防止效應擴大，被禁止銷歐，已推動修法及強化人力計畫等，不讓漁業貿易制裁發生。
浩鼎：解盲證實癌症免疫療法不是夢,產經,2016/02/21 17:10,https://www.cna.com.tw/news/afe/201602210145.aspx,（中央社記者韓婷婷台北21日電）浩鼎乳癌治療性疫苗新藥解盲翻牌，「主要療效指標未呈現統計學上顯著意義」，惟浩鼎強調，這次解盲證實「癌症免疫療法已經不是夢，是可以實現的新療法」。
黑美人大酒家變古蹟 不喝花酒改看展,產經,2016/02/21 16:43,https://www.cna.com.tw/news/afe/201602210170.aspx,（中央社記者潘智義台北21日電）「走！來去黑美人大酒家，免費請大家喝花酒！」收到這樣的邀請，別以為真的要來喝花酒，這家見證歷史的大稻埕知名酒家，早已歇業，被市政府列為歷史建築，來這是看展覽，品藝術的。
日月光併矽品案  筆戰市占率認定,產經,2016/02/21 16:48,https://www.cna.com.tw/news/afe/201602210173.aspx,（中央社記者鍾榮峰台北21日電）日月光二度公開收購矽品，雙方筆戰聚焦市占率認定。矽品認為，兩者合計在台灣市占率超過6成。
矽品筆戰日月光 聚焦系統級封裝,產經,2016/02/21 16:59,https://www.cna.com.tw/news/afe/201602210176.aspx,（中央社記者鍾榮峰台北21日電）日月光二度公開收購矽品，雙方筆戰聚焦系統級封裝（SiP）。矽品認為，日月光誇大SiP商機，替自己惡意併購矽品解套。
