標題,分類,時間,網址,內文
證交所今年起定期調整產業類別,產經,2014/03/31 06:57,https://www.cna.com.tw/news/afe/201403310009.aspx,（中央社記者田裕斌台北31日電）台灣證券交易所表示，去年修訂「上市公司產業類別劃分暨調整要點」，今年起將每年檢視上市公司產業類別。
摩根泛亞太股票入息基金准募,產經,2014/03/31 07:09,https://www.cna.com.tw/news/afe/201403310010.aspx,（中央社記者潘智義台北31日電）證期局同意「摩根泛亞太股票入息基金」募集，總額新台幣200億元。
旺矽擬配息  每股2.1元,產經,2014/03/31 07:12,https://www.cna.com.tw/news/afe/201403310011.aspx,（中央社記者鍾榮峰台北31日電）探針卡和LED檢測設備商旺矽擬盈餘分配現金股利每股2.1元。
逸昌去年每股賺0.53元,產經,2014/03/31 07:12,https://www.cna.com.tw/news/afe/201403310012.aspx,（中央社記者鍾榮峰台北31日電）類比IC測試廠逸昌去年淨利新台幣1940萬元，每股稅後盈餘0.53元，去年獲利轉正。
陸去年紡品順差2456億美元,產經,2014/03/31 07:31,https://www.cna.com.tw/news/afe/201403310013.aspx,（中央社記者韋樞台北31日電）紡拓會依據中國大陸紡織品進出口商會資料統計，去年全年中國大陸紡織品及成衣出口總值2867.5億美元，進口總值411.1億美元，順差2456.4億美元。
美國梭織襯衫暢銷  成長居冠,產經,2014/03/31 07:37,https://www.cna.com.tw/news/afe/201403310014.aspx,（中央社記者韋樞台北31日電）紡拓會引述資料顯示，2013年美國成衣零售金額與數量都成長2%，其中梭織襯衫表現最佳，成長9%，主要是女用襯衫和兒童襯衫增加。
響應環保  國泰金再獲肯定,產經,2014/03/31 07:42,https://www.cna.com.tw/news/afe/201403310016.aspx,（中央社記者田裕斌台北31日電）國泰金控以「綠色金融‧永續發展」為主軸，結合核心職能響應環保議題，在「2014年綠色品牌大調查」評比中，獲頒金融服務類特優獎，連續3年獲肯定。
供給緊 下半年油價有撐,產經,2014/03/31 07:45,https://www.cna.com.tw/news/afe/201403310017.aspx,（中央社記者潘智義台北31日電）天達環球能源基金共同經理人倪唐（Tom Nelson）指出，下半年原油供給吃緊，將提供油價有力支撐，能源股表現也相對樂觀。
晶宏去年每股賺0.63元,產經,2014/03/31 07:45,https://www.cna.com.tw/news/afe/201403310018.aspx,（中央社記者張建中新竹31日電）面板驅動IC廠晶宏去年每股純益新台幣0.63元，每股將配發0.25元現金股息。
元隆去年虧損  歷史次高,產經,2014/03/31 07:49,https://www.cna.com.tw/news/afe/201403310019.aspx,（中央社記者張建中新竹31日電）晶圓代工廠元隆電子去年稅後淨損新台幣3.64億元，虧損金額創歷史次高，每股虧損3.62元。
330活動後 觀察台股價量,產經,2014/03/31 07:55,https://www.cna.com.tw/news/afe/201403310020.aspx,（中央社記者鍾榮峰台北31日電）330活動結束。法人表示，服貿議題將持續延燒，台股今天價量走勢待觀察，長期台股基本面仍相對持穩。
陸短債殖利率創5年來最大降幅,產經,2014/03/31 08:09,https://www.cna.com.tw/news/afe/201403310022.aspx,（中央社台北31日電）中國大陸短期債券殖利率以5年來最快速度下滑，市場臆測貨幣政策將放寬以對抗國務院總理李克強警告的經濟困境和風險。
德企挺俄 官員批出賣歐洲價值,產經,2014/03/31 08:12,https://www.cna.com.tw/news/afe/201403310023.aspx,（中央社台北31日電）彭博報導，德國總理梅克爾（Angela Merkel）的副手痛批西門子執行長凱瑟（Joe Kaeser）的莫斯科之行，表示德國企業不應為了捍衛與俄羅斯之間的生意往來而出賣歐洲價值。
日圓維持弱勢 亞股指期和澳股漲,產經,2014/03/31 08:12,https://www.cna.com.tw/news/afe/201403310024.aspx,（中央社台北31日電）日股、美股指數期貨和澳洲股市上漲，日圓兌多數換匯貨幣維持弱勢。原油價格自3週高點拉回。
遠傳頭家專案 優惠企業主,產經,2014/03/31 08:19,https://www.cna.com.tw/news/afe/201403310027.aspx,（中央社記者江明晏台北31日電）行動裝置成為串連消費者與商家最佳媒介，遠傳電信推出創業頭家折價專案，主打iPhone 5s和GALAXY Note 3等多種機款，搭配不同話務量優惠方案，供企業主選擇。
F-通訊上櫃案4月1日審議,產經,2014/03/31 08:25,https://www.cna.com.tw/news/afe/201403310028.aspx,（中央社記者韓婷婷台北31日電）證券櫃檯買賣中心預計4月1日召開上櫃審議委員會，審議中國通訊多媒體集團(簡稱F-通訊公司)申請上櫃案。
儲存市場  台灣今年續強,產經,2014/03/31 08:37,https://www.cna.com.tw/news/afe/201403310030.aspx,（中央社記者江明晏台北31日電）研究顯示，製造與電信業領軍，帶動2013下半年台灣儲存市場飛揚；展望2014年，來自半導體上下游業者的擴充需求，仍是成長主力，因應4G開台，電信業者的需求也可望增溫。
First Solar供應澳礦業 協議近,產經,2014/03/31 08:49,https://www.cna.com.tw/news/afe/201403310032.aspx,（中央社台北31日電）彭博報導，美國最大太陽能板製造商第一太陽能公司（First Solar Inc .）供應澳洲偏遠礦場計畫的協議近，協助礦業資源公司撙節燃料成本費用。
凱撒去年獲利 創5年來新高,產經,2014/03/31 09:01,https://www.cna.com.tw/news/afe/201403310033.aspx,（中央社記者韓婷婷台北31日電）衛浴設備廠商凱撒衛去年度營收年增20.6%，稅後盈餘新台幣1.65億元，年增37.5%，EPS為2.54元，獲利創近5年來新高，盈餘擬配發1.6元股息。
優酷股價沒勁 求助美國隊長,產經,2014/03/31 09:01,https://www.cna.com.tw/news/afe/201403310034.aspx,（中央社台北31日電）彭博報導，中國大陸視頻網站一哥優酷土豆於2010年首次公開售股（IPO），如今股價表現不濟，恐寫下一年來最大月線跌幅，主因投資人擔心市場競爭加劇恐腐蝕優酷的盈餘表現。
台股開盤漲28.29點,產經,2014/03/31 09:09,https://www.cna.com.tw/news/afe/201403310036.aspx,（中央社台北31日電）台北股市今天開盤漲28.29點，加權股價指數成為8802.93點，成交金額新台幣21.42億元。1030331
熱帶蔬果計畫  助薩爾瓦多農改,產經,2014/03/31 09:09,https://www.cna.com.tw/news/afe/201403310037.aspx,（中央社台北31日電）中華民國駐薩爾瓦多共和國大使李新穎於28日（當地時間）接見台灣援薩「熱帶蔬果健康種苗繁殖中心計畫」界定評估團，雙方為協助薩國農業改革交換意見。
加稅在即 日工業生產意外降,產經,2014/03/31 09:12,https://www.cna.com.tw/news/afe/201403310039.aspx,（中央社台北31日電）日本2月工業生產下滑，低於彭博訪調的全部經濟師預估。日本即將自1997年以來首次調高銷售稅，恐造成這個全球第3大經濟體復甦停滯。
去年獲利創新高 鴻海開盤小跌,產經,2014/03/31 09:12,https://www.cna.com.tw/news/afe/201403310040.aspx,（中央社記者鍾榮峰台北31日電）鴻海今開盤小幅下跌。鴻海去年歸屬母公司業主淨利新台幣1066.97億元，突破千億元大關，去年第4季獲利426.15億元，均創歷年和單季獲利新高。
台股開盤一度站上8800,產經,2014/03/31 09:25,https://www.cna.com.tw/news/afe/201403310041.aspx,（中央社記者鍾榮峰台北31日電）台股今開盤上漲28點，一度站上8800點，最高來到8803點，是2年8個月波段高點。
IDB警告：拉美難擋經濟衝擊,產經,2014/03/31 09:25,https://www.cna.com.tw/news/afe/201403310042.aspx,（中央社台北31日電）美洲開發銀行說，拉丁美洲今日對外來經濟衝擊的脆弱性更甚於2008年金融危機之前，因為各國政府已增加支出，且企業也借更多的外債增加成長。
瓜國盼引台技術 防治木瓜蟲害,產經,2014/03/31 09:33,https://www.cna.com.tw/news/afe/201403310045.aspx,（中央社台北31日電）中華民國駐瓜地馬拉大使館、國家合作發展基金會與瓜國農業官員，27日（當地時間）舉行「木瓜病蟲害監控防治研討會」，討論如何從台灣引進相關技術援助。
升息風起 美債ETF大失血,產經,2014/03/31 09:42,https://www.cna.com.tw/news/afe/201403310046.aspx,（中央社台北31日電）彭博報導，美債指數股票型基金（ETF）大失血，主要是憂心美國聯邦準備理事會（Fed）升息腳步將加快，超過預期。
行銷長何永生：續在宏達電打拚,產經,2014/03/31 09:45,https://www.cna.com.tw/news/afe/201403310049.aspx,（中央社記者江明晏紐約31日電）媒體報導，業界盛傳宏達電行銷長何永生將跳槽國碁電子，擔任行銷4G大將。何永生今天回應，「沒有這回事」，會留在宏達電繼續拚。
新台幣早盤升7.3分,產經,2014/03/31 10:09,https://www.cna.com.tw/news/afe/201403310058.aspx,（中央社記者吳佳穎台北31日電）新台幣兌美元匯率，上午9時45分匯價來到30.479元，升值7.3分。
管中閔：理性溝通  找出好出路,產經,2014/03/31 10:12,https://www.cna.com.tw/news/afe/201403310059.aspx,（中央社記者林惠君台北31日電）反服貿學生團體持續占領立法院議場，國發會主委管中閔今天表示，政府運作如耽誤對經濟會產生一定程度影響；台灣是很成熟、民主社會，大家應理性溝通，找到最好的一條路。
宜特去年每股純益1.98元,產經,2014/03/31 10:19,https://www.cna.com.tw/news/afe/201403310063.aspx,（中央社記者張建中新竹31日電）電子產品驗證服務廠宜特科技去年第4季每股純益逾新台幣1元，全年每股純益1.98元。
亞泰影像科技無擔保轉換債生效,產經,2014/03/31 10:31,https://www.cna.com.tw/news/afe/201403310065.aspx,（中央社記者潘智義台北31日電）亞泰影像科技向金融監督管理委員會證券期貨局申報發行無擔保轉換公司債案今天生效，總面額新台幣4.5億元。1030331
泰政治動盪 外國投資受影響,產經,2014/03/31 10:31,https://www.cna.com.tw/news/afe/201403310067.aspx,（中央社台北31日電）彭博報導，泰國投資促進機構主管表示，長達5個月的政治僵局最新受害者恐怕是外國投資，不但投資計畫審核延宕，新投資人也對承諾資金卻步。
加稅前夕 日人掀搶金潮,產經,2014/03/31 10:31,https://www.cna.com.tw/news/afe/201403310068.aspx,（中央社台北2014年3月31日電）彭博報導，日本明天將上調銷售稅，日本最大黃金零售商田中貴金屬珠寶會社3月黃金銷售大爆發，激增5倍。
淡季不淡  泰林業績穩健,產經,2014/03/31 10:33,https://www.cna.com.tw/news/afe/201403310069.aspx,（中央社記者鍾榮峰台北31日電）混合訊號和記憶體測試廠泰林去年歸屬母公司業主淨利新台幣約7億元，去年每股稅後盈餘2.94元。
衛浴業表現佳 凱撒EPS新高,產經,2014/03/31 10:45,https://www.cna.com.tw/news/afe/201403310075.aspx,（中央社記者韓婷婷台北31日電）衛浴設備廠商凱撒衛去年營收年增20.6%，稅後盈餘新台幣1.65億元，年增37.5%，EPS為2.54元，獲利創近5年來新高，盈餘擬配發1.6元股息。
台股相對穩定  國安基金未進場,產經,2014/03/31 10:45,https://www.cna.com.tw/news/afe/201403310078.aspx,（中央社記者林惠君台北31日電）財政部次長吳當傑今天表示，目前台股相對穩定；目前市場機制，不符國安基金進場條件。
服貿協議  有利台灣就業市場,產經,2014/03/31 11:07,https://www.cna.com.tw/news/afe/201403310084.aspx,（中央社記者吳靜君台北31日電）中華人事主管協會表示，台灣在研發、行銷企劃、服務等領域仍保有相當大的競爭優勢。但投資不足及貿易量萎縮，服貿協議有利台灣就業市場。
金融走弱 台股開高拉回震盪,產經,2014/03/31 11:07,https://www.cna.com.tw/news/afe/201403310086.aspx,（中央社記者鍾榮峰台北31日電）金融盤中走弱，電子整理，台股開高後拉回平盤震盪。法人表示，台股均線和技術指標仍有利多方，但量能相對不足，指數若持續向上，需考量價量背離風險。
業務成長  樂陞總部落腳新店,產經,2014/03/31 11:09,https://www.cna.com.tw/news/afe/201403310089.aspx,（中央社記者羅秀文台北31日）樂陞今天與新北市政府簽約，正式宣布樂陞集團總部將搬遷至新北市新店捷運站共構商場，緊鄰碧潭風景區，預計5月底正式進駐。
通膨可能減緩 歐元近1個月低點,產經,2014/03/31 11:12,https://www.cna.com.tw/news/afe/201403310091.aspx,（中央社台北31日電）歐元創近1個月來低點，因為今天將公布的數據可能顯示歐元區通貨膨脹減緩，此舉將提高歐洲中央銀行（ECB）在本週政策會議上提出刺激經濟措施的押注。
廣達獲利縮水 股價疲弱,產經,2014/03/31 11:19,https://www.cna.com.tw/news/afe/201403310093.aspx,（中央社記者韓婷婷台北31日電）廣達去年每股稅後純益（EPS）4.84元，年減19.4%，獲利縮水，加上股價已到相對高點，衝擊今天股價跳空開低走低，早盤跌幅超過5%。
經濟部：樂見大眾關心服貿,產經,2014/03/31 11:19,https://www.cna.com.tw/news/afe/201403310094.aspx,（中央社記者翟思嘉台北31日電）經濟部次長杜紫軍今天表示，政府正面看待青年關心服貿協議，創造更多對話空間，並願意就所有問題說明回答。
服貿協議  金融業各公會力挺,產經,2014/03/31 11:33,https://www.cna.com.tw/news/afe/201403310102.aspx,（中央社記者田裕斌台北31日電）金融業各大公會今天在台灣金融服務業聯合總會領銜下，再登半版廣告，點出服貿協議通過具有3大重點，強調75萬從業人員全力支持。
