標題,分類,時間,網址,內文
金控法說 中信金跑第一,產經,2014/08/05 06:55,https://www.cna.com.tw/news/afe/201408050012.aspx,（中央社記者田裕斌台北5日電）繼重量級電子股法人說明會之後，金控股法說會接連起跑，其中，中信金控將打響第一炮，在今天舉行法說會。
全國學生團保 三商壽3度承保,產經,2014/08/05 06:59,https://www.cna.com.tw/news/afe/201408050013.aspx,（中央社記者田裕斌台北5日電）三商美邦人壽表示，103學年度全國「學生團體保險」由三商壽繼續承保，保障期間自今年8月1日起至明年7月31日，估計有超過350萬名學童納入保障。
信義房屋捐義消總會1000萬,產經,2014/08/05 07:29,https://www.cna.com.tw/news/afe/201408050016.aspx,（中央社記者韋樞台北5日電）高雄氣爆事件造成多位消防及義消人員殉職，信義房屋決定捐贈全國義消總會新台幣1000萬元。信義房屋表示，千萬元捐款用來支應救災殉職消防及義消人員每人百萬元慰問金。
7月都會區房市交易 年減3成,產經,2014/08/05 07:29,https://www.cna.com.tw/news/afe/201408050017.aspx,（中央社記者韋樞台北5日電）央行6月擴大房貸管制範圍，7月五都會區交易量持平，但年減多達3成，雙北市與桃園縣量縮 3成最明顯，台中市與台南市年減14%到17%，相對穩健。
陸經濟好轉 台韓股市受惠,產經,2014/08/05 07:29,https://www.cna.com.tw/news/afe/201408050018.aspx,（中央社記者許湘欣台北5日電）儘管全球股市近來震盪，東北亞股市相對仍受外資青睞；投信業者認為，主要還是受到經濟情勢好轉的陸股帶動，隨中國大陸經濟升溫，有利台、韓股市後市。
新日光分散出貨 加快海外布局,產經,2014/08/05 07:31,https://www.cna.com.tw/news/afe/201408050019.aspx,（中央社記者許湘欣台北5日電）受美反傾銷影響，新日光7月合併營收新台幣20.52億元，月減7.08%；但新日光表示，分散出貨策略已見效，未來也將加快海外布局。
F-永冠上半年獲利 同期新高,產經,2014/08/05 07:31,https://www.cna.com.tw/news/afe/201408050021.aspx,（中央社記者鍾榮峰台北5日電）F-永冠第2季稅後淨利新台幣逾2.99億元，每股稅後盈餘(EPS)2.97元；上半年稅後淨利5.08億元，EPS 5.04元。法人表示，F-永冠第2季和上半年獲利均創新高。
台股利空不跌 短線整理機率大,產經,2014/08/05 08:05,https://www.cna.com.tw/news/afe/201408050027.aspx,（中央社記者潘智義台北5日電）美股道瓊工業指數上漲75.91點，台股重新站上9300點整數關卡。法人認為，9300點上攻固有壓力，但台股4日利空不跌，後續也不必太悲觀。
工業衰退  羅賽芙政治獻金減少,產經,2014/08/05 08:35,https://www.cna.com.tw/news/afe/201408050032.aspx,（中央社記者唐雅陵聖保羅4日專電）巴西市場調查指出，6月份國內26種工業產業，其中21種呈現減產，而競選連任的總統羅賽芙向產業界募集的政治獻金，也較2010年減少。
主計總處：7月CPI年增1.75%,產經,2014/08/05 08:43,https://www.cna.com.tw/news/afe/201408050033.aspx,（中央社台北5日電）主計總處公布，103年7月份消費者物價總指數(CPI)較上月跌0.04％，經調整季節變動因素後跌0.13％；較上年同月漲1.75%，1-7月平均，較上年同期漲1.29%。1030805
