標題,分類,時間,網址,內文
威力球頭彩開出  新澤西一注獨得140億,產經,2016/05/09 00:25,https://www.cna.com.tw/news/firstnews/201605090002.aspx,（中央社洛杉磯7日綜合外電報導）美國跨州發行的威力球彩券（Powerball）今天開出頭彩，獎金達4億2960萬美元（約新台幣140億元），為美國彩券有史以來第9高的獎金，由在新澤西州購買彩券的幸運者一注獨得。威力球今天開獎號碼是25、66、44、5、26，威力球號碼是9。美聯社報導，彩券發行機構發言人克萊普（Kelly Cripe）表示，只有在新澤西州售出的一張彩券六個號碼全中。得獎幸運兒目前身分不明。贏得巨額獎金的頭彩得主有時長達幾個月都不會公開露面。克萊普說，目前還不確定得獎者是獨自購買或與人合購，但得獎人若決定一次領取獎金，將可拿到2億8410萬美元（台幣逾92億元）。新澤西州彩券機構人員今晨表示，得獎彩券是在梅瑟郡（Mercer）售出，但在完成安全程序前，不會公布是那家投注站售出，預計明天才會公布地點。這也是今年元月以來，全美各彩券頭獎最高彩金；1月威力球頭獎累積至16億美元，由3注均分。威力球頭彩中獎機率為2億9200萬分之1，統計專家指出，這表示，1位美國人要當上下任總統的機會，比中獎還高出大約25倍。「德州樂透」（Texas Lottery）女發言人克里普（Kelly Cripe）說，威力球今天開獎前已連續槓龜17期。今天最後一波購買潮將累積彩金推升約1500萬美元，估計來到4億2960萬美元。威力球彩券目前在全美44州、華府特區、波多黎各以及美屬維京群島銷售。（譯者：中央社劉文瑜）1050508
歐元區將集會 盼繼續提供希金援,產經,2016/05/09 07:10,https://www.cna.com.tw/news/afe/201605090008.aspx,（中央社記者江今葉布魯塞爾8日專電）歐元區國家財政部長9日將召開會議，審視希臘經濟改革方案，以決定是否繼續提供金援。但不滿的希臘民眾上街抗議政府撙節方案，讓會議未開已蒙上陰影。
美股上漲添利多 台股反彈待觀察,產經,2016/05/09 07:34,https://www.cna.com.tw/news/afe/201605090010.aspx,（中央社記者潘智義台北9日電）上週台股一共下跌231點，外資大賣新台幣569億元，但加權指數仍守穩在8100點之上；週五美股道瓊工業指數上漲79.92點，能否帶動今天台股反彈有待觀察。
薩感謝台灣援助一鄉一特產計畫成功,產經,2016/05/09 10:00,https://www.cna.com.tw/news/afe/201605090022.aspx,（中央社台北9日電）薩爾瓦多經濟部中微小企業委員會執行長羅格爾致函中華民國駐薩爾瓦多大使李新穎，感謝駐薩大使館及國際合作發展基金會全力支持薩爾瓦多一鄉一特產計畫，各項技術合作輔導措施。
1公斤500元 屏東枋山農會芒果量少價揚,產經,2016/05/09 10:58,https://www.cna.com.tw/news/afe/201605090023.aspx,（中央社記者郭芷瑄屏東縣9日電）屏東愛文芒果受到冬天一波波寒流影響，產量減少，產期延後，枋山地區部分農民仍然種出新鮮甜美的好芒果，枋山地區農會表示，以農會品牌銷售的芒果1公斤賣到500元。
潘孟安率團出擊巴林 推廣屏東水果,產經,2016/05/09 09:09,https://www.cna.com.tw/news/afe/201605090028.aspx,（中央社台北9日電）屏東縣長潘孟安率農業官員與農民等12人於當地時間4日至5日到巴林訪問，在巴林最大水果進口集團超市Al Jazira總店舉辦試吃及推廣說明會。6日下午繼續辦理試吃推廣活動，普受顧客喜愛。
和大前4月營收創新高 全年衝60億,產經,2016/05/09 09:00,https://www.cna.com.tw/news/afe/201605090031.aspx,（中央社記者鍾榮峰台北9日電）和大自結4月合併營收創歷年同期新高，今年前 4月營收也創歷年同期新高。法人預估，和大今年整體業績可望超過58億元，挑戰60億元大關。
台股開盤漲10.22點,產經,2016/05/09 09:02,https://www.cna.com.tw/news/afe/201605090032.aspx,（中央社台北9日電）台北股市今天開盤漲10.22點，加權股價指數成為8156.65點，成交金額新台幣10.85億元。1050509
新台幣開盤升 0.2分,產經,2016/05/09 09:07,https://www.cna.com.tw/news/afe/201605090034.aspx,（中央社台北 9日電）台北外匯市場新台幣兌美元匯率今天以32.410元開盤，升 0.2分。
安克授權金進補  4月營收爆發成長,產經,2016/05/09 09:26,https://www.cna.com.tw/news/afe/201605090039.aspx,（中央社記者韓婷婷台北 9日電）安克生醫受惠中國大陸授權金入袋，推動營收從4月開始見到爆發性成長，4月合併營收為111.1萬元，相較去年零營收及 3月的4.3萬元呈現大幅成長。
