標題,分類,時間,網址,內文
歐股勁揚 銀行股領漲,產經,2016/10/15 01:30,https://www.cna.com.tw/news/firstnews/201610150005.aspx,（中央社米蘭/倫敦14日綜合外電報導）歐股今天勁揚，在銀行股領漲下收復前個交易日失土，避險基金曼氏集團（Man Group）強漲。倫敦FTSE 100指數上漲0.51%，收在7013.55。法蘭克福DAX 30指數上漲1.60%，收在10580.38。巴黎CAC 40指數上漲1.49%，收在4470.92。1051015
利比亞控告高盛投資詐騙 遭英法院駁回,產經,2016/10/15 03:39,https://www.cna.com.tw/news/afe/201610150007.aspx,（中央社倫敦14日綜合外電報導）高盛集團（Goldman Sachs）今天贏得與利比亞主權財富基金的法律官司，英國法院駁回對高盛詐騙利比亞官員12億美元投資的控訴。
葉倫：高壓經濟恐是自危機復甦唯一之路,產經,2016/10/15 07:26,https://www.cna.com.tw/news/afe/201610150008.aspx,（中央社波士頓14日綜合外電報導）美國聯邦準備理事會（Fed）主席葉倫（Janet Yellen）指出，聯準會可能需要運行「高壓」經濟，以扭轉造成抑制輸出、勞工失業，以及恐形成永久疤痕危機的傷害。
大型銀行股財報佳 美股收紅,產經,2016/10/15 05:32,https://www.cna.com.tw/news/firstnews/201610150009.aspx,（中央社紐約14日綜合外電報導）在大型銀行股公布強勁獲利下，美股今天收小紅。外傳雲端運算公司Salesforce.com已不打算併購推特（Twitter），導致推特股價受挫。道瓊工業指數終場上漲39.44點，或0.22%，收在18138.38點；標準普爾500指數上漲0.43點，或0.02%，收在2132.98點。以科技股為主的那斯達克指數上漲0.827點，或0.02%，收在5214.16點。（譯者：中央社徐睿承）1051015
美元走升和油儲增加 油價拉回,產經,2016/10/15 07:42,https://www.cna.com.tw/news/afe/201610150011.aspx,（中央社紐約14日綜合外電報導）油價今天下跌，因美元升值接近7個月高點及美國原油庫存增加，為8月以來首度攀升。
日產汽車CEO：對英脫歐後競爭力有信心,產經,2016/10/15 08:16,https://www.cna.com.tw/news/afe/201610150021.aspx,（中央社記者黃貞貞倫敦14日專電）日產汽車執行長戈恩今天會見英國首相梅伊，他在會後表示，將來英國脫離歐盟後，有信心政府將能讓英國保持商業競爭力。
蘋果加持 9月外銷訂單可望連2紅,產經,2016/10/15 08:24,https://www.cna.com.tw/news/afe/201610150026.aspx,（中央社記者黃巧雯台北15日電） 經濟部20日將公布9月外銷訂單統計，受惠iPhone 7熱銷，可望持續帶動相關供應鏈接單增加， 預期接單可望連續2個月正成長，且年增率看增4%。
iPhone 8全平面螢幕？這專利幫大忙,產經,2016/10/15 08:42,https://www.cna.com.tw/news/afe/201610150031.aspx,（中央社記者鍾榮峰台北15日電）蘋果積極布局新專利。外媒指出，蘋果一項有關光感測元件嵌入裝置顯示器的技術，有助iPhone 8採用全平面螢幕設計。
黃阿瑪霸氣又逗趣 百萬臣民樂追隨,產經,2016/10/15 10:16,https://www.cna.com.tw/news/afe/201610150040.aspx,（中央社記者邱柏勝台北15日電）是什麼樣的魅力，能夠讓4位大男生甘願當「奴才」，天天服侍牠？是什麼樣的號召力，能吸引100多萬粉絲追隨？牠，就是大名鼎鼎、擁有6隻後宮成員的「黃阿瑪」。
日沖繩唯一沒有7-11 最快2年後設店,產經,2016/10/15 09:48,https://www.cna.com.tw/news/afe/201610150041.aspx,（中央社記者楊明珠東京15日專電）7-11是日本最大規模的連鎖超商，日本公司初步決定，快則2018年將在沖繩（琉球）設店。在日本，沖繩是至今唯一沒有7-11的縣。
