標題,分類,時間,網址,內文
美逢國定假日 歐股走低,產經,2018/01/16 01:14,https://www.cna.com.tw/news/afe/201801160004.aspx,（中央社倫敦15日綜合外電報導）由於適逢美國國定假日，歐洲主要股市今天在交易清淡下走低。
美股強勢 台股能否續創新高受矚,產經,2018/01/16 08:20,https://www.cna.com.tw/news/afe/201801160010.aspx,（中央社記者潘智義台北16日電）美股道瓊工業指數12日大漲228.46點，台股昨天收10956.31點，創逾27年新高，今天能否再跟美股連動，續創新高，備受投資人關注。
台股開盤跌0.50點,產經,2018/01/16 09:06,https://www.cna.com.tw/news/afe/201801160017.aspx,（中央社台北16日電）台北股市今天開盤跌0.50點，加權股價指數為10955.81點，成交金額新台幣16.92億元。1070116
新台幣開盤貶1.8分 為29.560元,產經,2018/01/16 09:06,https://www.cna.com.tw/news/afe/201801160018.aspx,（中央社台北16日電）台北外匯市場新台幣兌美元匯率今天以29.560元開盤，貶1.8分。
國巨去年獲利和每股純益 法人估衝新高,產經,2018/01/16 09:17,https://www.cna.com.tw/news/afe/201801160021.aspx,（中央社記者鍾榮峰台北16日電）國巨去年下半年獲利受惠產品漲價，以及利基型產品擴產效應持續到今年底等因素，法人預估國巨去年第4季獲利可創單季新高，全年獲利和每股純益衝高。
林全接掌東洋董座 股價開盤勁揚7%,產經,2018/01/16 09:29,https://www.cna.com.tw/news/afe/201801160024.aspx,（中央社記者韓婷婷台北16日電）前行政院長林全轉戰生技業，接掌台灣東洋藥品董事長，被外界視為為生技業打強心針，激勵今天生技股續強，其中東洋更以大漲7元，上漲7%開出。
宏達電VIVE攻台北電玩展 首辦電競賽,產經,2018/01/16 09:32,https://www.cna.com.tw/news/afe/201801160025.aspx,（中央社記者江明晏台北16日電）宏達電今天宣布參加2018台北國際電玩展，新一代VIVE PRO將在台亮相，宏達電也首度舉行虛擬實境電競邀請賽，瞄準電競市場商機，展期內祭出VIVE組合優惠價，衝刺首季出貨動能。
美國會立法起步走  政府禁購中興華為產品,產經,2018/01/16 09:48,https://www.cna.com.tw/news/afe/201801160033.aspx,（中央社記者鄭崇生華盛頓15日專電）4位共和黨籍聯邦眾議員發起草案，要求聯邦政府機構禁止採購或使用與中資企業華為及中興有關的產品與服務。
顧能研調：半導體產值估增7.5% 超預期,產經,2018/01/16 10:03,https://www.cna.com.tw/news/afe/201801160037.aspx,（中央社記者張建中新竹16日電）研調機構顧能(Gartner)預估，今年全球半導體產值可望達4510億美元，將成長7.5%，增幅將較原預期的4%高出近9成水準。
施俊吉：若楊金龍願掌央行  是適當人選[影],產經,2018/01/16 11:10,https://www.cna.com.tw/news/afe/201801160039.aspx,（中央社記者顧荃台北16日電）外傳中央銀行副總裁楊金龍將接總裁，行政院副院長施俊吉今天表示，他不曉得可能性高低，但楊金龍是聽說過的可能人選之一，且熟悉央行業務，如果楊金龍願意接任，會是適當人選。
新台幣早盤升0.2分,產經,2018/01/16 10:35,https://www.cna.com.tw/news/afe/201801160046.aspx,（中央社台北16日電）台北外匯市場新台幣兌美元匯率今天以29.560元開盤，貶1.8分；10時30分來到29.540元，升0.2分。
戊戌狗年生肖套幣25日發售 每套1800元,產經,2018/01/16 12:33,https://www.cna.com.tw/news/afe/201801160048.aspx,（中央社記者邱柏勝台北16日電）狗年將屆，央行依往例在農曆年前發行狗年生肖紀念套幣，限量12萬套，每套售價新台幣1800元，25日起在台灣銀行各分行公開發售，採現場排隊方式購買，每人每次限購1套。
去年基金規模大增1950億 跨國股票型夯,產經,2018/01/16 10:54,https://www.cna.com.tw/news/afe/201801160049.aspx,（中央社記者田裕斌台北16日電）據投信投顧公會統計，去年境內基金規模大增新台幣1950億元、年增9.18%，達2兆3185億元，創2010年以來單年增加次高紀錄，以跨國股票型基金規模增加最多。
行政院拚經濟 賴清德盼鼓勵投資帶動加薪,產經,2018/01/16 11:03,https://www.cna.com.tw/news/afe/201801160052.aspx,（中央社記者蔡怡杼台北16日電）2018投資台灣高峰論壇今天登場，行政院院長賴清德表示，若投資不足，經濟就會成長動能不足，進而使得薪資提升受限，因此，發展經濟是行政院最重要的工作，而發展經濟最核心的就是鼓勵投資。
台灣汽車零配件業績走向 關鍵點看這裡,產經,2018/01/16 11:09,https://www.cna.com.tw/news/afe/201801160055.aspx,（中央社記者鍾榮峰台北16日電）台灣汽車零配件廠商今年可受惠休旅車和新能源車等產品拉貨帶動，業績看佳，不過，中國大陸汽車市場變化是牽動台廠業績走勢的重要因素。
台股盤中小跌  力守10900點之上,產經,2018/01/16 11:26,https://www.cna.com.tw/news/afe/201801160061.aspx,（中央社記者潘智義台北16日電）台股前一交易日創逾27年新高後，今天以平低盤開出，指數在平盤下游走，但仍力守10900點之上。
2000元刮刮樂來了 發行量比去年減1成,產經,2018/01/16 12:26,https://www.cna.com.tw/news/afe/201801160064.aspx,（中央社記者田裕斌台北16日電）隨著農曆新年的腳步逼近，台灣彩券今天發行春節限定、面額新台幣2000元的刮刮樂「2000萬開運發財金」，值得注意的是，今年發行量較去年減少11%，頭獎維持3個不變。
商仲：今年亞太區商用不動產交易估成長5%,產經,2018/01/16 11:45,https://www.cna.com.tw/news/afe/201801160088.aspx,（中央社記者韋樞台北16日電）亞太區不動產市場今年將繼續成長，外商商仲評估，今年亞太區商用不動產交易量可望成長5%到約1400億美元，今年值得投資的項目是需求大的銀髮宅、學生宿舍、數據中心和個人倉庫。
平衡退休基金收支 越南擬延遲退休年齡,產經,2018/01/16 11:53,https://www.cna.com.tw/news/afe/201801160093.aspx,（中央社河內16日電）越南勞動榮軍與社會部為平衡退休基金收支，研擬延遲公務員和勞工退休年齡，將進一步徵求意見，再提交國會審議通過。
林全接東洋董座 點燃生技股反彈續航力,產經,2018/01/16 12:00,https://www.cna.com.tw/news/afe/201801160097.aspx,（中央社記者韓婷婷台北16日電）生技類股近來利多頻傳，加上跌深吸引買盤轉戰，新藥股在浩鼎領軍下強勢反彈，前行政院長林全出任台灣東洋新任董事長更為生技業帶來強心劑，點燃生技股反彈續航力。
拚都更有感  葉俊榮：三大政策鏈結,產經,2018/01/16 12:00,https://www.cna.com.tw/news/afe/201801160099.aspx,（中央社記者陳政偉台北16日電）為讓民眾對政府力推都市更新政策更加有感，政府正籌設專責機構，內政部長葉俊榮今天表示，今年5月前將公告全國國土計畫，並透過推廣都市發展等三大政策，鏈結都市發展與公共關聯。
新台幣午盤貶0.2分 暫收29.544元,產經,2018/01/16 12:05,https://www.cna.com.tw/news/afe/201801160102.aspx,（中央社台北16日電）台北外匯市場新台幣兌美元今天中午暫收29.544元，貶0.2分，成交金額4.21億美元。
顧立雄：擬放寬外銀發新台幣債券,產經,2018/01/16 13:28,https://www.cna.com.tw/news/afe/201801160107.aspx,（中央社記者蔡怡杼台北16日電）金融監督管理委員會主任委員顧立雄今天說，力促金融協助實體產業發展，金管會將放寬外銀發行新台幣債券，作為中長期放款資金來源，並研議推動不以獲利為條件多元上市櫃條件。
瞄準農曆年前換機潮 業者祭優惠搶市,產經,2018/01/16 12:29,https://www.cna.com.tw/news/afe/201801160112.aspx,（中央社記者江明晏台北16日電）台灣手機市場去年首見衰退，力拚今年銷量持穩，瞄準農曆年前換機潮，蘋果iPhone、三星、宏達電、Sony近期均有購機優惠，業者積極推出如舊機折抵、送配件購物金、贈品等策略搶市。
東森電視併購案 茂德：考慮設勞工董事,產經,2018/01/16 12:31,https://www.cna.com.tw/news/afe/201801160115.aspx,（中央社記者朱則瑋台北16日電）茂德國際併購東森電視案今天召開聽證會，勞工董事成為與會中關注焦點；茂德國際指出，董事長張高祥就像一張白紙，只要好的建議都會去做，設立勞工董事已在考慮。
信託與基金投資規範不一 金管會盼統合,產經,2018/01/16 14:06,https://www.cna.com.tw/news/afe/201801160126.aspx,（中央社記者廖禹揚台北16日電）金融監督管理委員會副主委鄭貞茂今天表示，在銀行信託業務與證券商基金業務有衝突部分，正在協調解決方式，希望在投資標的及信託託管架構部分，能統合雙方規範。
晶片電阻再掀漲價風  族群股價拉回修正,產經,2018/01/16 12:52,https://www.cna.com.tw/news/afe/201801160127.aspx,（中央社記者鍾榮峰台北16日電）晶片電阻再掀漲價風，相關族群拉回修正。華新科午盤翻黑，國巨盤勢震盪，光頡跌幅近7%，大毅游走平盤下。
網購年貨大街 搭上直播熱潮,產經,2018/01/16 13:08,https://www.cna.com.tw/news/afe/201801160132.aspx,（中央社記者吳家豪台北16日電）農曆春節即將來臨，網購業者年貨促銷推陳出新，除了攜手藝人打造直播購物節目，更有業者結合線上購物便捷性與線下購物體驗，開創網路年貨大街新趨勢。
東森加薪幅度低 茂德國際：第一優先處理,產經,2018/01/16 14:20,https://www.cna.com.tw/news/afe/201801160134.aspx,（中央社記者朱則瑋台北16日電）國家通訊傳播委員會（NCC）今天舉辦茂德國際併購東森電視案聽證會，東森工會代表及NCC委員都提出東森加薪幅度低，導致人才流失問題；茂德國際說，入主後立即討論檢討。
台股拉高收紅 續創逾27年新高,產經,2018/01/16 14:19,https://www.cna.com.tw/news/afe/201801160149.aspx,（中央社記者潘智義台北16日電）台北股市前一交易日創逾27年新高之後，雖然今天以平低盤開出，但下半場緩步墊高，收盤前才拉高收紅，上漲近30點，續創逾27年新高。
雙北熱門店面中山區新莊區拔頭籌,產經,2018/01/16 13:48,https://www.cna.com.tw/news/afe/201801160152.aspx,（中央社記者韋樞台北16日電）永慶房產集團依實價登錄資料統計雙北市去年前10月店面交易量，其中以北市中山區和新北市新莊區拔得頭籌，分占全市店面交易量的21.2%和14%，總價以2000萬元到4000萬元占比居多。
茂德國際：分組付費 尊重主管機關規則,產經,2018/01/16 13:53,https://www.cna.com.tw/news/afe/201801160153.aspx,（中央社記者朱則瑋台北16日電）茂德國際今天在併購東森電視案聽證會上表示，對於未來分組付費上路問題，態度就是不助長任何會破壞產業穩定經營的力量，只要可以充分表達意見，尊重主管機關規則。
法規加速鬆綁  陳美伶：沒有禁止就可以做,產經,2018/01/16 14:03,https://www.cna.com.tw/news/afe/201801160159.aspx,（中央社記者蔡怡杼台北16日電）國發會主委陳美伶今天表示，過去法規未能去管制化，形成「把帽子拿掉，衣服沒有換」的情況，為加速法規鬆綁，本次著重將正面表列改為負面表列，即法律沒有禁止就是可以做的。
三大法人買超台股61.28億元,產經,2018/01/16 15:07,https://www.cna.com.tw/news/afe/201801160189.aspx,（中央社台北16日電）台股今天漲29.80點，收在10986.11點，成交值新台幣1307.23億元。三大法人同步買超，合計買超新台幣61.28億元。
華碩連網筆電開賣 首波鋪貨逾2千台,產經,2018/01/16 16:44,https://www.cna.com.tw/news/afe/201801160205.aspx,（中央社記者吳家豪台北16日電）華碩首款專為行動連網量身定製的Gigabit LTE筆電ASUS NovaGo，今天在台上市，與中華電信獨家合作資費，首波鋪貨量約2000台到3000台。
南亞科：上半年DRAM穩定 Q1價微漲,產經,2018/01/16 17:50,https://www.cna.com.tw/news/afe/201801160219.aspx,（中央社記者張建中新北16日電）南亞科看好今年上半年動態隨機存取記憶體(DRAM)市況可望維持穩定，第1季產品價格有機會微幅上漲。
