標題,分類,時間,網址,內文
川普發表國情咨文前 歐股收低,產經,2018/01/31 04:35,https://www.cna.com.tw/news/afe/201801310007.aspx,（中央社倫敦30日綜合外電報導）在美國總統川普發表國情咨文和大量企業財報及經濟數據公布前，儘管法國經濟去年成長1.9%，是6年來最快成長率，歐元區成長2.5%，是10年來最快成長率，歐洲主要股市今天收低。
金融最不透明排名 瑞士第一美國第2台灣第8,產經,2018/01/31 07:38,https://www.cna.com.tw/news/firstnews/201801310008.aspx,"（中央社華盛頓30日綜合外電報導）根據今天公布的一項指數，瑞士和美國在允許富豪避稅或藏匿財富的金融保密制度上，在全球名列第一和第2。台灣排名第8，首度進入前10名。根據「租稅正義聯盟」組織（TJN）每兩年公布一次的金融保密指數（Financial Secrecy Index, FSI）"
川普發表國情咨文前 美股收低道瓊大跌362點,產經,2018/01/31 07:21,https://www.cna.com.tw/news/firstnews/201801310010.aspx,（中央社紐約30日綜合外電報導）美股今天連續第二天收跌，道瓊工業指數大跌362點，是去年5月來最大跌幅。醫療保險股因為擔心亞馬遜公司（Amazon）進軍醫療保險業而下挫。「股神」巴菲特（Warren Buffett）、亞馬遜創辦人貝佐斯（Jeff Bezos）以及摩根大通（JPMorgan Chase）執行長戴蒙（Jamie Dimon）今天發表聯合聲明，宣布進軍醫療保險業。美聯社報導，道瓊工業指數大跌362點或1.4%，以26076點作收。標準普爾指數跌31點或1.1%，收在2822點。科技股那斯達克指數跌64點或0.9%，收7402點。（譯者：中央社陳政一）1070131
美原油儲量增 國際油價跌,產經,2018/01/31 06:32,https://www.cna.com.tw/news/afe/201801310011.aspx,（中央社紐約30日綜合外電報導）在業界報告據稱顯示美國原油儲量自去年11月以來首度增加後，國際油價今天下挫。
美股重挫 台股小心外資賣壓,產經,2018/01/31 07:47,https://www.cna.com.tw/news/afe/201801310013.aspx,（中央社記者田裕斌台北31日電）美股創高之後出現急速拉回走勢，包括藍籌股、科技股同步出現1%左右的大跌，分析師表示，台股高檔盤整，在國際股市走弱下，小心來自於外資落跑的賣壓湧現。
台韓低熔點聚酯纖維 美商務部初裁傾銷,產經,2018/01/31 08:11,https://www.cna.com.tw/news/afe/201801310014.aspx,（中央社記者江今葉華盛頓30日專電）美國商務部對來自台灣與南韓的低熔點聚酯纖維進行反傾銷調查，結果初步裁定涉嫌傾銷。這項調查係由南亞塑膠美國公司提出，最終裁決預計6月8日出爐。
台積電董事酬勞5199萬 居上市企業之冠,產經,2018/01/31 11:33,https://www.cna.com.tw/news/afe/201801310015.aspx,（中央社記者田裕斌台北31日電）上市公司2016年董監酬勞支領數出爐，包括台積電、中信金2家上市公司，每位董事平均酬金超過新台幣5000萬元，台積電每位董事領走5199.7萬元居冠。
期交所主機共置年底完成 確保公平性,產經,2018/01/31 08:49,https://www.cna.com.tw/news/afe/201801310020.aspx,（中央社記者韋樞台北31日電）台灣期貨交易所目前使用最新第5代交易系統，因應期貨商希望提供主機共置服務，期交所決定今年底完成建置，確保各期貨商主機與期交所主機距離相同的公平性。
味全滅頂衝擊獲利 董事酬勞卻多領37萬,產經,2018/01/31 09:01,https://www.cna.com.tw/news/afe/201801310023.aspx,（中央社記者田裕斌台北31日電）上市公司2016年董事實際支領酬勞數公布，受到滅頂衝擊獲利的味全，該年度大虧新台幣7.76億元，不過平均每位董事酬勞卻增加37萬元，僅次於國產。
鴻海小金雞海外掛牌  鎖定當地股市本益比,產經,2018/01/31 09:01,https://www.cna.com.tw/news/afe/201801310025.aspx,（中央社記者鍾榮峰台北31日電）鴻海今天召開股東臨時會，討論子公司在中國上市案。整體觀察，鴻海集團旗下小金雞已在海外積極掛牌，當地股票市場本益比是關鍵。
新台幣開盤升1.1分 為29.229元,產經,2018/01/31 09:04,https://www.cna.com.tw/news/afe/201801310026.aspx,（中央社台北31日電）台北外匯市場新台幣兌美元匯率今天以29.229元開盤，升1.1分。
台股開盤跌22.42點,產經,2018/01/31 09:05,https://www.cna.com.tw/news/afe/201801310027.aspx,（中央社台北31日電）台北股市今天開盤跌22.42點，加權股價指數為11054.36點，成交金額新台幣24.63億元。1070131
台灣石斛蘭符合檢疫高標 美准整株進口,產經,2018/01/31 09:13,https://www.cna.com.tw/news/afe/201801310029.aspx,（中央社記者鄭崇生華盛頓30日專電）美國農業部動植物安全檢疫局今天公告，准許台灣附帶介質的石斛蘭進入美國市場。台灣是首個獲得美國政府許可，石斛蘭可以附帶栽培介質的方式輸至美國的國家。
統一發票11張千萬獎 藏寶地圖下午公布,產經,2018/01/31 09:56,https://www.cna.com.tw/news/afe/201801310038.aspx,（中央社記者邱柏勝台北31日電）財政部今天下午將公布去年11、12月期統一發票中獎清冊，新台幣千萬元特別獎與200萬元特獎中獎張數率先公布，分別有11張與12張中獎，2月6日起可兌領，領獎期限至5月7日止。
Google銀彈第1季入帳  宏達電股價勁揚,產經,2018/01/31 09:48,https://www.cna.com.tw/news/afe/201801310042.aspx,（中央社記者江明晏台北31日電）宏達電昨日盤後宣布，已與Google完成11億美元合作協議，將於首季入帳，法人預估可望挹注每股近新台幣40元的業外收益，今天股價反映業外利多，早盤漲逾5%。
LINE日本成立金融公司  跨足虛擬貨幣,產經,2018/01/31 10:01,https://www.cna.com.tw/news/afe/201801310046.aspx,（中央社記者吳家豪台北31日電）延續行動支付服務LINE Pay的成功，通訊軟體LINE今天宣布在日本成立金融公司LINE Financial Corporation，將提供保險、貸款、虛擬貨幣等金融服務，正招募具備金融背景人才。
新台幣早盤升1.8分,產經,2018/01/31 10:20,https://www.cna.com.tw/news/afe/201801310048.aspx,（中央社台北31日電）台北外匯市場新台幣兌美元匯率今天以29.229元開盤，升1.1分； 10時15分來到29.222元，升1.8分。
美股重挫恐慌指數升高 期貨夜盤創今年大量,產經,2018/01/31 10:44,https://www.cna.com.tw/news/afe/201801310056.aspx,（中央社記者韋樞台北31日電）今天清晨收盤的美股大跌362點，市場波動度大，投資人恐慌指數也跟著升高，台灣期貨市場夜盤更創下28.5萬口的今年大量，分析師表示，市場波動大，代表避險大增，後續值得觀察。
鴻海深耕工業互聯網 效率提升30%,產經,2018/01/31 13:16,https://www.cna.com.tw/news/afe/201801310060.aspx,（中央社記者鍾榮峰台北31日電）鴻海集團總裁郭台銘表示，工業互聯網就是工作生活加上互聯網，相關效率可提升30%。鴻海成立工業互聯網AI應用研究院，要建立20萬台工業互聯網機器人。
中油桃廠工安  經部：無關董事長專業,產經,2018/01/31 14:53,https://www.cna.com.tw/news/afe/201801310061.aspx,（中央社記者黃雅娟台北31日電）中油桃園煉油廠火災，外界質疑因董事長戴謙專業不足，經濟部長沈榮津回應，「應該（跟董事長專業）沒什麼關係」，國營會組成的專案小組昨天到現場勘查，相關報告一週內出爐。
電金穩盤 台股守住月線盤中一度翻紅,產經,2018/01/31 11:00,https://www.cna.com.tw/news/afe/201801310063.aspx,（中央社記者田裕斌台北31日電）美股重挫超過1%，衝擊台股今天跳空開低，不過在電子、金融權值股全力穩盤，美股電子盤止跌反彈下，指數守住月線約11027點，盤中更一度翻紅。
富士康互聯網大陸上市 鴻海股臨會通過,產經,2018/01/31 11:11,https://www.cna.com.tw/news/afe/201801310065.aspx,（中央社記者鍾榮峰台北31日電）鴻海今天召開股東臨時會，其中討論子公司富士康工業互聯網中國大陸上市案。討論議案通過，此外改選獨立董事王國城也獲得股臨會通過。
核算GDP 法國將計入違禁藥物交易收入,產經,2018/01/31 11:02,https://www.cna.com.tw/news/afe/201801310066.aspx,（中央社巴黎30日綜合外電報導）法國今天指出，在核算國內生產毛額（GDP）時，將開始計入違禁藥物支出，為法國經濟統計增添一筆數據。
郭台銘：助股東辦富士康工業互聯網抽籤,產經,2018/01/31 11:11,https://www.cna.com.tw/news/afe/201801310071.aspx,（中央社記者鍾榮峰台北31日電）鴻海集團總裁郭台銘表示，要協助台灣股東購買富士康工業互聯網股票相關抽籤作業。他個人沒有持有一股富士康工業互聯網股票。
半導體人才荒 SEMI會員職缺逾萬,產經,2018/01/31 11:21,https://www.cna.com.tw/news/afe/201801310074.aspx,（中央社記者張建中新竹31日電）國際半導體產業協會(SEMI)估計，全球會員企業有超過1萬個職缺待補，人才已經成為產業成長的瓶頸點，SEMI呼籲企業應合作培育人才，以維持產業持續成長。
三星電子業績強強滾 第4季淨利創紀錄,產經,2018/01/31 11:33,https://www.cna.com.tw/news/afe/201801310080.aspx,（中央社首爾31日綜合外電報導）三星電子第4季淨利激增73%，刷新歷史單季紀錄，主要拜記憶體和顯示面板需求旺盛之賜。
鴻海布局三張網 不會布局整車,產經,2018/01/31 11:52,https://www.cna.com.tw/news/afe/201801310090.aspx,（中央社記者鍾榮峰台北31日電）鴻海集團總裁郭台銘表示，未來布局智能製造、健康互聯網、以及資訊安全三張網，現在沒有計畫從事整車，但會布局汽車輕量化零配件。
華碩MWC記者會 傳發表ZenFone 5手機,產經,2018/01/31 11:52,https://www.cna.com.tw/news/afe/201801310091.aspx,（中央社記者吳家豪台北31日電）電腦品牌廠華碩宣布將於2月27日在西班牙巴塞隆納舉行世界行動通訊大會（MWC）新品發表記者會，從官方公布資訊來看，外界預期將推出ZenFone 5系列智慧型手機。
高通繳首期罰鍰 經部：5G合作案不受影響,產經,2018/01/31 13:17,https://www.cna.com.tw/news/afe/201801310093.aspx,（中央社記者黃雅娟台北31日電）高通違反公平交易法遭公平會重罰新台幣234億元，昨天繳納第一期罰鍰3.9億元。經濟部表示，與高通的合作案「有動起來」，5G研發工作雖然高通提供技術最有效率，但仍有替代方案，目前不受影響。
新台幣午盤升3.9分 暫收29.201元,產經,2018/01/31 12:03,https://www.cna.com.tw/news/afe/201801310110.aspx,（中央社台北31日電）台北外匯市場新台幣兌美元今天中午暫收29.201元，升3.9分，成交金額5.16億美元。
